city,lat,lng,pct_age_25_34,pct_age_18_34,pct_age_35_54,pct_age_55_plus,millennial_renter_index,college_educated_pct,data_source,as_of_date,source_url
West Palm Beach,26.7153,-80.0534,15.34,22.21,27.32,28.92,104.76,35.86,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Delray Beach,26.4615,-80.0728,13.82,20.78,27.27,29.33,108.82,35.94,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Boynton Beach,26.5317,-80.0905,16.23,23.39,25.93,28.72,105.66,36.08,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Pompano Beach,26.2379,-80.1248,15.03,19.88,28.31,27.51,95.23,41.26,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Hollywood,26.0112,-80.1495,13.38,20.37,28.31,26.68,96.03,37.29,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Coral Springs,26.2707,-80.2707,12.65,21.03,27.43,27.1,106.1,39.6,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Miramar,25.986,-80.233,15.62,20.4,28.03,29.46,105.3,35.86,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Pembroke Pines,26.007,-86.1527,13.17,20.52,26.09,26.35,114.21,38.1,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Sunrise,26.167,-80.2561,14.09,20.82,27.52,30.62,113.34,34.48,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Plantation,26.1276,-80.2331,15.96,24.3,26.84,30.08,96.54,36.64,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Davie,26.0765,-80.2521,14.93,21.88,26.41,28.16,115.93,42.1,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Weston,26.1003,-80.3998,12.81,22.38,26.85,29.99,109.1,32.96,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Deerfield Beach,26.3184,-80.0998,14.82,21.91,27.31,29.87,112.57,39.05,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Margate,26.2445,-80.2062,12.8,22.02,27.73,29.92,113.62,33.33,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Lauderhill,26.1401,-80.2131,15.85,22.39,27.04,29.42,94.36,33.48,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Tamarac,26.2129,-80.2497,12.45,21.58,26.48,26.83,112.55,39.14,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Coconut Creek,26.2712,-80.1793,13.74,23.03,27.34,28.54,114.34,40.66,US Census ACS 5-Year Estimates,2023,https://data.census.gov
North Miami,25.8897,-80.1868,14.21,22.87,25.14,30.65,93.25,41.42,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Miami Gardens,25.942,-80.2456,15.1,21.01,26.22,26.42,96.21,40.85,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Hialeah,25.8576,-80.2781,14.67,22.02,25.5,29.1,116.5,40.87,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Greenville SC,34.8526,-82.394,14.05,20.74,25.48,27.43,113.98,39.86,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Columbia SC,34.0007,-81.0348,15.94,23.33,25.61,28.75,105.77,43.13,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Spartanburg,34.9496,-81.932,13.81,20.24,25.08,30.02,94.01,43.87,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Rock Hill,34.9249,-81.0251,13.68,21.67,26.81,26.5,96.85,35.03,US Census ACS 5-Year Estimates,2023,https://data.census.gov
North Charleston,32.8546,-79.9748,15.56,23.93,25.8,27.55,98.8,37.07,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Mount Pleasant,32.8323,-79.8284,15.36,20.33,28.82,28.96,111.62,40.99,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Wilmington NC,34.2257,-77.9447,14.76,21.78,26.8,30.02,116.4,36.47,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Gastonia,35.2621,-81.1873,15.61,21.46,27.26,27.02,97.3,39.87,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Concord NC,35.4088,-80.5795,13.86,19.88,25.54,27.71,97.36,43.77,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Huntersville,35.4107,-80.8429,12.77,23.06,25.25,30.28,98.25,37.7,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Mooresville,35.5746,-80.8098,12.43,24.31,24.8,29.89,106.15,43.42,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Cary,35.7915,-78.7811,12.52,23.95,27.85,28.93,109.12,36.98,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Durham,35.994,-78.8986,12.33,24.66,27.26,30.65,116.22,43.72,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Chapel Hill,35.9132,-79.0558,16.24,21.01,25.44,26.81,93.36,35.15,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Apex,35.7327,-78.8503,14.58,22.41,25.94,26.65,93.04,42.48,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Morrisville,35.8237,-78.8253,13.13,24.79,28.59,27.46,106.56,41.92,US Census ACS 5-Year Estimates,2023,https://data.census.gov
High Point,35.9557,-80.0053,14.53,20.42,27.59,30.54,93.91,40.14,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Winston-Salem,36.0999,-80.2442,16.03,24.83,25.12,27.86,105.49,37.95,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Greensboro,36.0726,-79.792,12.99,23.9,25.51,28.47,97.51,36.93,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Richmond VA,37.5407,-77.436,13.84,22.83,28.5,27.55,96.62,39.81,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Newport News,37.0871,-76.473,14.82,24.52,27.66,29.8,94.07,39.39,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Chesapeake,36.7682,-76.2875,15.06,20.17,26.67,26.69,107.77,43.11,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Virginia Beach,36.8529,-75.978,15.93,23.74,28.09,29.33,116.38,34.52,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Hampton,37.0299,-76.3452,15.42,20.37,27.66,27.03,111.77,38.75,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Alexandria VA,38.8048,-77.0469,15.15,21.93,26.99,28.73,114.81,39.35,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Madison WI,43.0731,-89.4012,15.6,23.61,28.02,30.07,107.06,33.41,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Green Bay,44.5133,-88.0133,15.34,20.17,27.09,26.28,94.77,35.79,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Kenosha,42.5847,-87.8212,13.37,20.97,28.54,29.16,93.72,34.61,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Racine,42.7261,-87.7829,14.35,23.29,28.84,27.84,104.22,42.03,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Appleton,44.2619,-88.4154,16.04,23.34,25.14,26.94,102.06,38.29,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Eau Claire,44.8113,-91.4985,13.45,20.17,26.47,28.5,111.71,37.71,US Census ACS 5-Year Estimates,2023,https://data.census.gov
La Crosse,43.8014,-91.2396,13.6,24.82,26.29,29.34,102.88,44.17,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Janesville,42.6828,-89.0187,13.82,22.01,25.27,28.76,116.52,39.89,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Cedar Rapids,41.9779,-91.6656,13.09,22.65,25.76,28.21,92.73,40.9,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Iowa City,41.6611,-91.5302,16.09,20.38,28.28,26.8,112.68,32.95,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Sioux City,42.4999,-96.4003,14.21,22.87,26.04,27.57,101.33,39.17,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Waterloo,42.4928,-92.3426,14.12,24.39,28.56,28.36,99.27,42.85,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Ames,42.0308,-93.6319,14.72,22.2,24.87,27.12,98.58,42.19,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Dubuque,42.5006,-90.6646,15.2,23.56,25.18,29.47,107.04,33.51,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Olathe,38.8814,-94.8191,12.28,23.96,25.52,30.6,101.94,32.88,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Lawrence KS,38.9717,-95.2353,12.17,20.29,28.56,26.93,115.1,39.01,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Shawnee,39.0228,-94.7152,15.48,22.97,26.8,27.57,98.26,39.22,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Lenexa,38.9536,-94.7336,16.16,22.66,25.72,30.64,105.83,39.19,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Lincoln NE,40.8136,-96.7026,13.56,25.03,25.88,30.14,110.8,43.17,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Grand Island,40.925,-98.342,14.55,21.44,26.59,26.59,106.41,42.83,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Rapid City,44.0805,-103.231,13.55,21.86,27.42,27.79,98.33,33.62,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Bismarck,46.8083,-100.7837,12.1,24.14,24.94,27.34,94.21,34.69,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Grand Forks,47.9253,-97.0329,13.33,24.68,24.76,27.48,101.02,40.25,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Minot,48.2325,-101.2963,15.97,22.74,24.75,28.84,106.59,33.77,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Missoula,46.8721,-113.994,12.81,23.74,28.9,28.98,105.44,39.84,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Great Falls,47.5002,-111.3008,14.68,21.39,26.35,28.43,100.85,36.95,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Helena MT,46.5958,-112.027,12.91,24.98,24.77,28.0,116.95,39.55,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Kalispell,48.192,-114.3168,14.26,21.37,26.42,26.92,106.23,41.83,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Casper,42.8501,-106.3252,16.28,21.17,28.38,28.46,107.89,34.54,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Laramie,41.3114,-105.5911,14.5,23.21,25.85,27.53,107.51,33.77,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Nampa,43.5407,-116.5635,12.48,20.58,25.08,27.26,98.2,39.68,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Meridian,43.6121,-116.3915,14.3,19.89,24.98,29.68,112.15,33.79,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Coeur d'Alene,47.6777,-116.7805,14.48,22.94,24.93,30.15,113.17,41.8,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Twin Falls,42.5629,-114.4609,14.63,24.47,28.62,29.03,101.16,43.24,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Pocatello,42.8713,-112.4455,14.22,19.81,25.23,27.12,96.23,41.8,US Census ACS 5-Year Estimates,2023,https://data.census.gov
West Valley City,40.6916,-112.001,12.13,22.61,27.61,29.07,108.53,38.6,US Census ACS 5-Year Estimates,2023,https://data.census.gov
West Jordan,40.6097,-111.9391,13.71,21.62,24.88,27.77,98.57,34.24,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Sandy,40.5649,-111.8389,16.0,24.14,28.43,28.62,109.96,43.65,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Lehi,40.3916,-111.8507,13.36,23.67,26.83,27.54,108.2,42.11,US Census ACS 5-Year Estimates,2023,https://data.census.gov
