city,lat,lng,debt_coverage_ratio,dcr_at_65pct_ltv,dcr_at_70pct_ltv,dcr_at_75pct_ltv,assumed_interest_rate_pct,assumed_amort_years,lender_minimum_dcr,pencils_at_current_rates,data_source,as_of_date,source_url
Syracuse,43.0481,-76.1474,1.17,1.29,1.13,1.02,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Rochester,43.1566,-77.6088,1.15,1.25,1.15,1.01,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Albany,42.6526,-73.7562,1.14,1.22,1.1,1.05,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Buffalo,42.8864,-78.8784,1.18,1.31,1.14,1.08,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Yonkers,40.9312,-73.8988,1.02,1.09,1.03,0.91,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Newark,40.7357,-74.1724,1.03,1.13,1.01,0.94,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Paterson,40.9168,-74.1719,0.98,1.08,0.97,0.88,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Anchorage,61.2181,-149.9003,1.15,1.24,1.13,1.03,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Honolulu,21.3069,-157.8583,0.85,0.91,0.81,0.76,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Wichita Falls,33.9137,-98.4934,1.26,1.34,1.21,1.16,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Midland,31.9973,-102.0779,1.21,1.3,1.21,1.09,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Odessa,31.8457,-102.3676,1.13,1.21,1.14,1.03,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Tyler,32.3513,-95.3011,1.24,1.35,1.19,1.14,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Waco,31.5493,-97.1467,1.22,1.35,1.21,1.07,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Beaumont,30.086,-94.1018,1.21,1.31,1.17,1.1,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Abilene,32.4487,-99.7331,1.17,1.3,1.16,1.03,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Laredo,27.5306,-99.4803,1.24,1.34,1.23,1.12,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
McAllen,26.2034,-98.23,1.19,1.25,1.2,1.09,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Brownsville,25.9017,-97.4975,1.2,1.28,1.17,1.1,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Killeen,31.1171,-97.7278,1.22,1.32,1.16,1.09,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Bryan-College Station,30.628,-96.3344,1.2,1.28,1.17,1.06,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Victoria,28.8053,-97.0036,1.2,1.26,1.16,1.1,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Longview,32.5007,-94.7405,1.21,1.34,1.21,1.11,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Nacogdoches,31.6035,-94.6552,1.28,1.37,1.26,1.17,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Lufkin,31.3382,-94.7291,1.22,1.3,1.2,1.1,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Huntsville TX,30.7235,-95.5508,1.23,1.33,1.19,1.08,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Texarkana,33.4251,-94.0477,1.14,1.25,1.09,1.04,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Paris TX,33.6609,-95.5555,1.12,1.23,1.12,1.04,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Amarillo,35.222,-101.8313,1.24,1.31,1.22,1.14,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Deltona,28.9005,-81.2637,1.07,1.18,1.05,0.96,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Daytona Beach,29.2108,-81.0228,1.09,1.21,1.05,0.96,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Kissimmee,28.2919,-81.4076,1.09,1.14,1.04,0.96,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Sanford,28.8005,-81.2731,1.12,1.24,1.11,0.98,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Clearwater,27.9659,-82.8001,1.05,1.16,1.02,0.94,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Cape Coral,26.5629,-81.9495,0.98,1.04,0.94,0.89,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Homestead,25.4687,-80.4776,1.06,1.12,1.01,0.96,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Doral,25.8195,-80.3556,0.96,1.04,0.95,0.89,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Aventura,25.9565,-80.1392,1.0,1.08,0.99,0.9,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Boca Raton,26.3683,-80.1289,1.06,1.11,1.05,0.98,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
West Palm Beach,26.7153,-80.0534,1.02,1.13,0.98,0.91,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Delray Beach,26.4615,-80.0728,1.08,1.17,1.09,0.99,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Boynton Beach,26.5317,-80.0905,1.05,1.14,1.06,0.94,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Pompano Beach,26.2379,-80.1248,1.03,1.09,1.03,0.94,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Hollywood,26.0112,-80.1495,1.05,1.14,1.02,0.92,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Coral Springs,26.2707,-80.2707,1.02,1.08,0.97,0.9,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Miramar,25.986,-80.233,1.06,1.15,1.02,0.95,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Pembroke Pines,26.007,-86.1527,1.02,1.13,0.99,0.93,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Sunrise,26.167,-80.2561,1.01,1.1,1.0,0.93,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Plantation,26.1276,-80.2331,1.03,1.1,0.99,0.95,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Davie,26.0765,-80.2521,1.1,1.21,1.05,1.02,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Weston,26.1003,-80.3998,1.07,1.14,1.04,0.97,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Deerfield Beach,26.3184,-80.0998,1.04,1.14,1.0,0.92,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Margate,26.2445,-80.2062,1.0,1.09,1.0,0.91,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Lauderhill,26.1401,-80.2131,1.03,1.14,1.03,0.92,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Tamarac,26.2129,-80.2497,1.02,1.07,1.01,0.93,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Coconut Creek,26.2712,-80.1793,1.07,1.18,1.08,0.97,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
North Miami,25.8897,-80.1868,1.0,1.11,0.96,0.88,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Miami Gardens,25.942,-80.2456,0.97,1.08,0.94,0.87,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Hialeah,25.8576,-80.2781,0.98,1.08,0.97,0.87,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Greenville SC,34.8526,-82.394,1.2,1.29,1.17,1.07,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Columbia SC,34.0007,-81.0348,1.16,1.27,1.11,1.06,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Spartanburg,34.9496,-81.932,1.24,1.3,1.23,1.12,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Rock Hill,34.9249,-81.0251,1.22,1.33,1.23,1.12,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
North Charleston,32.8546,-79.9748,1.15,1.26,1.1,1.01,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Mount Pleasant,32.8323,-79.8284,1.1,1.18,1.09,1.01,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Wilmington NC,34.2257,-77.9447,1.12,1.2,1.1,1.03,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Gastonia,35.2621,-81.1873,1.22,1.35,1.23,1.07,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Concord NC,35.4088,-80.5795,1.2,1.27,1.16,1.06,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Huntersville,35.4107,-80.8429,1.07,1.17,1.07,0.96,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Mooresville,35.5746,-80.8098,1.08,1.17,1.08,0.97,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Cary,35.7915,-78.7811,1.13,1.24,1.12,1.01,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Durham,35.994,-78.8986,1.1,1.2,1.06,0.98,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Chapel Hill,35.9132,-79.0558,1.05,1.14,1.03,0.93,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Apex,35.7327,-78.8503,1.12,1.23,1.11,0.99,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Morrisville,35.8237,-78.8253,1.1,1.16,1.06,0.98,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
High Point,35.9557,-80.0053,1.13,1.19,1.13,1.01,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Winston-Salem,36.0999,-80.2442,1.14,1.24,1.13,1.05,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Greensboro,36.0726,-79.792,1.15,1.24,1.13,1.03,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Richmond VA,37.5407,-77.436,1.17,1.27,1.12,1.08,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Newport News,37.0871,-76.473,1.14,1.26,1.11,1.05,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Chesapeake,36.7682,-76.2875,1.18,1.29,1.15,1.07,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Virginia Beach,36.8529,-75.978,1.23,1.3,1.2,1.11,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Hampton,37.0299,-76.3452,1.22,1.28,1.16,1.13,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Alexandria VA,38.8048,-77.0469,1.06,1.13,1.07,0.95,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Madison WI,43.0731,-89.4012,1.24,1.33,1.24,1.14,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Green Bay,44.5133,-88.0133,1.31,1.42,1.27,1.2,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Kenosha,42.5847,-87.8212,1.18,1.27,1.15,1.06,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Racine,42.7261,-87.7829,1.24,1.32,1.18,1.1,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Appleton,44.2619,-88.4154,1.36,1.47,1.32,1.2,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Eau Claire,44.8113,-91.4985,1.29,1.36,1.28,1.19,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
La Crosse,43.8014,-91.2396,1.31,1.38,1.3,1.17,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Janesville,42.6828,-89.0187,1.26,1.32,1.21,1.13,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Cedar Rapids,41.9779,-91.6656,1.32,1.47,1.33,1.18,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Iowa City,41.6611,-91.5302,1.3,1.4,1.24,1.2,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Sioux City,42.4999,-96.4003,1.22,1.36,1.17,1.1,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Waterloo,42.4928,-92.3426,1.26,1.39,1.25,1.16,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Ames,42.0308,-93.6319,1.22,1.28,1.17,1.07,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Dubuque,42.5006,-90.6646,1.31,1.41,1.27,1.15,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Olathe,38.8814,-94.8191,1.22,1.31,1.22,1.12,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Lawrence KS,38.9717,-95.2353,1.22,1.35,1.2,1.1,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Shawnee,39.0228,-94.7152,1.2,1.32,1.17,1.09,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Lenexa,38.9536,-94.7336,1.27,1.35,1.27,1.13,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Lincoln NE,40.8136,-96.7026,1.29,1.39,1.26,1.14,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Grand Island,40.925,-98.342,1.27,1.36,1.23,1.14,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Rapid City,44.0805,-103.231,1.31,1.45,1.27,1.18,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Bismarck,46.8083,-100.7837,1.28,1.35,1.29,1.14,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Grand Forks,47.9253,-97.0329,1.33,1.41,1.27,1.2,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Minot,48.2325,-101.2963,1.23,1.33,1.21,1.12,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Missoula,46.8721,-113.994,1.12,1.22,1.12,1.04,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Great Falls,47.5002,-111.3008,1.17,1.28,1.16,1.05,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Helena MT,46.5958,-112.027,1.28,1.35,1.26,1.16,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Kalispell,48.192,-114.3168,1.07,1.14,1.05,0.95,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Casper,42.8501,-106.3252,1.25,1.36,1.22,1.16,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Laramie,41.3114,-105.5911,1.26,1.32,1.23,1.12,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Nampa,43.5407,-116.5635,1.09,1.17,1.05,0.97,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Meridian,43.6121,-116.3915,1.1,1.17,1.06,0.98,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Coeur d'Alene,47.6777,-116.7805,1.1,1.19,1.07,0.98,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Twin Falls,42.5629,-114.4609,1.11,1.21,1.07,0.99,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Pocatello,42.8713,-112.4455,1.2,1.29,1.21,1.09,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
West Valley City,40.6916,-112.001,1.07,1.16,1.03,0.95,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
West Jordan,40.6097,-111.9391,1.11,1.16,1.11,0.98,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Sandy,40.5649,-111.8389,1.12,1.22,1.09,0.99,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Lehi,40.3916,-111.8507,1.14,1.22,1.09,1.0,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
