city,lat,lng,moratorium_history,current_tenant_protections,eviction_filing_rate_per_1000,avg_days_to_eviction,landlord_friendly_score_1_10,data_source,as_of_date,source_url
Paris TX,33.6609,-95.5555,"Expired 2021, no local extension",Standard,20.38,92,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Amarillo,35.222,-101.8313,"Expired 2021, no local extension",Standard,15.41,75,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Deltona,28.9005,-81.2637,"Expired 2021, no local extension",Standard,21.99,84,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Daytona Beach,29.2108,-81.0228,"Expired 2021, no local extension",Standard,19.71,75,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Kissimmee,28.2919,-81.4076,"Expired 2021, no local extension",Standard,15.39,87,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Sanford,28.8005,-81.2731,"Expired 2021, no local extension",Standard,13.96,78,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Clearwater,27.9659,-82.8001,"Expired 2021, no local extension",Standard,15.51,88,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Cape Coral,26.5629,-81.9495,"Expired 2021, no local extension",Standard,16.01,75,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Homestead,25.4687,-80.4776,"Expired 2021, no local extension",Standard,20.98,93,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Doral,25.8195,-80.3556,"Expired 2021, no local extension",Standard,17.99,85,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Aventura,25.9565,-80.1392,"Expired 2021, no local extension",Standard,21.66,81,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Boca Raton,26.3683,-80.1289,"Expired 2021, no local extension",Standard,21.39,81,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
West Palm Beach,26.7153,-80.0534,"Expired 2021, no local extension",Standard,14.79,76,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Delray Beach,26.4615,-80.0728,"Expired 2021, no local extension",Standard,21.93,79,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Boynton Beach,26.5317,-80.0905,"Expired 2021, no local extension",Standard,14.18,74,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Pompano Beach,26.2379,-80.1248,"Expired 2021, no local extension",Standard,21.16,84,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Hollywood,26.0112,-80.1495,"Expired 2021, no local extension",Standard,15.65,87,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Coral Springs,26.2707,-80.2707,"Expired 2021, no local extension",Standard,13.72,76,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Miramar,25.986,-80.233,"Expired 2021, no local extension",Standard,22.15,80,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Pembroke Pines,26.007,-86.1527,"Expired 2021, no local extension",Standard,14.6,80,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Sunrise,26.167,-80.2561,"Expired 2021, no local extension",Standard,17.45,75,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Plantation,26.1276,-80.2331,"Expired 2021, no local extension",Standard,18.34,77,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Davie,26.0765,-80.2521,"Expired 2021, no local extension",Standard,13.37,87,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Weston,26.1003,-80.3998,"Expired 2021, no local extension",Standard,14.04,82,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Deerfield Beach,26.3184,-80.0998,"Expired 2021, no local extension",Standard,20.67,91,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Margate,26.2445,-80.2062,"Expired 2021, no local extension",Standard,23.94,90,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Lauderhill,26.1401,-80.2131,"Expired 2021, no local extension",Standard,20.38,88,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Tamarac,26.2129,-80.2497,"Expired 2021, no local extension",Standard,20.58,80,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Coconut Creek,26.2712,-80.1793,"Expired 2021, no local extension",Standard,18.91,83,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
North Miami,25.8897,-80.1868,"Expired 2021, no local extension",Standard,22.22,85,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Miami Gardens,25.942,-80.2456,"Expired 2021, no local extension",Standard,20.11,75,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Hialeah,25.8576,-80.2781,"Expired 2021, no local extension",Standard,13.02,83,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Greenville SC,34.8526,-82.394,"Expired 2021, no local extension",Standard,16.74,80,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Columbia SC,34.0007,-81.0348,"Expired 2021, no local extension",Standard,16.57,78,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Spartanburg,34.9496,-81.932,"Expired 2021, no local extension",Standard,22.39,77,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Rock Hill,34.9249,-81.0251,"Expired 2021, no local extension",Standard,18.72,94,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
North Charleston,32.8546,-79.9748,"Expired 2021, no local extension",Standard,15.8,75,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Mount Pleasant,32.8323,-79.8284,"Expired 2021, no local extension",Standard,13.08,86,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Wilmington NC,34.2257,-77.9447,"Expired 2021, no local extension",Standard,16.8,82,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Gastonia,35.2621,-81.1873,"Expired 2021, no local extension",Standard,19.42,88,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Concord NC,35.4088,-80.5795,"Expired 2021, no local extension",Standard,16.4,91,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Huntersville,35.4107,-80.8429,"Expired 2021, no local extension",Standard,19.61,93,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Mooresville,35.5746,-80.8098,"Expired 2021, no local extension",Standard,17.22,75,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Cary,35.7915,-78.7811,"Expired 2021, no local extension",Standard,21.8,82,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Durham,35.994,-78.8986,"Expired 2021, no local extension",Standard,23.61,77,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Chapel Hill,35.9132,-79.0558,"Expired 2021, no local extension",Standard,21.54,79,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Apex,35.7327,-78.8503,"Expired 2021, no local extension",Standard,20.69,77,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Morrisville,35.8237,-78.8253,"Expired 2021, no local extension",Standard,21.56,90,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
High Point,35.9557,-80.0053,"Expired 2021, no local extension",Standard,16.74,87,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Winston-Salem,36.0999,-80.2442,"Expired 2021, no local extension",Standard,20.35,91,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Greensboro,36.0726,-79.792,"Expired 2021, no local extension",Standard,15.55,87,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Richmond VA,37.5407,-77.436,"Expired 2021, no local extension",Standard,21.91,89,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Newport News,37.0871,-76.473,"Expired 2021, no local extension",Standard,22.2,87,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Chesapeake,36.7682,-76.2875,"Expired 2021, no local extension",Standard,15.31,92,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Virginia Beach,36.8529,-75.978,"Expired 2021, no local extension",Standard,16.47,92,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Hampton,37.0299,-76.3452,"Expired 2021, no local extension",Standard,15.72,92,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Alexandria VA,38.8048,-77.0469,"Expired 2021, no local extension",Standard,22.21,95,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Madison WI,43.0731,-89.4012,"Expired 2021, no local extension",Standard,20.72,91,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Green Bay,44.5133,-88.0133,"Expired 2021, no local extension",Standard,20.9,90,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Kenosha,42.5847,-87.8212,"Expired 2021, no local extension",Standard,18.91,80,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Racine,42.7261,-87.7829,"Expired 2021, no local extension",Standard,17.4,75,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Appleton,44.2619,-88.4154,"Expired 2021, no local extension",Standard,21.67,81,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Eau Claire,44.8113,-91.4985,"Expired 2021, no local extension",Standard,15.13,78,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
La Crosse,43.8014,-91.2396,"Expired 2021, no local extension",Standard,20.04,75,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Janesville,42.6828,-89.0187,"Expired 2021, no local extension",Standard,16.9,85,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Cedar Rapids,41.9779,-91.6656,"Expired 2021, no local extension",Standard,14.91,80,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Iowa City,41.6611,-91.5302,"Expired 2021, no local extension",Standard,17.2,87,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Sioux City,42.4999,-96.4003,"Expired 2021, no local extension",Standard,21.48,82,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Waterloo,42.4928,-92.3426,"Expired 2021, no local extension",Standard,14.81,93,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Ames,42.0308,-93.6319,"Expired 2021, no local extension",Standard,23.55,91,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Dubuque,42.5006,-90.6646,"Expired 2021, no local extension",Standard,18.8,91,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Olathe,38.8814,-94.8191,"Expired 2021, no local extension",Standard,20.33,93,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Lawrence KS,38.9717,-95.2353,"Expired 2021, no local extension",Standard,22.65,92,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Shawnee,39.0228,-94.7152,"Expired 2021, no local extension",Standard,20.58,92,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Lenexa,38.9536,-94.7336,"Expired 2021, no local extension",Standard,18.78,79,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Lincoln NE,40.8136,-96.7026,"Expired 2021, no local extension",Standard,14.09,77,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Grand Island,40.925,-98.342,"Expired 2021, no local extension",Standard,17.05,85,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Rapid City,44.0805,-103.231,"Expired 2021, no local extension",Standard,20.42,82,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Bismarck,46.8083,-100.7837,"Expired 2021, no local extension",Standard,15.08,83,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Grand Forks,47.9253,-97.0329,"Expired 2021, no local extension",Standard,14.55,84,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Minot,48.2325,-101.2963,"Expired 2021, no local extension",Standard,18.85,80,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Missoula,46.8721,-113.994,"Expired 2021, no local extension",Standard,23.02,92,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Great Falls,47.5002,-111.3008,"Expired 2021, no local extension",Standard,21.57,76,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Helena MT,46.5958,-112.027,"Expired 2021, no local extension",Standard,17.92,93,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Kalispell,48.192,-114.3168,"Expired 2021, no local extension",Standard,16.43,78,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Casper,42.8501,-106.3252,"Expired 2021, no local extension",Standard,18.64,79,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Laramie,41.3114,-105.5911,"Expired 2021, no local extension",Standard,18.04,79,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Nampa,43.5407,-116.5635,"Expired 2021, no local extension",Standard,21.91,87,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Meridian,43.6121,-116.3915,"Expired 2021, no local extension",Standard,15.73,82,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Coeur d'Alene,47.6777,-116.7805,"Expired 2021, no local extension",Standard,21.85,76,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Twin Falls,42.5629,-114.4609,"Expired 2021, no local extension",Standard,21.23,82,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Pocatello,42.8713,-112.4455,"Expired 2021, no local extension",Standard,16.97,79,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
West Valley City,40.6916,-112.001,"Expired 2021, no local extension",Standard,23.71,89,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
West Jordan,40.6097,-111.9391,"Expired 2021, no local extension",Standard,22.05,78,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Sandy,40.5649,-111.8389,"Expired 2021, no local extension",Standard,18.72,87,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Lehi,40.3916,-111.8507,"Expired 2021, no local extension",Standard,23.78,74,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
