city,lat,lng,primary_hazard,hazard_severity,fema_flood_zone,wildfire_risk_score_1_10,earthquake_risk_score_1_10,hurricane_risk_score_1_10,tornado_risk_score_1_10,composite_hazard_score_1_10,data_source,as_of_date,source_url
Deltona,28.9005,-81.2637,Low,No major hazard designation,X,1,1,1,1,4.45,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Daytona Beach,29.2108,-81.0228,Low,No major hazard designation,X,1,1,1,1,2.75,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Kissimmee,28.2919,-81.4076,Low,No major hazard designation,X,1,1,1,1,3.23,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Sanford,28.8005,-81.2731,Low,No major hazard designation,X,1,1,1,1,3.13,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Clearwater,27.9659,-82.8001,Low,No major hazard designation,X,1,1,1,1,2.54,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Cape Coral,26.5629,-81.9495,Flood/Hurricane,High,AE,1,1,7,1,3.9,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Homestead,25.4687,-80.4776,Low,No major hazard designation,X,1,1,1,1,4.27,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Doral,25.8195,-80.3556,Low,No major hazard designation,X,1,1,1,1,2.57,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Aventura,25.9565,-80.1392,Low,No major hazard designation,X,1,1,1,1,4.07,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Boca Raton,26.3683,-80.1289,Flood/Hurricane,Moderate,X500,1,1,4,1,3.16,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
West Palm Beach,26.7153,-80.0534,Flood/Hurricane,Moderate,X500,1,1,4,1,4.35,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Delray Beach,26.4615,-80.0728,Low,No major hazard designation,X,1,1,1,1,2.63,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Boynton Beach,26.5317,-80.0905,Low,No major hazard designation,X,1,1,1,1,3.53,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Pompano Beach,26.2379,-80.1248,Low,No major hazard designation,X,1,1,1,1,3.14,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Hollywood,26.0112,-80.1495,Flood/Hurricane,Moderate,X500,1,1,4,1,4.06,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Coral Springs,26.2707,-80.2707,Low,No major hazard designation,X,1,1,1,1,3.17,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Miramar,25.986,-80.233,Low,No major hazard designation,X,1,1,1,1,3.37,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Pembroke Pines,26.007,-86.1527,Low,No major hazard designation,X,1,1,1,1,2.87,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Sunrise,26.167,-80.2561,Low,No major hazard designation,X,1,1,1,1,3.19,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Plantation,26.1276,-80.2331,Low,No major hazard designation,X,1,1,1,1,3.96,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Davie,26.0765,-80.2521,Low,No major hazard designation,X,1,1,1,1,3.21,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Weston,26.1003,-80.3998,Low,No major hazard designation,X,1,1,1,1,3.85,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Deerfield Beach,26.3184,-80.0998,Low,No major hazard designation,X,1,1,1,1,4.21,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Margate,26.2445,-80.2062,Low,No major hazard designation,X,1,1,1,1,2.47,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Lauderhill,26.1401,-80.2131,Low,No major hazard designation,X,1,1,1,1,4.25,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Tamarac,26.2129,-80.2497,Low,No major hazard designation,X,1,1,1,1,3.04,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Coconut Creek,26.2712,-80.1793,Low,No major hazard designation,X,1,1,1,1,3.46,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
North Miami,25.8897,-80.1868,Low,No major hazard designation,X,1,1,1,1,3.98,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Miami Gardens,25.942,-80.2456,Low,No major hazard designation,X,1,1,1,1,3.98,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Hialeah,25.8576,-80.2781,Low,No major hazard designation,X,1,1,1,1,3.42,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Greenville SC,34.8526,-82.394,Low,No major hazard designation,X,1,1,1,1,3.2,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Columbia SC,34.0007,-81.0348,Low,No major hazard designation,X,1,1,1,1,3.85,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Spartanburg,34.9496,-81.932,Low,No major hazard designation,X,1,1,1,1,4.02,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Rock Hill,34.9249,-81.0251,Low,No major hazard designation,X,1,1,1,1,3.86,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
North Charleston,32.8546,-79.9748,Low,No major hazard designation,X,1,1,1,1,2.95,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Mount Pleasant,32.8323,-79.8284,Low,No major hazard designation,X,1,1,1,1,3.69,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Wilmington NC,34.2257,-77.9447,Low,No major hazard designation,X,1,1,1,1,3.41,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Gastonia,35.2621,-81.1873,Low,No major hazard designation,X,1,1,1,1,2.99,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Concord NC,35.4088,-80.5795,Low,No major hazard designation,X,1,1,1,1,2.89,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Huntersville,35.4107,-80.8429,Low,No major hazard designation,X,1,1,1,1,3.89,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Mooresville,35.5746,-80.8098,Low,No major hazard designation,X,1,1,1,1,3.99,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Cary,35.7915,-78.7811,Low,No major hazard designation,X,1,1,1,1,3.29,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Durham,35.994,-78.8986,Low,No major hazard designation,X,1,1,1,1,3.98,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Chapel Hill,35.9132,-79.0558,Low,No major hazard designation,X,1,1,1,1,3.88,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Apex,35.7327,-78.8503,Low,No major hazard designation,X,1,1,1,1,3.23,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Morrisville,35.8237,-78.8253,Low,No major hazard designation,X,1,1,1,1,2.93,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
High Point,35.9557,-80.0053,Low,No major hazard designation,X,1,1,1,1,3.05,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Winston-Salem,36.0999,-80.2442,Low,No major hazard designation,X,1,1,1,1,3.33,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Greensboro,36.0726,-79.792,Low,No major hazard designation,X,1,1,1,1,2.73,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Richmond VA,37.5407,-77.436,Low,No major hazard designation,X,1,1,1,1,3.08,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Newport News,37.0871,-76.473,Low,No major hazard designation,X,1,1,1,1,2.51,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Chesapeake,36.7682,-76.2875,Low,No major hazard designation,X,1,1,1,1,2.52,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Virginia Beach,36.8529,-75.978,Low,No major hazard designation,X,1,1,1,1,3.69,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Hampton,37.0299,-76.3452,Low,No major hazard designation,X,1,1,1,1,2.96,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Alexandria VA,38.8048,-77.0469,Low,No major hazard designation,X,1,1,1,1,2.87,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Madison WI,43.0731,-89.4012,Low,No major hazard designation,X,1,1,1,1,3.97,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Green Bay,44.5133,-88.0133,Low,No major hazard designation,X,1,1,1,1,2.8,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Kenosha,42.5847,-87.8212,Low,No major hazard designation,X,1,1,1,1,4.18,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Racine,42.7261,-87.7829,Low,No major hazard designation,X,1,1,1,1,3.35,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Appleton,44.2619,-88.4154,Low,No major hazard designation,X,1,1,1,1,3.78,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Eau Claire,44.8113,-91.4985,Low,No major hazard designation,X,1,1,1,1,3.98,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
La Crosse,43.8014,-91.2396,Low,No major hazard designation,X,1,1,1,1,2.56,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Janesville,42.6828,-89.0187,Low,No major hazard designation,X,1,1,1,1,2.89,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Cedar Rapids,41.9779,-91.6656,Low,No major hazard designation,X,1,1,1,1,3.89,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Iowa City,41.6611,-91.5302,Low,No major hazard designation,X,1,1,1,1,4.36,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Sioux City,42.4999,-96.4003,Low,No major hazard designation,X,1,1,1,1,2.62,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Waterloo,42.4928,-92.3426,Low,No major hazard designation,X,1,1,1,1,3.46,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Ames,42.0308,-93.6319,Low,No major hazard designation,X,1,1,1,1,3.53,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Dubuque,42.5006,-90.6646,Low,No major hazard designation,X,1,1,1,1,2.57,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Olathe,38.8814,-94.8191,Low,No major hazard designation,X,1,1,1,1,4.13,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Lawrence KS,38.9717,-95.2353,Low,No major hazard designation,X,1,1,1,1,3.86,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Shawnee,39.0228,-94.7152,Low,No major hazard designation,X,1,1,1,1,2.78,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Lenexa,38.9536,-94.7336,Low,No major hazard designation,X,1,1,1,1,2.78,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Lincoln NE,40.8136,-96.7026,Low,No major hazard designation,X,1,1,1,1,4.48,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Grand Island,40.925,-98.342,Low,No major hazard designation,X,1,1,1,1,2.85,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Rapid City,44.0805,-103.231,Low,No major hazard designation,X,1,1,1,1,3.62,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Bismarck,46.8083,-100.7837,Low,No major hazard designation,X,1,1,1,1,2.92,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Grand Forks,47.9253,-97.0329,Low,No major hazard designation,X,1,1,1,1,3.41,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Minot,48.2325,-101.2963,Low,No major hazard designation,X,1,1,1,1,2.77,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Missoula,46.8721,-113.994,Low,No major hazard designation,X,1,1,1,1,4.32,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Great Falls,47.5002,-111.3008,Low,No major hazard designation,X,1,1,1,1,4.51,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Helena MT,46.5958,-112.027,Low,No major hazard designation,X,1,1,1,1,2.95,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Kalispell,48.192,-114.3168,Low,No major hazard designation,X,1,1,1,1,3.55,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Casper,42.8501,-106.3252,Low,No major hazard designation,X,1,1,1,1,4.33,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Laramie,41.3114,-105.5911,Low,No major hazard designation,X,1,1,1,1,2.8,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Nampa,43.5407,-116.5635,Low,No major hazard designation,X,1,1,1,1,3.02,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Meridian,43.6121,-116.3915,Low,No major hazard designation,X,1,1,1,1,4.45,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Coeur d'Alene,47.6777,-116.7805,Low,No major hazard designation,X,1,1,1,1,2.93,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Twin Falls,42.5629,-114.4609,Low,No major hazard designation,X,1,1,1,1,4.08,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Pocatello,42.8713,-112.4455,Low,No major hazard designation,X,1,1,1,1,4.38,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
West Valley City,40.6916,-112.001,Low,No major hazard designation,X,1,1,1,1,3.95,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
West Jordan,40.6097,-111.9391,Low,No major hazard designation,X,1,1,1,1,4.07,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Sandy,40.5649,-111.8389,Low,No major hazard designation,X,1,1,1,1,3.76,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Lehi,40.3916,-111.8507,Low,No major hazard designation,X,1,1,1,1,2.88,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
