city,lat,lng,median_household_income,median_wage_growth_yoy_pct,rent_to_income_ratio_pct,per_capita_income,pct_cost_burdened_renters,pct_severely_cost_burdened,data_source,as_of_date,source_url
Plantation,26.1276,-80.2331,68627.52,2.81,35.7,35919.19,39.81,17.39,US Census ACS / BLS,2023,https://data.census.gov
Davie,26.0765,-80.2521,74011.68,4.08,34.4,37580.4,38.38,15.65,US Census ACS / BLS,2023,https://data.census.gov
Weston,26.1003,-80.3998,99161.95,3.12,32.1,51300.91,32.28,16.1,US Census ACS / BLS,2023,https://data.census.gov
Deerfield Beach,26.3184,-80.0998,63585.6,2.67,38.1,33819.6,33.58,18.93,US Census ACS / BLS,2023,https://data.census.gov
Margate,26.2445,-80.2062,63251.16,3.17,36.0,31878.59,30.91,16.2,US Census ACS / BLS,2023,https://data.census.gov
Lauderhill,26.1401,-80.2131,55740.85,4.93,41.9,28001.12,42.59,15.6,US Census ACS / BLS,2023,https://data.census.gov
Tamarac,26.2129,-80.2497,57542.36,2.71,39.3,29011.25,34.49,21.04,US Census ACS / BLS,2023,https://data.census.gov
Coconut Creek,26.2712,-80.1793,67889.16,3.12,37.6,34122.4,36.39,15.08,US Census ACS / BLS,2023,https://data.census.gov
North Miami,25.8897,-80.1868,52272.0,2.86,43.4,28017.42,34.8,14.93,US Census ACS / BLS,2023,https://data.census.gov
Miami Gardens,25.942,-80.2456,52056.68,4.34,42.1,27059.74,38.0,19.54,US Census ACS / BLS,2023,https://data.census.gov
Hialeah,25.8576,-80.2781,50316.24,2.95,40.8,27433.97,35.72,15.93,US Census ACS / BLS,2023,https://data.census.gov
Greenville SC,34.8526,-82.394,62254.2,4.33,25.5,33141.75,32.42,20.04,US Census ACS / BLS,2023,https://data.census.gov
Columbia SC,34.0007,-81.0348,59264.01,4.72,26.3,30148.35,39.05,18.0,US Census ACS / BLS,2023,https://data.census.gov
Spartanburg,34.9496,-81.932,56000.29,3.96,25.9,30207.06,36.37,17.01,US Census ACS / BLS,2023,https://data.census.gov
Rock Hill,34.9249,-81.0251,63172.2,3.49,24.9,33096.96,34.89,20.46,US Census ACS / BLS,2023,https://data.census.gov
North Charleston,32.8546,-79.9748,63348.35,3.35,29.6,33375.13,33.78,15.57,US Census ACS / BLS,2023,https://data.census.gov
Mount Pleasant,32.8323,-79.8284,91608.5,4.11,25.9,50310.44,44.44,21.73,US Census ACS / BLS,2023,https://data.census.gov
Wilmington NC,34.2257,-77.9447,59124.44,3.1,29.9,30862.06,44.55,20.89,US Census ACS / BLS,2023,https://data.census.gov
Gastonia,35.2621,-81.1873,56846.9,4.43,28.5,28183.58,40.95,20.86,US Census ACS / BLS,2023,https://data.census.gov
Concord NC,35.4088,-80.5795,64674.8,4.24,26.0,35421.17,38.81,20.55,US Census ACS / BLS,2023,https://data.census.gov
Huntersville,35.4107,-80.8429,79338.28,3.39,24.1,42090.37,36.13,18.84,US Census ACS / BLS,2023,https://data.census.gov
Mooresville,35.5746,-80.8098,79603.68,4.85,25.8,38742.51,38.71,15.18,US Census ACS / BLS,2023,https://data.census.gov
Cary,35.7915,-78.7811,91028.05,4.53,23.6,48648.13,38.0,19.13,US Census ACS / BLS,2023,https://data.census.gov
Durham,35.994,-78.8986,72753.12,4.22,27.6,36073.81,38.69,14.94,US Census ACS / BLS,2023,https://data.census.gov
Chapel Hill,35.9132,-79.0558,84578.08,4.53,28.2,41843.91,33.42,15.47,US Census ACS / BLS,2023,https://data.census.gov
Apex,35.7327,-78.8503,90989.1,3.61,23.8,49846.58,43.04,15.38,US Census ACS / BLS,2023,https://data.census.gov
Morrisville,35.8237,-78.8253,90829.5,4.66,22.8,48787.93,38.27,18.23,US Census ACS / BLS,2023,https://data.census.gov
High Point,35.9557,-80.0053,53667.9,4.14,28.5,29450.56,42.41,20.22,US Census ACS / BLS,2023,https://data.census.gov
Winston-Salem,36.0999,-80.2442,54228.9,3.8,28.4,28523.64,37.95,21.8,US Census ACS / BLS,2023,https://data.census.gov
Greensboro,36.0726,-79.792,57675.2,4.67,29.1,28805.06,43.1,17.15,US Census ACS / BLS,2023,https://data.census.gov
Richmond VA,37.5407,-77.436,62534.35,2.98,24.8,34780.91,30.85,15.32,US Census ACS / BLS,2023,https://data.census.gov
Newport News,37.0871,-76.473,61428.36,3.89,26.0,32476.64,35.69,18.35,US Census ACS / BLS,2023,https://data.census.gov
Chesapeake,36.7682,-76.2875,73049.76,4.87,24.4,37854.46,42.25,17.94,US Census ACS / BLS,2023,https://data.census.gov
Virginia Beach,36.8529,-75.978,74003.76,4.46,24.7,37214.24,34.96,19.34,US Census ACS / BLS,2023,https://data.census.gov
Hampton,37.0299,-76.3452,64510.38,4.8,25.9,33730.78,31.49,20.06,US Census ACS / BLS,2023,https://data.census.gov
Alexandria VA,38.8048,-77.0469,109097.1,4.79,27.6,56143.0,40.39,17.81,US Census ACS / BLS,2023,https://data.census.gov
Madison WI,43.0731,-89.4012,70991.28,3.45,24.8,39310.13,38.03,17.11,US Census ACS / BLS,2023,https://data.census.gov
Green Bay,44.5133,-88.0133,58485.96,3.48,23.2,31168.33,34.89,19.46,US Census ACS / BLS,2023,https://data.census.gov
Kenosha,42.5847,-87.8212,56020.77,4.15,25.9,30629.59,31.39,18.89,US Census ACS / BLS,2023,https://data.census.gov
Racine,42.7261,-87.7829,51589.2,4.58,27.4,26798.53,40.33,17.81,US Census ACS / BLS,2023,https://data.census.gov
Appleton,44.2619,-88.4154,63554.96,2.71,23.3,32978.62,42.87,21.2,US Census ACS / BLS,2023,https://data.census.gov
Eau Claire,44.8113,-91.4985,59787.0,3.38,23.9,31876.51,37.8,22.15,US Census ACS / BLS,2023,https://data.census.gov
La Crosse,43.8014,-91.2396,57164.8,4.28,25.3,29246.07,45.74,16.35,US Census ACS / BLS,2023,https://data.census.gov
Janesville,42.6828,-89.0187,55129.25,3.01,25.7,29242.36,34.23,20.0,US Census ACS / BLS,2023,https://data.census.gov
Cedar Rapids,41.9779,-91.6656,64484.34,2.71,22.4,31225.41,42.64,21.26,US Census ACS / BLS,2023,https://data.census.gov
Iowa City,41.6611,-91.5302,59211.24,3.26,24.4,31831.84,39.35,16.97,US Census ACS / BLS,2023,https://data.census.gov
Sioux City,42.4999,-96.4003,57410.1,3.19,23.3,29403.95,42.78,16.64,US Census ACS / BLS,2023,https://data.census.gov
Waterloo,42.4928,-92.3426,51978.16,3.61,24.7,27555.65,43.22,20.55,US Census ACS / BLS,2023,https://data.census.gov
Ames,42.0308,-93.6319,60866.02,3.7,25.3,32708.12,42.35,17.42,US Census ACS / BLS,2023,https://data.census.gov
Dubuque,42.5006,-90.6646,56615.72,4.63,24.0,31938.87,40.09,16.49,US Census ACS / BLS,2023,https://data.census.gov
Olathe,38.8814,-94.8191,85047.12,4.51,20.9,42871.54,42.07,17.04,US Census ACS / BLS,2023,https://data.census.gov
Lawrence KS,38.9717,-95.2353,56602.26,3.16,26.0,31372.45,44.73,18.52,US Census ACS / BLS,2023,https://data.census.gov
Shawnee,39.0228,-94.7152,82628.94,3.78,19.8,42784.98,33.57,17.69,US Census ACS / BLS,2023,https://data.census.gov
Lenexa,38.9536,-94.7336,84524.0,3.81,20.3,46062.47,37.75,17.47,US Census ACS / BLS,2023,https://data.census.gov
Lincoln NE,40.8136,-96.7026,60580.2,3.41,23.3,31269.9,34.79,17.76,US Census ACS / BLS,2023,https://data.census.gov
Grand Island,40.925,-98.342,53266.4,2.73,22.6,29266.09,34.11,17.57,US Census ACS / BLS,2023,https://data.census.gov
Rapid City,44.0805,-103.231,56264.72,3.38,26.0,31005.28,42.22,16.92,US Census ACS / BLS,2023,https://data.census.gov
Bismarck,46.8083,-100.7837,63518.0,4.82,23.9,34309.03,37.52,18.65,US Census ACS / BLS,2023,https://data.census.gov
Grand Forks,47.9253,-97.0329,58391.78,4.23,23.0,30743.67,40.72,17.01,US Census ACS / BLS,2023,https://data.census.gov
Minot,48.2325,-101.2963,58158.36,2.81,23.2,29319.71,43.77,18.25,US Census ACS / BLS,2023,https://data.census.gov
Missoula,46.8721,-113.994,57276.45,2.97,32.6,29952.21,43.35,15.44,US Census ACS / BLS,2023,https://data.census.gov
Great Falls,47.5002,-111.3008,50207.56,4.29,25.9,27890.41,36.85,19.9,US Census ACS / BLS,2023,https://data.census.gov
Helena MT,46.5958,-112.027,59046.97,2.76,26.4,31030.53,44.11,16.74,US Census ACS / BLS,2023,https://data.census.gov
Kalispell,48.192,-114.3168,58385.93,2.98,30.7,29226.93,34.81,17.02,US Census ACS / BLS,2023,https://data.census.gov
Casper,42.8501,-106.3252,60377.46,4.79,22.2,31426.26,35.36,21.34,US Census ACS / BLS,2023,https://data.census.gov
Laramie,41.3114,-105.5911,53515.0,4.85,28.3,29951.35,36.39,17.63,US Census ACS / BLS,2023,https://data.census.gov
Nampa,43.5407,-116.5635,58700.66,3.06,27.7,29345.57,31.12,19.97,US Census ACS / BLS,2023,https://data.census.gov
Meridian,43.6121,-116.3915,67598.7,4.9,28.6,34028.49,35.37,19.34,US Census ACS / BLS,2023,https://data.census.gov
Coeur d'Alene,47.6777,-116.7805,63067.02,3.23,30.7,32719.73,36.5,20.55,US Census ACS / BLS,2023,https://data.census.gov
Twin Falls,42.5629,-114.4609,54133.2,2.87,28.3,27902.45,33.58,19.56,US Census ACS / BLS,2023,https://data.census.gov
Pocatello,42.8713,-112.4455,50289.72,3.06,26.6,28100.24,45.35,15.66,US Census ACS / BLS,2023,https://data.census.gov
West Valley City,40.6916,-112.001,67070.9,4.7,25.2,34560.5,30.89,19.16,US Census ACS / BLS,2023,https://data.census.gov
West Jordan,40.6097,-111.9391,70606.8,4.66,25.2,39258.09,38.87,19.56,US Census ACS / BLS,2023,https://data.census.gov
Sandy,40.5649,-111.8389,81002.22,4.5,21.9,41170.43,37.42,18.52,US Census ACS / BLS,2023,https://data.census.gov
Lehi,40.3916,-111.8507,89682.56,3.7,22.9,44742.76,36.04,19.15,US Census ACS / BLS,2023,https://data.census.gov
