city,lat,lng,units_delivered_12mo,units_delivered_prior_12mo,delivery_growth_yoy_pct,pct_class_a,pct_class_b,pct_class_c,data_source,as_of_date,source_url
Daytona Beach,29.2108,-81.0228,1071,1060,7.48,70.53,25.47,7.71,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Kissimmee,28.2919,-81.4076,1492,1467,10.85,68.64,32.68,10.43,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Sanford,28.8005,-81.2731,1434,1396,7.8,56.01,31.92,9.42,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Clearwater,27.9659,-82.8001,1740,1650,5.31,72.5,31.18,8.19,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Cape Coral,26.5629,-81.9495,1582,1387,5.56,58.37,27.25,7.42,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Homestead,25.4687,-80.4776,1343,1379,10.06,61.51,33.91,7.34,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Doral,25.8195,-80.3556,2182,1912,11.23,70.36,25.46,8.14,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Aventura,25.9565,-80.1392,1726,1764,7.04,61.47,30.61,9.31,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Boca Raton,26.3683,-80.1289,2252,2166,8.64,69.41,28.28,8.84,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
West Palm Beach,26.7153,-80.0534,2902,2684,6.16,60.91,28.27,10.33,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Delray Beach,26.4615,-80.0728,1658,1354,5.4,65.6,32.36,8.07,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Boynton Beach,26.5317,-80.0905,1587,1403,8.84,71.99,28.36,7.8,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Pompano Beach,26.2379,-80.1248,1835,1540,11.29,55.36,32.17,7.91,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Hollywood,26.0112,-80.1495,1648,1465,8.63,74.23,32.53,9.75,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Coral Springs,26.2707,-80.2707,1839,1610,10.52,52.31,31.99,10.6,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Miramar,25.986,-80.233,1754,1427,9.89,57.26,27.07,7.77,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Pembroke Pines,26.007,-86.1527,1683,1479,9.91,73.14,24.08,8.0,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Sunrise,26.167,-80.2561,1825,1692,9.92,58.66,27.98,9.2,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Plantation,26.1276,-80.2331,1734,1527,8.33,56.8,32.32,8.12,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Davie,26.0765,-80.2521,1790,1614,5.92,61.0,26.35,8.61,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Weston,26.1003,-80.3998,1208,1073,5.39,65.1,27.76,7.41,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Deerfield Beach,26.3184,-80.0998,1802,1551,9.46,50.52,32.75,7.58,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Margate,26.2445,-80.2062,1181,1069,11.42,55.21,32.93,7.38,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Lauderhill,26.1401,-80.2131,1206,1093,10.21,58.98,22.93,7.89,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Tamarac,26.2129,-80.2497,1282,1249,7.22,55.52,33.47,9.5,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Coconut Creek,26.2712,-80.1793,1218,1195,8.98,63.96,32.12,9.6,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
North Miami,25.8897,-80.1868,1780,1507,5.19,65.87,32.72,9.41,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Miami Gardens,25.942,-80.2456,1285,1318,10.54,63.81,29.94,7.63,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Hialeah,25.8576,-80.2781,1079,1067,10.8,74.26,32.72,8.29,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Greenville SC,34.8526,-82.394,1862,1706,10.17,71.49,22.92,9.72,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Columbia SC,34.0007,-81.0348,1438,1364,8.82,74.25,23.15,9.32,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Spartanburg,34.9496,-81.932,1477,1359,10.55,65.06,23.27,10.19,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Rock Hill,34.9249,-81.0251,1345,1108,5.33,51.51,33.18,7.27,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
North Charleston,32.8546,-79.9748,1731,1426,9.52,59.26,30.47,10.17,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Mount Pleasant,32.8323,-79.8284,1821,1730,6.43,57.85,31.3,7.47,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Wilmington NC,34.2257,-77.9447,1235,1247,10.81,69.49,30.64,7.83,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Gastonia,35.2621,-81.1873,1133,1125,8.55,50.53,24.21,7.28,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Concord NC,35.4088,-80.5795,1334,1226,10.61,55.94,31.97,7.25,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Huntersville,35.4107,-80.8429,1686,1561,11.27,71.12,24.76,7.94,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Mooresville,35.5746,-80.8098,1872,1618,10.75,58.48,26.79,9.08,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Cary,35.7915,-78.7811,1547,1349,7.68,56.19,29.75,7.32,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Durham,35.994,-78.8986,2221,2029,9.17,70.34,23.67,10.15,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Chapel Hill,35.9132,-79.0558,1116,1057,7.01,67.95,26.52,10.71,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Apex,35.7327,-78.8503,1658,1394,5.5,70.14,22.85,7.93,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Morrisville,35.8237,-78.8253,1535,1540,7.96,58.43,28.04,9.85,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
High Point,35.9557,-80.0053,976,914,9.23,57.36,29.46,8.77,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Winston-Salem,36.0999,-80.2442,1231,1198,8.45,72.94,31.16,10.58,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Greensboro,36.0726,-79.792,1549,1406,9.22,63.08,25.66,8.78,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Richmond VA,37.5407,-77.436,2244,1896,7.09,73.87,31.98,8.58,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Newport News,37.0871,-76.473,1096,901,7.23,65.37,27.74,10.09,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Chesapeake,36.7682,-76.2875,1656,1479,9.05,70.81,28.38,7.88,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Virginia Beach,36.8529,-75.978,1628,1517,7.78,67.96,26.5,8.98,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Hampton,37.0299,-76.3452,1113,1051,9.76,65.0,32.64,7.6,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Alexandria VA,38.8048,-77.0469,2179,1774,6.77,74.54,28.89,7.23,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Madison WI,43.0731,-89.4012,1558,1329,10.79,52.2,32.62,8.15,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Green Bay,44.5133,-88.0133,1073,870,7.63,60.33,26.77,9.56,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Kenosha,42.5847,-87.8212,1166,1153,9.46,70.67,26.06,7.34,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Racine,42.7261,-87.7829,946,941,7.73,63.05,24.1,7.55,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Appleton,44.2619,-88.4154,1053,1033,7.2,60.09,28.45,7.96,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Eau Claire,44.8113,-91.4985,915,826,11.75,68.91,24.98,7.64,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
La Crosse,43.8014,-91.2396,815,837,6.39,56.65,24.27,7.75,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Janesville,42.6828,-89.0187,803,737,5.24,59.96,32.93,10.32,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Cedar Rapids,41.9779,-91.6656,1147,942,11.4,55.42,31.08,9.82,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Iowa City,41.6611,-91.5302,1157,1110,9.14,64.31,22.98,10.52,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Sioux City,42.4999,-96.4003,956,785,9.93,66.01,30.62,7.82,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Waterloo,42.4928,-92.3426,799,791,9.63,52.34,32.38,10.45,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Ames,42.0308,-93.6319,981,973,8.99,66.67,24.41,9.01,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Dubuque,42.5006,-90.6646,782,770,6.26,55.95,26.19,9.24,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Olathe,38.8814,-94.8191,1618,1441,7.77,68.5,28.77,8.54,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Lawrence KS,38.9717,-95.2353,972,863,5.2,65.81,25.95,10.03,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Shawnee,39.0228,-94.7152,1483,1236,11.29,55.77,33.78,8.92,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Lenexa,38.9536,-94.7336,1839,1839,5.33,64.31,24.26,10.09,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Lincoln NE,40.8136,-96.7026,1257,1134,9.17,56.68,30.32,8.86,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Grand Island,40.925,-98.342,728,602,8.6,62.82,25.95,10.72,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Rapid City,44.0805,-103.231,972,972,5.61,73.69,25.0,8.89,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Bismarck,46.8083,-100.7837,1139,1094,8.37,58.98,28.88,7.92,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Grand Forks,47.9253,-97.0329,854,743,9.23,52.83,28.77,9.06,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Minot,48.2325,-101.2963,926,891,6.46,72.23,24.65,9.97,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Missoula,46.8721,-113.994,1001,986,10.36,58.05,26.16,7.54,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Great Falls,47.5002,-111.3008,800,812,11.6,60.66,25.88,9.55,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Helena MT,46.5958,-112.027,954,942,7.14,62.84,30.24,10.51,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Kalispell,48.192,-114.3168,1102,987,5.93,70.92,27.64,10.38,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Casper,42.8501,-106.3252,724,666,6.88,61.01,33.23,10.78,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Laramie,41.3114,-105.5911,766,710,9.42,61.38,31.52,8.34,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Nampa,43.5407,-116.5635,1306,1315,6.74,55.74,24.01,8.99,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Meridian,43.6121,-116.3915,1742,1603,11.41,62.81,28.47,8.78,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Coeur d'Alene,47.6777,-116.7805,1256,1204,5.95,58.39,31.58,10.07,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Twin Falls,42.5629,-114.4609,1074,1048,7.96,70.66,26.13,8.33,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Pocatello,42.8713,-112.4455,953,896,9.17,60.86,26.57,7.24,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
West Valley City,40.6916,-112.001,1513,1447,10.89,70.32,29.0,8.4,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
West Jordan,40.6097,-111.9391,1720,1600,5.57,54.15,27.79,7.57,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Sandy,40.5649,-111.8389,1618,1540,7.69,73.28,25.45,10.8,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Lehi,40.3916,-111.8507,1933,1714,9.81,72.26,29.96,10.58,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
