city,lat,lng,avg_entitlement_months,zoning_friendly_score_1_10,upzoning_activity,inclusionary_zoning_required,affordable_set_aside_pct,impact_fee_per_unit,data_source,as_of_date,source_url
Concord NC,35.4088,-80.5795,19,8,Active,No,0,8827,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Huntersville,35.4107,-80.8429,19,8,Active,No,0,9092,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Mooresville,35.5746,-80.8098,18,8,Active,No,0,9238,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Cary,35.7915,-78.7811,17,8,Active,No,0,8787,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Durham,35.994,-78.8986,16,8,Active,No,0,9349,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Chapel Hill,35.9132,-79.0558,18,6,Moderate,No,0,7949,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Apex,35.7327,-78.8503,20,8,Active,No,0,9399,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Morrisville,35.8237,-78.8253,16,8,Active,No,0,8918,NMHC/Local Planning Departments,2025,https://www.nmhc.org
High Point,35.9557,-80.0053,19,4,Limited,No,0,7701,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Winston-Salem,36.0999,-80.2442,19,4,Limited,No,0,7864,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Greensboro,36.0726,-79.792,18,4,Limited,No,0,8014,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Richmond VA,37.5407,-77.436,16,6,Moderate,No,0,9067,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Newport News,37.0871,-76.473,19,4,Limited,No,0,8060,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Chesapeake,36.7682,-76.2875,20,4,Limited,No,0,8316,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Virginia Beach,36.8529,-75.978,16,4,Limited,No,0,9064,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Hampton,37.0299,-76.3452,19,4,Limited,No,0,9420,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Alexandria VA,38.8048,-77.0469,17,4,Limited,Yes,13.18,7711,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Madison WI,43.0731,-89.4012,18,4,Limited,No,0,9161,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Green Bay,44.5133,-88.0133,17,4,Limited,No,0,7655,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Kenosha,42.5847,-87.8212,16,4,Limited,No,0,7513,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Racine,42.7261,-87.7829,18,4,Limited,No,0,9269,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Appleton,44.2619,-88.4154,17,4,Limited,No,0,7587,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Eau Claire,44.8113,-91.4985,17,4,Limited,No,0,8680,NMHC/Local Planning Departments,2025,https://www.nmhc.org
La Crosse,43.8014,-91.2396,19,4,Limited,No,0,9348,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Janesville,42.6828,-89.0187,15,4,Limited,No,0,7685,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Cedar Rapids,41.9779,-91.6656,18,4,Limited,No,0,8800,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Iowa City,41.6611,-91.5302,18,4,Limited,No,0,7605,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Sioux City,42.4999,-96.4003,17,4,Limited,No,0,7995,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Waterloo,42.4928,-92.3426,16,4,Limited,No,0,8312,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Ames,42.0308,-93.6319,18,6,Moderate,No,0,8645,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Dubuque,42.5006,-90.6646,19,4,Limited,No,0,8372,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Olathe,38.8814,-94.8191,16,8,Active,No,0,8857,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Lawrence KS,38.9717,-95.2353,18,4,Limited,No,0,7891,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Shawnee,39.0228,-94.7152,18,6,Moderate,No,0,8904,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Lenexa,38.9536,-94.7336,17,8,Active,No,0,7714,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Lincoln NE,40.8136,-96.7026,19,6,Moderate,No,0,9178,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Grand Island,40.925,-98.342,16,4,Limited,No,0,8098,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Rapid City,44.0805,-103.231,17,6,Moderate,No,0,8767,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Bismarck,46.8083,-100.7837,16,4,Limited,No,0,8518,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Grand Forks,47.9253,-97.0329,19,4,Limited,No,0,8217,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Minot,48.2325,-101.2963,18,4,Limited,No,0,8471,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Missoula,46.8721,-113.994,17,6,Moderate,No,0,7844,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Great Falls,47.5002,-111.3008,17,4,Limited,No,0,8885,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Helena MT,46.5958,-112.027,18,4,Limited,No,0,9281,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Kalispell,48.192,-114.3168,17,8,Active,No,0,8621,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Casper,42.8501,-106.3252,18,4,Limited,No,0,7862,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Laramie,41.3114,-105.5911,20,4,Limited,No,0,8758,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Nampa,43.5407,-116.5635,18,8,Active,No,0,8994,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Meridian,43.6121,-116.3915,16,8,Active,No,0,9518,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Coeur d'Alene,47.6777,-116.7805,15,8,Active,No,0,8835,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Twin Falls,42.5629,-114.4609,16,6,Moderate,No,0,8654,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Pocatello,42.8713,-112.4455,18,6,Moderate,No,0,7873,NMHC/Local Planning Departments,2025,https://www.nmhc.org
West Valley City,40.6916,-112.001,20,6,Moderate,No,0,8339,NMHC/Local Planning Departments,2025,https://www.nmhc.org
West Jordan,40.6097,-111.9391,18,6,Moderate,No,0,8468,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Sandy,40.5649,-111.8389,15,6,Moderate,No,0,9413,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Lehi,40.3916,-111.8507,19,8,Active,No,0,8171,NMHC/Local Planning Departments,2025,https://www.nmhc.org
