city,lat,lng,occupancy_rate_pct,vacancy_rate_pct,physical_occupancy_pct,economic_occupancy_pct,occ_1yr_prior_pct,market_tightness,data_source,as_of_date,source_url
Lufkin,31.3382,-94.7291,94.1,5.9,94.39,91.83,94.34,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Huntsville TX,30.7235,-95.5508,91.03,8.97,90.67,90.72,90.77,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Texarkana,33.4251,-94.0477,93.92,6.08,94.1,92.75,95.15,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Paris TX,33.6609,-95.5555,92.37,7.63,92.17,90.44,94.43,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Amarillo,35.222,-101.8313,92.21,7.79,92.42,91.82,94.67,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Deltona,28.9005,-81.2637,91.49,8.51,90.67,91.63,92.06,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Daytona Beach,29.2108,-81.0228,88.58,11.42,89.04,85.73,90.84,Loose,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Kissimmee,28.2919,-81.4076,92.11,7.89,93.05,92.21,93.02,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Sanford,28.8005,-81.2731,88.7,11.3,89.45,87.1,89.06,Loose,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Clearwater,27.9659,-82.8001,91.2,8.8,89.35,90.1,92.93,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Cape Coral,26.5629,-81.9495,89.32,10.68,90.28,88.15,89.25,Loose,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Homestead,25.4687,-80.4776,91.49,8.51,90.91,90.84,93.21,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Doral,25.8195,-80.3556,93.11,6.89,91.63,92.31,93.37,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Aventura,25.9565,-80.1392,94.33,5.67,93.36,94.08,94.81,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Boca Raton,26.3683,-80.1289,93.48,6.52,93.7,91.88,95.14,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
West Palm Beach,26.7153,-80.0534,91.97,8.03,90.94,89.28,93.5,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Delray Beach,26.4615,-80.0728,93.54,6.46,91.46,91.43,94.07,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Boynton Beach,26.5317,-80.0905,93.42,6.58,93.84,92.01,93.27,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Pompano Beach,26.2379,-80.1248,92.48,7.52,93.27,91.68,93.13,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Hollywood,26.0112,-80.1495,91.25,8.75,92.52,88.68,93.89,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Coral Springs,26.2707,-80.2707,94.26,5.74,94.74,93.93,94.79,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Miramar,25.986,-80.233,94.67,5.33,92.65,91.75,95.6,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Pembroke Pines,26.007,-86.1527,91.7,8.3,91.7,92.19,91.76,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Sunrise,26.167,-80.2561,94.26,5.74,94.95,92.38,95.03,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Plantation,26.1276,-80.2331,94.18,5.82,93.48,91.49,94.36,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Davie,26.0765,-80.2521,92.3,7.7,92.57,90.33,92.52,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Weston,26.1003,-80.3998,93.97,6.03,93.69,93.26,95.94,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Deerfield Beach,26.3184,-80.0998,91.66,8.34,90.63,92.08,93.7,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Margate,26.2445,-80.2062,93.1,6.9,93.74,91.47,92.16,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Lauderhill,26.1401,-80.2131,93.48,6.52,91.41,90.77,94.01,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Tamarac,26.2129,-80.2497,94.08,5.92,91.94,92.62,94.85,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Coconut Creek,26.2712,-80.1793,94.68,5.32,94.69,95.3,95.39,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
North Miami,25.8897,-80.1868,91.01,8.99,90.65,91.48,93.16,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Miami Gardens,25.942,-80.2456,93.06,6.94,94.17,91.79,93.08,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Hialeah,25.8576,-80.2781,92.22,7.78,92.16,92.21,91.16,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Greenville SC,34.8526,-82.394,94.61,5.39,94.04,92.68,96.81,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Columbia SC,34.0007,-81.0348,94.06,5.94,93.02,93.75,95.58,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Spartanburg,34.9496,-81.932,93.43,6.57,92.43,90.43,93.93,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Rock Hill,34.9249,-81.0251,94.5,5.5,94.78,94.85,96.54,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
North Charleston,32.8546,-79.9748,92.69,7.31,92.46,91.63,93.29,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Mount Pleasant,32.8323,-79.8284,94.01,5.99,93.57,92.84,94.51,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Wilmington NC,34.2257,-77.9447,91.68,8.32,91.27,89.63,92.53,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Gastonia,35.2621,-81.1873,92.75,7.25,90.75,90.69,94.95,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Concord NC,35.4088,-80.5795,92.41,7.59,92.7,92.22,92.81,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Huntersville,35.4107,-80.8429,94.03,5.97,93.2,92.07,93.3,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Mooresville,35.5746,-80.8098,93.26,6.74,91.74,91.29,92.39,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Cary,35.7915,-78.7811,94.8,5.2,93.21,95.26,96.27,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Durham,35.994,-78.8986,94.69,5.31,95.66,92.82,97.29,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Chapel Hill,35.9132,-79.0558,94.88,5.12,94.2,93.55,95.6,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Apex,35.7327,-78.8503,93.87,6.13,93.28,92.34,93.86,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Morrisville,35.8237,-78.8253,92.75,7.25,93.53,92.97,92.63,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
High Point,35.9557,-80.0053,93.61,6.39,94.32,91.89,96.24,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Winston-Salem,36.0999,-80.2442,92.18,7.82,91.68,92.52,92.21,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Greensboro,36.0726,-79.792,93.79,6.21,94.99,91.73,92.87,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Richmond VA,37.5407,-77.436,93.96,6.04,93.61,93.85,95.14,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Newport News,37.0871,-76.473,95.27,4.73,94.15,95.09,94.84,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Chesapeake,36.7682,-76.2875,93.25,6.75,92.73,93.71,94.2,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Virginia Beach,36.8529,-75.978,93.49,6.51,92.9,92.23,94.96,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Hampton,37.0299,-76.3452,92.23,7.77,91.02,90.83,94.85,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Alexandria VA,38.8048,-77.0469,95.85,4.15,96.8,93.32,94.81,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Madison WI,43.0731,-89.4012,96.66,3.34,94.81,96.11,97.75,Very Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Green Bay,44.5133,-88.0133,93.15,6.85,93.19,93.67,94.13,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Kenosha,42.5847,-87.8212,94.44,5.56,94.46,93.67,96.48,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Racine,42.7261,-87.7829,93.91,6.09,92.25,91.37,94.26,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Appleton,44.2619,-88.4154,94.86,5.14,93.06,94.56,95.71,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Eau Claire,44.8113,-91.4985,94.1,5.9,92.48,91.82,95.11,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
La Crosse,43.8014,-91.2396,95.07,4.93,93.22,94.01,94.08,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Janesville,42.6828,-89.0187,92.82,7.18,93.88,91.24,93.57,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Cedar Rapids,41.9779,-91.6656,93.8,6.2,94.74,92.71,95.37,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Iowa City,41.6611,-91.5302,95.89,4.11,93.58,95.47,97.47,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Sioux City,42.4999,-96.4003,93.95,6.05,93.8,92.63,96.02,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Waterloo,42.4928,-92.3426,96.21,3.79,94.15,95.22,95.16,Very Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Ames,42.0308,-93.6319,97.36,2.64,97.03,96.84,96.58,Very Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Dubuque,42.5006,-90.6646,93.43,6.57,94.76,92.3,93.61,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Olathe,38.8814,-94.8191,93.65,6.35,94.03,90.96,96.05,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Lawrence KS,38.9717,-95.2353,95.47,4.53,93.72,93.22,97.61,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Shawnee,39.0228,-94.7152,95.04,4.96,96.3,93.15,93.95,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Lenexa,38.9536,-94.7336,93.92,6.08,94.3,94.37,92.83,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Lincoln NE,40.8136,-96.7026,96.5,3.5,97.1,94.74,96.88,Very Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Grand Island,40.925,-98.342,96.87,3.13,98.14,94.79,99.06,Very Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Rapid City,44.0805,-103.231,94.1,5.9,93.91,91.32,93.49,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Bismarck,46.8083,-100.7837,97.1,2.9,97.16,96.77,98.95,Very Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Grand Forks,47.9253,-97.0329,96.62,3.38,95.35,95.67,96.53,Very Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Minot,48.2325,-101.2963,96.31,3.69,96.01,96.26,98.36,Very Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Missoula,46.8721,-113.994,94.18,5.82,93.91,92.48,94.53,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Great Falls,47.5002,-111.3008,96.02,3.98,95.19,93.6,96.75,Very Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Helena MT,46.5958,-112.027,94.37,5.63,95.2,93.89,95.14,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Kalispell,48.192,-114.3168,94.55,5.45,92.27,92.7,95.79,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Casper,42.8501,-106.3252,92.76,7.24,91.7,91.65,95.04,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Laramie,41.3114,-105.5911,93.38,6.62,91.57,93.12,94.29,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Nampa,43.5407,-116.5635,92.52,7.48,93.07,89.69,94.45,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Meridian,43.6121,-116.3915,90.38,9.62,91.37,90.87,89.68,Loose,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Coeur d'Alene,47.6777,-116.7805,92.44,7.56,91.1,89.84,94.73,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Twin Falls,42.5629,-114.4609,93.69,6.31,94.56,90.65,96.19,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Pocatello,42.8713,-112.4455,94.43,5.57,95.19,93.6,94.02,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
West Valley City,40.6916,-112.001,90.15,9.85,90.44,87.83,91.67,Loose,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
West Jordan,40.6097,-111.9391,91.22,8.78,92.18,89.54,92.93,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Sandy,40.5649,-111.8389,93.8,6.2,92.36,92.99,95.13,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Lehi,40.3916,-111.8507,93.67,6.33,94.09,92.35,95.47,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
