city,lat,lng,units_under_construction,units_delivering_12mo,units_delivering_24mo,pct_of_existing_stock,avg_project_size_units,pct_affordable,data_source,as_of_date,source_url
West Palm Beach,26.7153,-80.0534,5772,3836,5610,11.7,222,11.71,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Delray Beach,26.4615,-80.0728,3299,2231,3053,6.51,253,11.48,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Boynton Beach,26.5317,-80.0905,3540,2465,3333,6.34,242,10.69,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Pompano Beach,26.2379,-80.1248,3861,2508,4088,7.47,256,14.44,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Hollywood,26.0112,-80.1495,3166,2199,3089,6.31,236,14.39,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Coral Springs,26.2707,-80.2707,3298,2229,2906,6.28,244,8.89,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Miramar,25.986,-80.233,3855,2332,3944,8.17,244,9.2,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Pembroke Pines,26.007,-86.1527,3563,2550,3528,7.75,249,14.22,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Sunrise,26.167,-80.2561,3529,2111,3081,7.79,242,12.78,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Plantation,26.1276,-80.2331,3409,2204,2995,7.65,267,13.94,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Davie,26.0765,-80.2521,3120,2225,2611,5.95,227,11.38,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Weston,26.1003,-80.3998,2303,1433,2332,4.98,263,15.13,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Deerfield Beach,26.3184,-80.0998,3193,2005,2748,6.31,267,15.83,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Margate,26.2445,-80.2062,2423,1508,2400,4.37,257,12.51,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Lauderhill,26.1401,-80.2131,2290,1411,2006,4.15,268,12.11,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Tamarac,26.2129,-80.2497,2413,1542,2191,4.89,266,11.72,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Coconut Creek,26.2712,-80.1793,2680,1596,2548,6.05,272,15.62,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
North Miami,25.8897,-80.1868,3506,2233,3603,6.6,253,11.62,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Miami Gardens,25.942,-80.2456,2694,1772,2361,4.85,218,15.49,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Hialeah,25.8576,-80.2781,2724,1940,2730,5.04,267,14.36,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Greenville SC,34.8526,-82.394,3253,2120,2793,6.03,272,12.4,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Columbia SC,34.0007,-81.0348,3178,1969,3285,6.7,252,14.06,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Spartanburg,34.9496,-81.932,2970,1929,2609,5.58,271,12.54,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Rock Hill,34.9249,-81.0251,2653,1683,2579,4.97,239,9.92,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
North Charleston,32.8546,-79.9748,3338,2349,3250,6.1,220,14.83,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Mount Pleasant,32.8323,-79.8284,3919,2345,3455,7.47,259,9.65,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Wilmington NC,34.2257,-77.9447,2426,1540,2425,4.99,223,15.49,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Gastonia,35.2621,-81.1873,2332,1550,2471,4.48,254,12.03,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Concord NC,35.4088,-80.5795,2718,1622,2613,4.98,271,12.54,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Huntersville,35.4107,-80.8429,3519,2177,3086,6.88,266,13.32,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Mooresville,35.5746,-80.8098,3590,2070,3423,6.63,248,14.16,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Cary,35.7915,-78.7811,3844,2401,3452,7.21,268,11.48,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Durham,35.994,-78.8986,4091,2851,3517,9.22,256,14.82,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Chapel Hill,35.9132,-79.0558,2465,1491,2356,4.58,251,11.54,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Apex,35.7327,-78.8503,3280,2105,3189,6.88,231,11.99,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Morrisville,35.8237,-78.8253,3321,2350,2863,7.05,260,11.02,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
High Point,35.9557,-80.0053,2372,1564,2196,4.38,241,13.24,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Winston-Salem,36.0999,-80.2442,2834,1762,2408,5.91,252,13.65,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Greensboro,36.0726,-79.792,3404,2446,3272,7.31,239,12.38,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Richmond VA,37.5407,-77.436,3819,2240,3756,7.1,260,10.61,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Newport News,37.0871,-76.473,2575,1474,2649,5.69,266,10.35,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Chesapeake,36.7682,-76.2875,3480,2522,3604,6.35,265,14.92,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Virginia Beach,36.8529,-75.978,3844,2323,3991,7.11,251,10.62,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Hampton,37.0299,-76.3452,2294,1613,2038,5.06,259,10.84,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Alexandria VA,38.8048,-77.0469,4951,3228,4980,9.25,253,11.16,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Madison WI,43.0731,-89.4012,3789,2473,3245,8.32,232,9.66,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Green Bay,44.5133,-88.0133,2347,1597,2253,4.5,260,9.66,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Kenosha,42.5847,-87.8212,2365,1533,2342,4.28,261,11.7,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Racine,42.7261,-87.7829,1597,1091,1437,3.51,258,10.09,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Appleton,44.2619,-88.4154,2400,1548,2351,4.37,228,12.85,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Eau Claire,44.8113,-91.4985,1956,1159,1767,3.99,217,13.81,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
La Crosse,43.8014,-91.2396,1777,1064,1617,3.47,257,8.86,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Janesville,42.6828,-89.0187,1615,1082,1606,3.66,251,8.79,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Cedar Rapids,41.9779,-91.6656,2400,1712,2084,4.43,255,14.69,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Iowa City,41.6611,-91.5302,1974,1199,1682,3.63,266,12.61,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Sioux City,42.4999,-96.4003,1956,1187,1876,3.93,220,14.19,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Waterloo,42.4928,-92.3426,1679,1032,1502,3.08,256,13.85,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Ames,42.0308,-93.6319,2226,1558,2209,4.61,235,11.15,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Dubuque,42.5006,-90.6646,1698,1095,1615,3.35,264,10.02,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Olathe,38.8814,-94.8191,3764,2600,3830,7.77,226,10.51,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Lawrence KS,38.9717,-95.2353,2355,1500,2199,4.41,228,11.21,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Shawnee,39.0228,-94.7152,3711,2407,3564,7.82,229,13.36,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Lenexa,38.9536,-94.7336,3167,2278,3002,6.93,257,10.11,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Lincoln NE,40.8136,-96.7026,2997,1915,2778,5.78,242,14.28,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Grand Island,40.925,-98.342,1346,841,1293,2.98,221,10.68,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Rapid City,44.0805,-103.231,2461,1680,2500,5.29,227,14.06,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Bismarck,46.8083,-100.7837,2336,1362,2397,4.75,239,13.13,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Grand Forks,47.9253,-97.0329,1970,1196,1851,3.9,270,15.05,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Minot,48.2325,-101.2963,1683,1055,1704,3.59,264,14.64,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Missoula,46.8721,-113.994,2412,1421,2436,4.45,270,15.0,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Great Falls,47.5002,-111.3008,1670,1034,1681,3.46,259,11.3,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Helena MT,46.5958,-112.027,1898,1118,1772,3.98,227,11.54,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Kalispell,48.192,-114.3168,2104,1312,1855,3.79,251,10.47,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Casper,42.8501,-106.3252,1492,901,1504,2.86,261,11.83,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Laramie,41.3114,-105.5911,1879,1276,1761,3.9,238,10.16,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Nampa,43.5407,-116.5635,2298,1422,2184,4.89,253,13.94,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Meridian,43.6121,-116.3915,3736,2575,3132,7.35,257,10.73,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Coeur d'Alene,47.6777,-116.7805,2516,1653,2214,5.16,261,14.43,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Twin Falls,42.5629,-114.4609,2191,1269,1987,4.34,265,8.98,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Pocatello,42.8713,-112.4455,1868,1206,1937,3.4,263,8.88,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
West Valley City,40.6916,-112.001,3855,2336,3929,8.15,247,15.63,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
West Jordan,40.6097,-111.9391,3766,2545,3409,8.03,229,9.64,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Sandy,40.5649,-111.8389,3586,2419,3683,7.97,241,10.03,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Lehi,40.3916,-111.8507,4904,3373,4763,9.02,267,9.4,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
