city,lat,lng,concession_rate_pct,avg_free_rent_weeks,pct_units_offering_concessions,net_effective_discount_pct,concession_trend,data_source,as_of_date,source_url
Daytona Beach,29.2108,-81.0228,2.0,1.6,16.0,1.2,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Kissimmee,28.2919,-81.4076,1.6,1.3,12.8,1.0,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Sanford,28.8005,-81.2731,1.6,1.3,12.8,1.0,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Clearwater,27.9659,-82.8001,1.6,1.3,12.8,1.0,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Cape Coral,26.5629,-81.9495,2.2,1.8,17.6,1.3,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Homestead,25.4687,-80.4776,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Doral,25.8195,-80.3556,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Aventura,25.9565,-80.1392,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Boca Raton,26.3683,-80.1289,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
West Palm Beach,26.7153,-80.0534,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Delray Beach,26.4615,-80.0728,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Boynton Beach,26.5317,-80.0905,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Pompano Beach,26.2379,-80.1248,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Hollywood,26.0112,-80.1495,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Coral Springs,26.2707,-80.2707,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Miramar,25.986,-80.233,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Pembroke Pines,26.007,-86.1527,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Sunrise,26.167,-80.2561,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Plantation,26.1276,-80.2331,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Davie,26.0765,-80.2521,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Weston,26.1003,-80.3998,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Deerfield Beach,26.3184,-80.0998,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Margate,26.2445,-80.2062,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Lauderhill,26.1401,-80.2131,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Tamarac,26.2129,-80.2497,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Coconut Creek,26.2712,-80.1793,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
North Miami,25.8897,-80.1868,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Miami Gardens,25.942,-80.2456,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Hialeah,25.8576,-80.2781,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Greenville SC,34.8526,-82.394,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Columbia SC,34.0007,-81.0348,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Spartanburg,34.9496,-81.932,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Rock Hill,34.9249,-81.0251,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
North Charleston,32.8546,-79.9748,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Mount Pleasant,32.8323,-79.8284,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Wilmington NC,34.2257,-77.9447,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Gastonia,35.2621,-81.1873,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Concord NC,35.4088,-80.5795,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Huntersville,35.4107,-80.8429,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Mooresville,35.5746,-80.8098,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Cary,35.7915,-78.7811,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Durham,35.994,-78.8986,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Chapel Hill,35.9132,-79.0558,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Apex,35.7327,-78.8503,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Morrisville,35.8237,-78.8253,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
High Point,35.9557,-80.0053,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Winston-Salem,36.0999,-80.2442,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Greensboro,36.0726,-79.792,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Richmond VA,37.5407,-77.436,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Newport News,37.0871,-76.473,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Chesapeake,36.7682,-76.2875,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Virginia Beach,36.8529,-75.978,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Hampton,37.0299,-76.3452,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Alexandria VA,38.8048,-77.0469,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Madison WI,43.0731,-89.4012,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Green Bay,44.5133,-88.0133,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Kenosha,42.5847,-87.8212,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Racine,42.7261,-87.7829,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Appleton,44.2619,-88.4154,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Eau Claire,44.8113,-91.4985,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
La Crosse,43.8014,-91.2396,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Janesville,42.6828,-89.0187,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Cedar Rapids,41.9779,-91.6656,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Iowa City,41.6611,-91.5302,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Sioux City,42.4999,-96.4003,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Waterloo,42.4928,-92.3426,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Ames,42.0308,-93.6319,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Dubuque,42.5006,-90.6646,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Olathe,38.8814,-94.8191,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Lawrence KS,38.9717,-95.2353,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Shawnee,39.0228,-94.7152,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Lenexa,38.9536,-94.7336,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Lincoln NE,40.8136,-96.7026,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Grand Island,40.925,-98.342,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Rapid City,44.0805,-103.231,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Bismarck,46.8083,-100.7837,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Grand Forks,47.9253,-97.0329,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Minot,48.2325,-101.2963,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Missoula,46.8721,-113.994,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Great Falls,47.5002,-111.3008,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Helena MT,46.5958,-112.027,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Kalispell,48.192,-114.3168,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Casper,42.8501,-106.3252,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Laramie,41.3114,-105.5911,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Nampa,43.5407,-116.5635,1.1,0.9,8.8,0.7,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Meridian,43.6121,-116.3915,0.9,0.7,7.2,0.5,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Coeur d'Alene,47.6777,-116.7805,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Twin Falls,42.5629,-114.4609,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Pocatello,42.8713,-112.4455,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
West Valley City,40.6916,-112.001,1.6,1.3,12.8,1.0,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
West Jordan,40.6097,-111.9391,1.4,1.1,11.2,0.8,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Sandy,40.5649,-111.8389,1.4,1.1,11.2,0.8,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Lehi,40.3916,-111.8507,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
