city,lat,lng,gross_rent_multiplier,grm_class_a,grm_class_b,grm_class_c,grm_5yr_avg,grm_trend,data_source,as_of_date,source_url
Laredo,27.5306,-99.4803,8.7,10.3,8.0,5.9,9.6,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
McAllen,26.2034,-98.23,8.76,10.6,8.0,6.2,8.8,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Brownsville,25.9017,-97.4975,8.0,10.4,8.0,6.0,9.4,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Killeen,31.1171,-97.7278,9.35,10.7,8.8,6.7,9.7,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Bryan-College Station,30.628,-96.3344,9.92,11.1,9.3,6.9,10.0,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Victoria,28.8053,-97.0036,8.53,9.6,7.8,5.9,9.0,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Longview,32.5007,-94.7405,9.32,10.2,8.5,6.7,9.5,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Nacogdoches,31.6035,-94.6552,8.25,9.6,7.7,6.5,8.9,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Lufkin,31.3382,-94.7291,8.68,9.5,8.1,5.9,9.1,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Huntsville TX,30.7235,-95.5508,8.6,10.7,8.9,6.9,9.7,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Texarkana,33.4251,-94.0477,8.1,10.2,8.0,6.4,9.2,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Paris TX,33.6609,-95.5555,8.27,10.5,8.5,5.9,9.0,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Amarillo,35.222,-101.8313,9.29,10.0,8.3,6.4,9.9,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Deltona,28.9005,-81.2637,11.06,14.0,10.3,8.2,12.4,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Daytona Beach,29.2108,-81.0228,10.12,12.2,9.6,8.0,11.2,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Kissimmee,28.2919,-81.4076,12.39,15.4,12.4,9.3,13.8,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Sanford,28.8005,-81.2731,11.93,14.2,10.7,8.4,12.6,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Clearwater,27.9659,-82.8001,13.4,15.2,13.4,9.2,13.9,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Cape Coral,26.5629,-81.9495,13.05,13.9,11.8,9.2,12.9,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Homestead,25.4687,-80.4776,12.86,15.4,11.4,9.0,13.6,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Doral,25.8195,-80.3556,15.99,20.6,16.1,11.3,17.0,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Aventura,25.9565,-80.1392,17.03,20.8,16.3,12.2,18.4,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Boca Raton,26.3683,-80.1289,15.22,18.9,13.9,11.6,16.8,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
West Palm Beach,26.7153,-80.0534,14.76,16.3,13.7,10.8,15.7,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Delray Beach,26.4615,-80.0728,14.79,17.1,13.6,10.8,15.8,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Boynton Beach,26.5317,-80.0905,13.73,15.9,12.5,9.7,14.8,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Pompano Beach,26.2379,-80.1248,14.09,16.1,14.6,10.4,15.0,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Hollywood,26.0112,-80.1495,15.31,17.3,14.5,10.7,15.5,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Coral Springs,26.2707,-80.2707,14.34,17.4,13.4,11.1,15.6,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Miramar,25.986,-80.233,14.79,17.1,14.4,10.0,14.9,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Pembroke Pines,26.007,-86.1527,13.76,16.6,14.3,10.7,15.3,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Sunrise,26.167,-80.2561,13.52,16.9,13.5,10.1,14.8,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Plantation,26.1276,-80.2331,14.8,17.5,13.5,10.2,15.3,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Davie,26.0765,-80.2521,15.2,17.2,13.7,10.9,14.9,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Weston,26.1003,-80.3998,15.81,18.1,15.2,11.4,17.2,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Deerfield Beach,26.3184,-80.0998,13.79,16.3,13.5,9.7,14.5,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Margate,26.2445,-80.2062,13.59,16.3,12.7,9.6,14.0,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Lauderhill,26.1401,-80.2131,13.78,16.5,12.7,9.5,15.3,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Tamarac,26.2129,-80.2497,13.58,15.9,13.1,10.1,13.9,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Coconut Creek,26.2712,-80.1793,13.64,16.7,13.2,9.4,15.1,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
North Miami,25.8897,-80.1868,13.78,15.5,13.2,9.8,15.0,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Miami Gardens,25.942,-80.2456,13.51,15.4,13.3,10.1,14.9,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Hialeah,25.8576,-80.2781,13.96,15.5,13.0,10.2,14.1,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Greenville SC,34.8526,-82.394,10.08,11.3,10.0,7.3,11.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Columbia SC,34.0007,-81.0348,9.85,11.5,9.4,7.5,10.6,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Spartanburg,34.9496,-81.932,10.78,12.6,9.6,7.6,11.2,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Rock Hill,34.9249,-81.0251,11.4,13.2,10.7,8.1,12.2,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
North Charleston,32.8546,-79.9748,12.41,13.6,11.4,8.7,12.2,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Mount Pleasant,32.8323,-79.8284,15.36,18.1,14.0,10.7,16.1,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Wilmington NC,34.2257,-77.9447,10.82,12.8,11.0,8.1,13.0,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Gastonia,35.2621,-81.1873,10.35,11.6,9.8,7.0,10.8,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Concord NC,35.4088,-80.5795,11.54,13.5,11.0,8.0,12.4,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Huntersville,35.4107,-80.8429,11.87,14.7,11.7,9.4,13.0,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Mooresville,35.5746,-80.8098,11.83,15.6,12.2,9.1,13.4,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Cary,35.7915,-78.7811,13.05,16.2,12.3,9.9,15.0,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Durham,35.994,-78.8986,12.87,14.1,11.9,8.6,13.6,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Chapel Hill,35.9132,-79.0558,13.22,16.1,13.3,9.8,14.0,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Apex,35.7327,-78.8503,13.45,16.8,12.9,9.1,14.2,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Morrisville,35.8237,-78.8253,13.72,16.6,12.8,9.5,15.2,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
High Point,35.9557,-80.0053,10.16,11.4,9.6,7.6,11.5,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Winston-Salem,36.0999,-80.2442,10.03,11.8,10.0,7.4,11.5,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Greensboro,36.0726,-79.792,9.9,11.8,9.9,7.0,11.6,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Richmond VA,37.5407,-77.436,11.13,12.5,9.9,7.4,12.0,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Newport News,37.0871,-76.473,10.49,12.7,9.5,7.4,11.5,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Chesapeake,36.7682,-76.2875,11.51,14.1,10.7,8.3,12.1,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Virginia Beach,36.8529,-75.978,11.46,13.3,10.7,8.8,11.9,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Hampton,37.0299,-76.3452,10.19,11.7,9.7,7.3,11.2,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Alexandria VA,38.8048,-77.0469,15.48,18.3,13.9,11.6,17.4,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Madison WI,43.0731,-89.4012,11.88,13.2,10.4,8.0,12.5,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Green Bay,44.5133,-88.0133,9.13,10.5,8.4,6.4,9.5,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Kenosha,42.5847,-87.8212,9.84,12.1,10.2,7.0,10.7,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Racine,42.7261,-87.7829,8.87,11.2,9.0,7.0,10.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Appleton,44.2619,-88.4154,9.12,10.3,8.8,6.9,10.2,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Eau Claire,44.8113,-91.4985,8.71,10.6,8.2,6.2,9.5,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
La Crosse,43.8014,-91.2396,8.86,10.3,8.3,7.0,9.9,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Janesville,42.6828,-89.0187,9.62,10.7,9.2,6.7,9.5,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Cedar Rapids,41.9779,-91.6656,9.68,10.4,8.8,6.5,9.7,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Iowa City,41.6611,-91.5302,10.36,12.1,10.0,7.7,11.1,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Sioux City,42.4999,-96.4003,8.19,9.5,8.4,6.2,9.6,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Waterloo,42.4928,-92.3426,8.83,9.8,8.2,6.3,8.8,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Ames,42.0308,-93.6319,10.41,12.3,10.1,7.3,11.2,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Dubuque,42.5006,-90.6646,9.32,10.3,8.6,6.2,10.1,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Olathe,38.8814,-94.8191,10.38,13.3,10.6,8.2,11.7,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Lawrence KS,38.9717,-95.2353,10.54,12.2,9.9,7.0,11.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Shawnee,39.0228,-94.7152,11.17,12.4,10.8,7.7,11.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Lenexa,38.9536,-94.7336,11.4,14.1,11.0,8.4,12.6,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Lincoln NE,40.8136,-96.7026,9.64,10.9,9.2,6.8,10.0,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Grand Island,40.925,-98.342,8.43,10.1,7.7,6.1,9.0,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Rapid City,44.0805,-103.231,10.36,11.8,9.7,7.1,10.6,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Bismarck,46.8083,-100.7837,10.23,11.6,9.3,7.7,11.1,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Grand Forks,47.9253,-97.0329,8.65,10.4,8.9,6.3,9.7,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Minot,48.2325,-101.2963,9.31,10.7,8.5,6.3,10.0,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Missoula,46.8721,-113.994,11.92,12.8,10.7,7.8,12.2,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Great Falls,47.5002,-111.3008,8.95,10.8,9.3,6.9,9.7,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Helena MT,46.5958,-112.027,10.73,11.7,9.7,7.8,10.9,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Kalispell,48.192,-114.3168,12.15,13.5,11.3,7.9,12.1,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Casper,42.8501,-106.3252,9.34,10.6,8.3,7.0,10.4,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Laramie,41.3114,-105.5911,10.59,12.2,9.5,7.2,11.2,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Nampa,43.5407,-116.5635,10.65,12.2,10.3,7.8,12.1,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Meridian,43.6121,-116.3915,11.92,12.9,10.8,8.7,12.4,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Coeur d'Alene,47.6777,-116.7805,13.2,15.3,11.4,8.6,13.7,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Twin Falls,42.5629,-114.4609,10.09,11.4,9.8,7.0,10.8,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Pocatello,42.8713,-112.4455,9.33,11.1,8.9,6.8,10.4,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
West Valley City,40.6916,-112.001,10.47,12.3,10.6,7.8,11.8,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
West Jordan,40.6097,-111.9391,10.94,14.1,11.3,7.9,12.2,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Sandy,40.5649,-111.8389,11.11,13.3,10.8,8.1,12.0,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Lehi,40.3916,-111.8507,12.26,14.7,11.7,9.3,14.1,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
