city,lat,lng,renter_occupied_pct,owner_occupied_pct,household_formation_annual,avg_household_size,median_age_renters,renter_household_income,data_source,as_of_date,source_url
Delray Beach,26.4615,-80.0728,44.34,52.8,5694,2.68,34.37,57918.71,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Boynton Beach,26.5317,-80.0905,47.32,50.9,6656,2.66,32.32,52006.49,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Pompano Beach,26.2379,-80.1248,54.81,48.5,4278,2.54,35.64,50306.63,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Hollywood,26.0112,-80.1495,51.27,46.0,4424,2.48,36.67,50302.14,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Coral Springs,26.2707,-80.2707,44.66,51.9,5002,2.64,36.08,52209.1,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Miramar,25.986,-80.233,53.2,46.6,5582,2.4,34.35,48117.1,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Pembroke Pines,26.007,-86.1527,48.87,51.4,5303,2.71,32.65,48162.26,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Sunrise,26.167,-80.2561,52.61,50.6,4682,2.36,36.84,45278.44,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Plantation,26.1276,-80.2331,47.79,49.5,4928,2.72,35.51,54521.58,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Davie,26.0765,-80.2521,44.61,55.4,4442,2.47,34.42,55589.9,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Weston,26.1003,-80.3998,41.9,58.2,4776,2.6,34.14,66292.19,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Deerfield Beach,26.3184,-80.0998,53.98,46.9,4662,2.46,35.43,45360.81,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Margate,26.2445,-80.2062,53.4,47.5,3697,2.37,34.18,47548.39,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Lauderhill,26.1401,-80.2131,57.84,43.1,2308,2.57,36.48,41578.73,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Tamarac,26.2129,-80.2497,54.87,47.4,3797,2.56,33.92,44023.15,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Coconut Creek,26.2712,-80.1793,50.89,51.3,4284,2.36,35.84,47123.8,US Census ACS 5-Year Estimates,2023,https://data.census.gov
North Miami,25.8897,-80.1868,60.95,35.6,4012,2.61,33.1,39527.14,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Miami Gardens,25.942,-80.2456,60.92,34.7,4239,2.47,32.62,40275.26,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Hialeah,25.8576,-80.2781,61.72,37.0,4116,2.69,34.39,38760.88,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Greenville SC,34.8526,-82.394,43.64,56.7,5640,2.54,33.94,44461.44,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Columbia SC,34.0007,-81.0348,50.56,50.7,2647,2.46,33.4,45484.88,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Spartanburg,34.9496,-81.932,45.17,55.8,3478,2.58,34.1,44951.14,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Rock Hill,34.9249,-81.0251,46.27,56.7,5905,2.71,32.26,46042.96,US Census ACS 5-Year Estimates,2023,https://data.census.gov
North Charleston,32.8546,-79.9748,49.03,50.4,6830,2.41,32.08,44495.19,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Mount Pleasant,32.8323,-79.8284,39.75,60.0,8315,2.44,33.24,70268.14,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Wilmington NC,34.2257,-77.9447,47.87,51.3,5933,2.35,34.1,42466.57,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Gastonia,35.2621,-81.1873,44.26,55.1,4502,2.41,34.22,39829.36,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Concord NC,35.4088,-80.5795,43.76,56.1,7337,2.33,34.63,50858.86,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Huntersville,35.4107,-80.8429,38.61,61.4,7717,2.69,36.7,63165.24,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Mooresville,35.5746,-80.8098,39.0,60.3,8565,2.39,36.08,59798.27,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Cary,35.7915,-78.7811,38.97,62.4,7131,2.48,33.17,68916.56,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Durham,35.994,-78.8986,54.23,47.0,7056,2.46,34.45,49527.52,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Chapel Hill,35.9132,-79.0558,53.37,49.8,5263,2.69,31.95,59582.22,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Apex,35.7327,-78.8503,35.31,65.2,10714,2.4,34.25,65681.51,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Morrisville,35.8237,-78.8253,46.47,52.9,9049,2.38,36.0,71743.39,US Census ACS 5-Year Estimates,2023,https://data.census.gov
High Point,35.9557,-80.0053,44.36,56.5,2890,2.61,34.42,36445.31,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Winston-Salem,36.0999,-80.2442,46.5,55.8,2263,2.38,33.79,39340.86,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Greensboro,36.0726,-79.792,48.7,55.5,2833,2.34,32.98,38565.96,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Richmond VA,37.5407,-77.436,53.05,49.0,3658,2.5,36.8,50921.24,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Newport News,37.0871,-76.473,46.39,53.6,1497,2.42,31.79,41565.91,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Chesapeake,36.7682,-76.2875,38.04,61.9,2540,2.65,34.57,49673.5,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Virginia Beach,36.8529,-75.978,39.92,59.9,1644,2.68,35.88,49671.84,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Hampton,37.0299,-76.3452,45.99,53.7,616,2.39,36.1,45804.93,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Alexandria VA,38.8048,-77.0469,60.28,41.5,3160,2.71,35.51,70237.84,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Madison WI,43.0731,-89.4012,52.28,46.5,2801,2.57,35.54,50971.58,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Green Bay,44.5133,-88.0133,42.77,58.3,1532,2.65,37.03,42144.94,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Kenosha,42.5847,-87.8212,46.79,54.1,1721,2.37,32.03,41894.91,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Racine,42.7261,-87.7829,48.93,51.6,713,2.72,31.83,39234.12,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Appleton,44.2619,-88.4154,40.19,59.9,2798,2.47,33.5,41098.8,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Eau Claire,44.8113,-91.4985,43.84,54.0,2788,2.69,36.55,39535.52,US Census ACS 5-Year Estimates,2023,https://data.census.gov
La Crosse,43.8014,-91.2396,45.43,52.0,1673,2.4,32.13,42166.71,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Janesville,42.6828,-89.0187,45.03,55.5,1597,2.6,36.32,38349.27,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Cedar Rapids,41.9779,-91.6656,42.82,58.5,2498,2.52,37.01,45677.08,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Iowa City,41.6611,-91.5302,50.74,45.4,2833,2.52,36.17,44122.18,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Sioux City,42.4999,-96.4003,44.84,56.5,1486,2.52,32.56,36606.24,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Waterloo,42.4928,-92.3426,46.11,55.6,695,2.57,34.49,38755.49,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Ames,42.0308,-93.6319,52.33,46.0,3495,2.67,35.53,43407.22,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Dubuque,42.5006,-90.6646,42.23,56.8,1768,2.34,33.78,42379.46,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Olathe,38.8814,-94.8191,38.17,60.5,7326,2.49,37.17,59451.86,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Lawrence KS,38.9717,-95.2353,50.4,49.0,2574,2.58,33.16,38838.68,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Shawnee,39.0228,-94.7152,37.61,60.0,6434,2.6,35.79,59444.31,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Lenexa,38.9536,-94.7336,38.29,64.5,7347,2.46,33.97,60403.88,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Lincoln NE,40.8136,-96.7026,47.25,51.7,4061,2.48,33.34,43854.34,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Grand Island,40.925,-98.342,40.58,59.1,2285,2.56,36.26,41474.82,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Rapid City,44.0805,-103.231,40.32,61.0,4586,2.45,36.04,43372.82,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Bismarck,46.8083,-100.7837,38.71,60.9,2959,2.63,33.56,49017.95,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Grand Forks,47.9253,-97.0329,45.71,53.9,2792,2.71,32.09,40775.53,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Minot,48.2325,-101.2963,39.86,58.7,1739,2.47,34.82,43290.6,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Missoula,46.8721,-113.994,49.15,50.3,5989,2.5,32.13,39960.52,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Great Falls,47.5002,-111.3008,43.43,56.1,1435,2.72,36.26,39450.98,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Helena MT,46.5958,-112.027,46.04,55.3,2731,2.65,35.34,41056.55,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Kalispell,48.192,-114.3168,37.1,61.7,8804,2.33,33.3,38774.66,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Casper,42.8501,-106.3252,39.98,59.8,1614,2.41,36.52,42463.0,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Laramie,41.3114,-105.5911,46.28,53.8,2446,2.65,33.45,36662.63,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Nampa,43.5407,-116.5635,41.93,58.1,7407,2.47,34.42,43649.12,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Meridian,43.6121,-116.3915,38.55,62.2,8965,2.56,35.09,44033.93,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Coeur d'Alene,47.6777,-116.7805,40.2,58.9,8926,2.51,33.81,47639.09,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Twin Falls,42.5629,-114.4609,40.34,60.7,6609,2.5,34.06,41508.4,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Pocatello,42.8713,-112.4455,42.38,55.9,3772,2.53,34.33,39691.19,US Census ACS 5-Year Estimates,2023,https://data.census.gov
West Valley City,40.6916,-112.001,48.37,50.8,4308,2.34,36.94,49620.73,US Census ACS 5-Year Estimates,2023,https://data.census.gov
West Jordan,40.6097,-111.9391,41.44,60.1,6342,2.44,32.91,49948.88,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Sandy,40.5649,-111.8389,40.25,61.9,5120,2.66,36.84,54161.6,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Lehi,40.3916,-111.8507,38.25,64.3,13019,2.63,35.2,63143.06,US Census ACS 5-Year Estimates,2023,https://data.census.gov
