city,lat,lng,job_growth_yoy_pct,jobs_added_12mo,unemployment_rate_pct,labor_force_participation_pct,top_growth_sector,major_employers,data_source,as_of_date,source_url
Anchorage,61.2181,-149.9003,1.57,22418,5.15,66.14,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Honolulu,21.3069,-157.8583,1.41,23716,3.38,63.58,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Wichita Falls,33.9137,-98.4934,1.52,21736,4.8,64.52,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Midland,31.9973,-102.0779,2.53,41573,3.41,66.14,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Odessa,31.8457,-102.3676,2.07,29719,4.1,61.56,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Tyler,32.3513,-95.3011,1.54,29832,4.49,61.65,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Waco,31.5493,-97.1467,1.99,29859,4.32,64.77,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Beaumont,30.086,-94.1018,1.68,22260,5.27,62.93,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Abilene,32.4487,-99.7331,1.68,20057,4.54,63.64,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Laredo,27.5306,-99.4803,1.38,23329,5.6,61.74,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
McAllen,26.2034,-98.23,1.58,25836,4.97,65.87,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Brownsville,25.9017,-97.4975,1.53,23706,6.52,63.58,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Killeen,31.1171,-97.7278,1.96,28353,4.9,65.37,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Bryan-College Station,30.628,-96.3344,2.34,35410,3.65,62.28,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Victoria,28.8053,-97.0036,1.64,22584,4.39,62.52,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Longview,32.5007,-94.7405,1.31,20622,4.94,64.66,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Nacogdoches,31.6035,-94.6552,1.43,21103,4.47,60.88,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Lufkin,31.3382,-94.7291,1.2,16862,4.61,63.66,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Huntsville TX,30.7235,-95.5508,1.82,24896,4.58,64.39,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Texarkana,33.4251,-94.0477,1.04,19922,4.96,65.68,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Paris TX,33.6609,-95.5555,1.19,18529,5.05,61.59,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Amarillo,35.222,-101.8313,1.99,29203,3.43,62.59,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Deltona,28.9005,-81.2637,2.15,27525,4.01,62.74,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Daytona Beach,29.2108,-81.0228,1.8,29373,4.35,61.03,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Kissimmee,28.2919,-81.4076,2.19,36286,4.38,62.83,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Sanford,28.8005,-81.2731,1.86,27260,3.72,64.93,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Clearwater,27.9659,-82.8001,1.74,32079,3.8,61.21,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Cape Coral,26.5629,-81.9495,2.02,32213,3.67,65.46,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Homestead,25.4687,-80.4776,1.58,28643,4.97,65.87,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Doral,25.8195,-80.3556,2.55,37738,4.95,65.98,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Aventura,25.9565,-80.1392,2.34,36236,4.6,64.13,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Boca Raton,26.3683,-80.1289,2.32,36355,3.75,61.4,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
West Palm Beach,26.7153,-80.0534,2.16,34745,3.99,62.78,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Delray Beach,26.4615,-80.0728,1.88,29656,4.01,65.0,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Boynton Beach,26.5317,-80.0905,1.99,32358,4.12,65.2,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Pompano Beach,26.2379,-80.1248,2.25,27031,4.77,63.66,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Hollywood,26.0112,-80.1495,2.01,27447,4.1,64.65,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Coral Springs,26.2707,-80.2707,2.28,28372,4.02,62.55,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Miramar,25.986,-80.233,1.86,30780,3.84,62.59,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Pembroke Pines,26.007,-86.1527,2.23,32449,3.57,66.3,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Sunrise,26.167,-80.2561,1.98,27497,4.33,63.42,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Plantation,26.1276,-80.2331,1.94,26703,4.11,66.45,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Davie,26.0765,-80.2521,2.1,28342,4.08,60.73,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Weston,26.1003,-80.3998,2.4,34664,3.08,65.23,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Deerfield Beach,26.3184,-80.0998,2.26,26639,4.87,66.31,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Margate,26.2445,-80.2062,1.55,23765,4.42,65.34,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Lauderhill,26.1401,-80.2131,1.7,22631,5.39,62.75,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Tamarac,26.2129,-80.2497,1.86,25266,4.52,63.69,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Coconut Creek,26.2712,-80.1793,1.67,26286,4.14,64.55,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
North Miami,25.8897,-80.1868,1.92,29754,5.48,63.14,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Miami Gardens,25.942,-80.2456,1.69,24699,5.25,61.81,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Hialeah,25.8576,-80.2781,1.3,21475,5.73,66.25,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Greenville SC,34.8526,-82.394,2.42,34436,3.65,64.23,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Columbia SC,34.0007,-81.0348,2.07,30205,4.05,60.59,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Spartanburg,34.9496,-81.932,1.88,26564,4.46,61.83,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Rock Hill,34.9249,-81.0251,2.74,37098,4.08,63.07,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
North Charleston,32.8546,-79.9748,2.33,40321,3.6,61.58,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Mount Pleasant,32.8323,-79.8284,2.68,39989,3.26,64.67,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Wilmington NC,34.2257,-77.9447,2.01,31327,3.55,63.22,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Gastonia,35.2621,-81.1873,1.88,32846,4.95,61.64,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Concord NC,35.4088,-80.5795,2.54,39399,3.82,64.27,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Huntersville,35.4107,-80.8429,2.73,39406,3.41,66.18,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Mooresville,35.5746,-80.8098,2.98,40874,3.64,62.3,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Cary,35.7915,-78.7811,2.65,43585,3.01,63.07,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Durham,35.994,-78.8986,3.3,52349,3.55,62.01,Technology,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Chapel Hill,35.9132,-79.0558,2.67,33292,3.03,60.98,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Apex,35.7327,-78.8503,2.93,49685,3.08,60.6,Technology,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Morrisville,35.8237,-78.8253,2.91,48321,3.01,61.59,Technology,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
High Point,35.9557,-80.0053,1.89,23934,4.46,61.47,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Winston-Salem,36.0999,-80.2442,1.91,30018,4.61,66.29,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Greensboro,36.0726,-79.792,1.98,27916,4.75,62.32,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Richmond VA,37.5407,-77.436,2.64,33825,3.57,65.49,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Newport News,37.0871,-76.473,1.8,28402,4.29,61.72,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Chesapeake,36.7682,-76.2875,2.24,30191,3.54,61.22,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Virginia Beach,36.8529,-75.978,1.62,29098,3.47,65.41,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Hampton,37.0299,-76.3452,1.55,22729,4.37,61.85,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Alexandria VA,38.8048,-77.0469,1.82,27986,2.94,66.55,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Madison WI,43.0731,-89.4012,2.38,35572,2.55,63.97,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Green Bay,44.5133,-88.0133,1.69,28051,3.48,66.35,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Kenosha,42.5847,-87.8212,2.0,24238,4.17,65.09,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Racine,42.7261,-87.7829,1.29,20679,4.95,60.76,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Appleton,44.2619,-88.4154,1.71,28444,2.73,63.55,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Eau Claire,44.8113,-91.4985,2.01,32341,2.86,62.2,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
La Crosse,43.8014,-91.2396,1.61,24272,3.25,61.17,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Janesville,42.6828,-89.0187,1.85,29982,4.86,61.42,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Cedar Rapids,41.9779,-91.6656,1.8,33202,2.96,61.3,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Iowa City,41.6611,-91.5302,2.04,26577,3.03,62.94,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Sioux City,42.4999,-96.4003,1.55,29374,3.45,63.72,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Waterloo,42.4928,-92.3426,1.51,21538,4.64,66.4,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Ames,42.0308,-93.6319,2.46,32178,2.48,64.38,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Dubuque,42.5006,-90.6646,1.68,23945,3.22,66.43,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Olathe,38.8814,-94.8191,2.78,40867,3.26,62.73,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Lawrence KS,38.9717,-95.2353,1.71,29064,3.46,64.17,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Shawnee,39.0228,-94.7152,2.21,38170,2.97,66.12,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Lenexa,38.9536,-94.7336,2.6,46574,2.54,63.21,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Lincoln NE,40.8136,-96.7026,2.45,29259,2.63,64.55,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Grand Island,40.925,-98.342,1.96,24731,2.69,64.87,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Rapid City,44.0805,-103.231,2.24,29653,2.71,63.41,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Bismarck,46.8083,-100.7837,2.01,27555,2.41,64.9,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Grand Forks,47.9253,-97.0329,1.79,29875,2.63,62.2,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Minot,48.2325,-101.2963,1.3,24367,2.91,63.02,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Missoula,46.8721,-113.994,2.22,32150,3.48,64.12,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Great Falls,47.5002,-111.3008,1.29,20065,3.21,60.97,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Helena MT,46.5958,-112.027,1.74,28988,3.18,62.12,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Kalispell,48.192,-114.3168,2.05,36049,2.93,60.48,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Casper,42.8501,-106.3252,1.59,20568,4.34,66.43,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Laramie,41.3114,-105.5911,1.82,28351,3.18,60.76,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Nampa,43.5407,-116.5635,1.93,31578,3.17,64.25,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Meridian,43.6121,-116.3915,2.65,33171,3.37,60.62,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Coeur d'Alene,47.6777,-116.7805,2.18,34885,3.84,63.6,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Twin Falls,42.5629,-114.4609,1.86,28274,3.44,62.84,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Pocatello,42.8713,-112.4455,1.84,25561,3.42,61.8,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
West Valley City,40.6916,-112.001,2.02,35207,3.5,65.97,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
West Jordan,40.6097,-111.9391,2.27,40830,3.31,62.16,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Sandy,40.5649,-111.8389,2.32,37565,3.14,63.9,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Lehi,40.3916,-111.8507,3.11,50680,2.27,62.73,Technology,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
