city,lat,lng,composite_mf_score_100,demand_score_25,rent_growth_score_20,population_score_15,employment_score_15,pricing_score_15,financing_score_10,market_tier,data_source,as_of_date,source_url
Newark,40.7357,-74.1724,55.5,23.9,8.3,2.5,5.6,12.5,2.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Paterson,40.9168,-74.1719,53.0,23.8,7.3,2.5,4.5,12.0,2.9,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Anchorage,61.2181,-149.9003,54.4,23.4,7.3,2.5,5.6,11.2,4.3,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Honolulu,21.3069,-157.8583,55.5,24.1,8.3,2.5,5.6,13.8,1.1,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Wichita Falls,33.9137,-98.4934,50.5,23.1,6.0,1.0,5.6,8.8,6.0,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Midland,31.9973,-102.0779,65.1,23.4,8.3,7.5,9.4,10.5,6.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Odessa,31.8457,-102.3676,58.7,23.1,6.7,6.0,7.5,10.0,5.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Tyler,32.3513,-95.3011,56.0,23.1,6.7,4.0,6.8,9.5,6.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Waco,31.5493,-97.1467,56.0,23.1,6.7,4.0,6.8,9.5,6.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Beaumont,30.086,-94.1018,48.7,22.9,5.0,1.0,5.6,8.8,5.4,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Abilene,32.4487,-99.7331,52.0,23.1,6.0,2.5,5.6,8.8,6.0,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Laredo,27.5306,-99.4803,52.9,23.1,6.0,4.0,5.6,8.8,5.4,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
McAllen,26.2034,-98.23,56.1,23.1,6.0,6.0,6.8,8.8,5.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Brownsville,25.9017,-97.4975,52.5,23.1,6.0,4.0,5.6,8.8,5.0,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Killeen,31.1171,-97.7278,56.0,23.1,6.7,4.0,6.8,9.5,6.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Bryan-College Station,30.628,-96.3344,63.5,23.4,8.3,7.5,8.2,10.0,6.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Victoria,28.8053,-97.0036,52.0,23.1,6.0,2.5,5.6,8.8,6.0,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Longview,32.5007,-94.7405,53.4,23.1,6.7,2.5,5.6,9.5,6.0,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Nacogdoches,31.6035,-94.6552,52.0,23.1,6.0,2.5,5.6,8.8,6.0,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Lufkin,31.3382,-94.7291,48.8,23.1,6.0,1.0,4.5,8.8,5.4,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Huntsville TX,30.7235,-95.5508,56.0,23.1,6.7,4.0,6.8,9.5,6.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Texarkana,33.4251,-94.0477,48.8,23.1,6.0,1.0,4.5,8.8,5.4,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Paris TX,33.6609,-95.5555,48.8,23.1,6.0,1.0,4.5,8.8,5.4,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Amarillo,35.222,-101.8313,56.5,23.1,6.7,4.0,6.8,9.5,6.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Deltona,28.9005,-81.2637,46.9,22.6,-7.3,10.0,7.5,10.5,3.6,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Daytona Beach,29.2108,-81.0228,41.9,22.4,-8.3,7.5,6.8,10.0,3.6,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Kissimmee,28.2919,-81.4076,52.2,22.6,-6.0,12.5,8.2,11.2,3.6,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Sanford,28.8005,-81.2731,49.6,22.6,-6.0,11.0,7.5,10.5,4.0,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Clearwater,27.9659,-82.8001,46.7,22.9,-6.0,7.5,7.5,11.2,3.6,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Cape Coral,26.5629,-81.9495,48.7,22.4,-10.0,14.0,8.2,11.2,2.9,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Homestead,25.4687,-80.4776,55.5,22.9,4.0,7.5,6.8,11.2,3.1,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Doral,25.8195,-80.3556,67.3,23.4,6.7,12.5,9.4,12.5,2.9,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Aventura,25.9565,-80.1392,62.3,23.6,7.3,7.5,8.2,13.0,2.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Boca Raton,26.3683,-80.1289,62.3,23.4,6.0,9.0,8.2,12.5,3.1,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
West Palm Beach,26.7153,-80.0534,61.9,23.1,5.0,10.0,8.2,12.0,3.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Delray Beach,26.4615,-80.0728,61.9,23.1,5.0,10.0,8.2,12.0,3.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Boynton Beach,26.5317,-80.0905,59.4,23.1,4.0,10.0,7.5,11.2,3.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Pompano Beach,26.2379,-80.1248,58.3,23.1,5.0,7.5,7.5,12.0,3.1,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Hollywood,26.0112,-80.1495,58.3,23.1,5.0,7.5,7.5,12.0,3.1,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Coral Springs,26.2707,-80.2707,59.9,23.4,6.0,7.5,7.5,12.0,3.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Miramar,25.986,-80.233,61.0,23.4,6.0,9.0,7.5,12.0,3.1,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Pembroke Pines,26.007,-86.1527,61.4,23.4,6.0,9.0,7.5,12.0,3.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Sunrise,26.167,-80.2561,57.8,23.4,5.0,7.5,7.5,11.2,3.1,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Plantation,26.1276,-80.2331,59.9,23.4,6.0,7.5,7.5,12.0,3.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Davie,26.0765,-80.2521,59.9,23.4,6.0,7.5,7.5,12.0,3.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Weston,26.1003,-80.3998,62.1,23.6,6.7,7.5,8.2,12.5,3.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Deerfield Beach,26.3184,-80.0998,57.5,23.1,5.0,7.5,7.5,11.2,3.1,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Margate,26.2445,-80.2062,54.3,23.1,4.0,6.0,6.8,11.2,3.1,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Lauderhill,26.1401,-80.2131,50.1,23.1,4.0,4.0,5.6,10.5,2.9,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Tamarac,26.2129,-80.2497,53.5,23.1,4.0,6.0,6.8,10.5,3.1,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Coconut Creek,26.2712,-80.1793,57.4,23.4,5.0,7.5,6.8,11.2,3.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
North Miami,25.8897,-80.1868,55.0,23.1,5.0,6.0,6.8,11.2,2.9,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Miami Gardens,25.942,-80.2456,52.1,23.1,4.0,6.0,5.6,10.5,2.9,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Hialeah,25.8576,-80.2781,52.1,23.1,4.0,6.0,5.6,10.5,2.9,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Greenville SC,34.8526,-82.394,67.6,23.4,9.3,9.0,9.4,10.5,6.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Columbia SC,34.0007,-81.0348,58.6,23.4,8.3,4.0,7.5,10.0,5.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Spartanburg,34.9496,-81.932,60.6,23.4,8.3,6.0,7.5,10.0,5.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Rock Hill,34.9249,-81.0251,68.3,23.4,9.3,10.0,9.4,10.5,5.7,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
North Charleston,32.8546,-79.9748,65.7,23.2,7.3,10.0,9.4,11.2,4.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Mount Pleasant,32.8323,-79.8284,71.5,23.4,8.3,12.5,10.5,12.5,4.3,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Wilmington NC,34.2257,-77.9447,64.1,23.3,7.3,9.0,8.2,11.2,5.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Gastonia,35.2621,-81.1873,59.6,23.1,6.0,7.5,7.5,10.0,5.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Concord NC,35.4088,-80.5795,68.3,23.4,8.3,11.0,9.4,11.2,5.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Huntersville,35.4107,-80.8429,71.3,23.4,8.3,12.5,10.5,12.0,4.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Mooresville,35.5746,-80.8098,71.3,23.4,8.3,12.5,10.5,12.0,4.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Cary,35.7915,-78.7811,72.8,23.6,8.3,12.5,11.2,12.5,4.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Durham,35.994,-78.8986,70.3,23.4,7.3,11.0,12.0,12.0,4.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Chapel Hill,35.9132,-79.0558,66.9,23.9,9.3,7.5,9.4,12.5,4.3,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Apex,35.7327,-78.8503,76.0,23.6,8.3,15.0,12.0,12.5,4.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Morrisville,35.8237,-78.8253,75.0,23.6,8.3,14.0,12.0,12.5,4.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
High Point,35.9557,-80.0053,57.9,23.4,7.3,5.0,6.8,10.0,5.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Winston-Salem,36.0999,-80.2442,56.9,23.4,7.3,4.0,6.8,10.0,5.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Greensboro,36.0726,-79.792,56.9,23.4,7.3,4.0,6.8,10.0,5.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Richmond VA,37.5407,-77.436,66.7,23.4,10.7,6.0,9.4,11.2,6.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Newport News,37.0871,-76.473,56.9,23.4,8.3,2.5,6.8,10.5,5.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Chesapeake,36.7682,-76.2875,61.3,23.6,9.3,4.0,7.5,11.2,5.7,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Virginia Beach,36.8529,-75.978,59.1,23.6,9.3,2.5,6.8,11.2,5.7,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Hampton,37.0299,-76.3452,54.3,23.4,8.3,1.0,5.6,10.5,5.4,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Alexandria VA,38.8048,-77.0469,62.9,23.9,10.0,5.0,7.5,13.0,3.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Madison WI,43.0731,-89.4012,64.5,23.9,11.7,4.0,8.2,11.2,5.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Green Bay,44.5133,-88.0133,59.7,23.6,10.0,2.5,6.8,10.0,6.9,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Kenosha,42.5847,-87.8212,60.0,23.6,10.7,2.5,6.8,10.5,6.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Racine,42.7261,-87.7829,54.3,23.4,9.3,1.0,5.6,9.5,5.4,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Appleton,44.2619,-88.4154,64.9,23.8,11.7,4.0,7.5,10.5,7.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Eau Claire,44.8113,-91.4985,64.3,23.8,11.7,4.0,7.5,10.5,6.9,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
La Crosse,43.8014,-91.2396,60.6,23.8,10.7,2.5,6.8,10.5,6.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Janesville,42.6828,-89.0187,58.9,23.6,10.0,2.5,6.8,10.0,6.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Cedar Rapids,41.9779,-91.6656,64.3,23.8,11.7,4.0,7.5,10.5,6.9,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Iowa City,41.6611,-91.5302,66.3,24.1,12.7,4.0,7.5,11.2,6.9,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Sioux City,42.4999,-96.4003,58.8,23.6,10.0,2.5,6.8,9.5,6.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Waterloo,42.4928,-92.3426,55.8,23.6,10.0,1.0,5.6,9.5,6.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Ames,42.0308,-93.6319,69.1,24.1,12.7,6.0,8.2,11.2,6.9,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Dubuque,42.5006,-90.6646,61.1,23.8,10.7,2.5,6.8,10.5,6.9,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Olathe,38.8814,-94.8191,74.5,23.6,11.7,11.0,10.5,11.2,6.4,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Lawrence KS,38.9717,-95.2353,63.9,23.8,11.7,4.0,7.5,10.5,6.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Shawnee,39.0228,-94.7152,72.3,23.6,11.7,10.0,9.4,11.2,6.4,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Lenexa,38.9536,-94.7336,78.5,23.7,12.7,12.5,11.2,12.0,6.4,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Lincoln NE,40.8136,-96.7026,68.6,23.8,12.7,6.0,8.2,10.5,7.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Grand Island,40.925,-98.342,63.1,23.8,11.7,4.0,6.8,10.0,6.9,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Rapid City,44.0805,-103.231,69.6,23.9,12.7,7.5,8.2,10.5,6.9,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Bismarck,46.8083,-100.7837,66.0,23.9,11.7,5.0,7.5,10.5,7.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Grand Forks,47.9253,-97.0329,64.2,23.9,11.7,4.0,6.8,10.5,7.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Minot,48.2325,-101.2963,59.4,23.8,10.7,2.5,5.6,10.0,6.9,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Missoula,46.8721,-113.994,67.3,23.9,9.3,10.0,8.2,11.2,4.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Great Falls,47.5002,-111.3008,56.1,23.6,8.3,2.5,5.6,10.0,6.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Helena MT,46.5958,-112.027,60.4,23.8,9.3,4.0,6.8,10.5,6.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Kalispell,48.192,-114.3168,69.8,23.9,9.3,12.5,8.2,11.2,4.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Casper,42.8501,-106.3252,55.0,23.6,7.3,2.5,5.6,10.0,6.0,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Laramie,41.3114,-105.5911,59.4,23.8,8.3,4.0,6.8,10.5,6.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Nampa,43.5407,-116.5635,55.5,22.9,-2.7,12.5,7.5,11.2,4.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Meridian,43.6121,-116.3915,61.7,22.9,-1.7,15.0,9.4,12.0,4.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Coeur d'Alene,47.6777,-116.7805,68.8,23.4,5.0,15.0,9.4,12.0,4.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Twin Falls,42.5629,-114.4609,61.4,23.4,5.0,10.0,7.5,10.5,5.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Pocatello,42.8713,-112.4455,56.6,23.4,5.0,6.0,6.8,10.0,5.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
West Valley City,40.6916,-112.001,48.2,22.9,-6.0,7.5,8.2,11.2,4.3,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
West Jordan,40.6097,-111.9391,52.8,23.1,-5.0,9.0,9.4,12.0,4.3,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Sandy,40.5649,-111.8389,51.3,23.1,-5.0,7.5,9.4,12.0,4.3,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Lehi,40.3916,-111.8507,73.6,23.4,5.0,15.0,13.1,12.5,4.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
