city,lat,lng,effective_rent_per_unit,effective_rent_per_sf,asking_rent_per_unit,avg_unit_sf,studio_rent,one_br_rent,two_br_rent,three_br_rent,data_source,as_of_date,source_url
Syracuse,43.0481,-76.1474,1310.0,1.34,1336.2,980.0,943.0,1205.0,1546.0,1900.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Rochester,43.1566,-77.6088,1314.8,1.38,1341.1,952.0,947.0,1210.0,1551.0,1906.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Albany,42.6526,-73.7562,1329.48,1.58,1356.07,841.0,957.0,1223.0,1569.0,1928.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Buffalo,42.8864,-78.8784,1286.59,1.43,1312.32,898.0,926.0,1184.0,1518.0,1866.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Yonkers,40.9312,-73.8988,2337.18,2.86,2383.92,819.0,1683.0,2150.0,2758.0,3389.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Newark,40.7357,-74.1724,2187.2,2.48,2230.94,883.0,1575.0,2012.0,2581.0,3171.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Paterson,40.9168,-74.1719,1833.96,2.12,1870.64,866.0,1320.0,1687.0,2164.0,2659.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Anchorage,61.2181,-149.9003,1699.32,1.79,1733.31,948.0,1224.0,1563.0,2005.0,2464.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Honolulu,21.3069,-157.8583,2732.15,2.65,2786.79,1033.0,1967.0,2514.0,3224.0,3962.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Wichita Falls,33.9137,-98.4934,1093.33,1.33,1115.2,822.0,787.0,1006.0,1290.0,1585.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Midland,31.9973,-102.0779,1398.77,1.65,1426.75,845.0,1007.0,1287.0,1651.0,2028.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Odessa,31.8457,-102.3676,1262.09,1.41,1287.33,898.0,909.0,1161.0,1489.0,1830.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Tyler,32.3513,-95.3011,1191.26,1.21,1215.09,985.0,858.0,1096.0,1406.0,1727.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Waco,31.5493,-97.1467,1164.38,1.36,1187.67,856.0,838.0,1071.0,1374.0,1688.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Beaumont,30.086,-94.1018,1099.46,1.2,1121.45,915.0,792.0,1012.0,1297.0,1594.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Abilene,32.4487,-99.7331,1071.45,1.24,1092.88,861.0,771.0,986.0,1264.0,1554.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Laredo,27.5306,-99.4803,1002.11,1.09,1022.15,922.0,722.0,922.0,1182.0,1453.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
McAllen,26.2034,-98.23,1031.02,1.08,1051.64,953.0,742.0,949.0,1217.0,1495.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Brownsville,25.9017,-97.4975,1038.16,1.25,1058.92,829.0,747.0,955.0,1225.0,1505.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Killeen,31.1171,-97.7278,1105.99,1.14,1128.11,971.0,796.0,1018.0,1305.0,1604.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Bryan-College Station,30.628,-96.3344,1176.75,1.32,1200.29,894.0,847.0,1083.0,1389.0,1706.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Victoria,28.8053,-97.0036,1007.12,1.19,1027.26,846.0,725.0,927.0,1188.0,1460.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Longview,32.5007,-94.7405,1132.73,1.27,1155.38,892.0,816.0,1042.0,1337.0,1642.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Nacogdoches,31.6035,-94.6552,1003.67,1.17,1023.74,859.0,723.0,923.0,1184.0,1455.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Lufkin,31.3382,-94.7291,1095.41,1.32,1117.32,832.0,789.0,1008.0,1293.0,1588.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Huntsville TX,30.7235,-95.5508,1108.23,1.1,1130.39,1006.0,798.0,1020.0,1308.0,1607.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Texarkana,33.4251,-94.0477,1001.68,1.08,1021.71,924.0,721.0,922.0,1182.0,1452.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Paris TX,33.6609,-95.5555,1060.39,1.32,1081.6,804.0,763.0,976.0,1251.0,1538.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Amarillo,35.222,-101.8313,1166.01,1.43,1189.33,818.0,840.0,1073.0,1376.0,1691.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Deltona,28.9005,-81.2637,1511.95,1.89,1542.19,799.0,1089.0,1391.0,1784.0,2192.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Daytona Beach,29.2108,-81.0228,1418.65,1.39,1447.02,1018.0,1021.0,1305.0,1674.0,2057.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Kissimmee,28.2919,-81.4076,1636.68,2.08,1669.41,788.0,1178.0,1506.0,1931.0,2373.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Sanford,28.8005,-81.2731,1580.91,1.9,1612.53,831.0,1138.0,1454.0,1865.0,2292.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Clearwater,27.9659,-82.8001,1775.13,2.08,1810.63,854.0,1278.0,1633.0,2095.0,2574.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Cape Coral,26.5629,-81.9495,1913.44,2.04,1951.71,938.0,1378.0,1760.0,2258.0,2774.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Homestead,25.4687,-80.4776,1910.68,1.85,1948.89,1034.0,1376.0,1758.0,2255.0,2770.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Doral,25.8195,-80.3556,2613.96,3.4,2666.24,768.0,1882.0,2405.0,3084.0,3790.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Aventura,25.9565,-80.1392,2952.34,3.04,3011.39,972.0,2126.0,2716.0,3484.0,4281.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Boca Raton,26.3683,-80.1289,2423.0,2.79,2471.46,869.0,1745.0,2229.0,2859.0,3513.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
West Palm Beach,26.7153,-80.0534,2326.91,2.77,2373.45,841.0,1675.0,2141.0,2746.0,3374.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Delray Beach,26.4615,-80.0728,2237.02,2.4,2281.76,933.0,1611.0,2058.0,2640.0,3244.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Boynton Beach,26.5317,-80.0905,2026.2,2.43,2066.72,833.0,1459.0,1864.0,2391.0,2938.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Pompano Beach,26.2379,-80.1248,2104.81,2.5,2146.91,843.0,1515.0,1936.0,2484.0,3052.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Hollywood,26.0112,-80.1495,2102.46,2.09,2144.51,1006.0,1514.0,1934.0,2481.0,3049.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Coral Springs,26.2707,-80.2707,2224.05,2.61,2268.53,853.0,1601.0,2046.0,2624.0,3225.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Miramar,25.986,-80.233,2061.48,2.66,2102.71,776.0,1484.0,1897.0,2433.0,2989.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Pembroke Pines,26.007,-86.1527,2236.15,2.32,2280.87,965.0,1610.0,2057.0,2639.0,3242.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Sunrise,26.167,-80.2561,2117.63,2.33,2159.98,909.0,1525.0,1948.0,2499.0,3071.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Plantation,26.1276,-80.2331,2120.39,2.09,2162.8,1015.0,1527.0,1951.0,2502.0,3075.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Davie,26.0765,-80.2521,2046.86,2.2,2087.8,931.0,1474.0,1883.0,2415.0,2968.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Weston,26.1003,-80.3998,2371.62,2.94,2419.05,806.0,1708.0,2182.0,2799.0,3439.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Deerfield Beach,26.3184,-80.0998,2110.93,2.42,2153.15,871.0,1520.0,1942.0,2491.0,3061.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Margate,26.2445,-80.2062,1869.59,1.81,1906.98,1031.0,1346.0,1720.0,2206.0,2711.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Lauderhill,26.1401,-80.2131,1795.8,1.86,1831.72,967.0,1293.0,1652.0,2119.0,2604.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Tamarac,26.2129,-80.2497,1769.67,1.89,1805.06,937.0,1274.0,1628.0,2088.0,2566.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Coconut Creek,26.2712,-80.1793,1959.43,2.16,1998.62,907.0,1411.0,1803.0,2312.0,2841.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
North Miami,25.8897,-80.1868,2051.41,2.61,2092.44,787.0,1477.0,1887.0,2421.0,2975.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Miami Gardens,25.942,-80.2456,1856.11,2.11,1893.23,880.0,1336.0,1708.0,2190.0,2691.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Hialeah,25.8576,-80.2781,1868.94,1.9,1906.32,986.0,1346.0,1719.0,2205.0,2710.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Greenville SC,34.8526,-82.394,1381.7,1.76,1409.33,784.0,995.0,1271.0,1630.0,2003.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Columbia SC,34.0007,-81.0348,1281.78,1.64,1307.42,780.0,923.0,1179.0,1513.0,1859.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Spartanburg,34.9496,-81.932,1267.96,1.51,1293.32,838.0,913.0,1167.0,1496.0,1839.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Rock Hill,34.9249,-81.0251,1335.58,1.36,1362.29,983.0,962.0,1229.0,1576.0,1937.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
North Charleston,32.8546,-79.9748,1640.42,1.86,1673.23,883.0,1181.0,1509.0,1936.0,2379.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Mount Pleasant,32.8323,-79.8284,2228.9,2.79,2273.48,798.0,1605.0,2051.0,2630.0,3232.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Wilmington NC,34.2257,-77.9447,1436.56,1.52,1465.29,942.0,1034.0,1322.0,1695.0,2083.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Gastonia,35.2621,-81.1873,1312.14,1.43,1338.38,918.0,945.0,1207.0,1548.0,1903.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Concord NC,35.4088,-80.5795,1406.7,1.37,1434.83,1030.0,1013.0,1294.0,1660.0,2040.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Huntersville,35.4107,-80.8429,1654.01,1.84,1687.09,897.0,1191.0,1522.0,1952.0,2398.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Mooresville,35.5746,-80.8098,1618.16,1.84,1650.52,878.0,1165.0,1489.0,1909.0,2346.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Cary,35.7915,-78.7811,1907.61,2.26,1945.76,845.0,1373.0,1755.0,2251.0,2766.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Durham,35.994,-78.8986,1752.16,1.81,1787.2,970.0,1262.0,1612.0,2068.0,2541.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Chapel Hill,35.9132,-79.0558,1875.16,2.37,1912.66,793.0,1350.0,1725.0,2213.0,2719.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Apex,35.7327,-78.8503,1884.59,2.07,1922.28,911.0,1357.0,1734.0,2224.0,2733.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Morrisville,35.8237,-78.8253,1853.26,2.31,1890.33,801.0,1334.0,1705.0,2187.0,2687.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
High Point,35.9557,-80.0053,1226.18,1.42,1250.7,866.0,883.0,1128.0,1447.0,1778.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Winston-Salem,36.0999,-80.2442,1283.17,1.47,1308.83,874.0,924.0,1181.0,1514.0,1861.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Greensboro,36.0726,-79.792,1265.06,1.5,1290.36,845.0,911.0,1164.0,1493.0,1834.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Richmond VA,37.5407,-77.436,1394.2,1.45,1422.08,962.0,1004.0,1283.0,1645.0,2022.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Newport News,37.0871,-76.473,1390.43,1.62,1418.24,858.0,1001.0,1279.0,1641.0,2016.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Chesapeake,36.7682,-76.2875,1436.04,1.72,1464.76,833.0,1034.0,1321.0,1695.0,2082.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Virginia Beach,36.8529,-75.978,1526.0,1.83,1556.52,836.0,1099.0,1404.0,1801.0,2213.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Hampton,37.0299,-76.3452,1327.12,1.44,1353.66,924.0,956.0,1221.0,1566.0,1924.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Alexandria VA,38.8048,-77.0469,2395.27,2.68,2443.18,894.0,1725.0,2204.0,2826.0,3473.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Madison WI,43.0731,-89.4012,1543.63,2.01,1574.5,768.0,1111.0,1420.0,1821.0,2238.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Green Bay,44.5133,-88.0133,1096.25,1.26,1118.17,871.0,789.0,1009.0,1294.0,1590.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Kenosha,42.5847,-87.8212,1236.93,1.59,1261.67,780.0,891.0,1138.0,1460.0,1794.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Racine,42.7261,-87.7829,1177.12,1.41,1200.66,837.0,848.0,1083.0,1389.0,1707.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Appleton,44.2619,-88.4154,1183.3,1.34,1206.97,884.0,852.0,1089.0,1396.0,1716.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Eau Claire,44.8113,-91.4985,1097.67,1.17,1119.62,934.0,790.0,1010.0,1295.0,1592.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
La Crosse,43.8014,-91.2396,1186.9,1.43,1210.64,828.0,855.0,1092.0,1401.0,1721.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Janesville,42.6828,-89.0187,1107.68,1.37,1129.83,811.0,798.0,1019.0,1307.0,1606.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Cedar Rapids,41.9779,-91.6656,1152.46,1.32,1175.51,872.0,830.0,1060.0,1360.0,1671.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Iowa City,41.6611,-91.5302,1279.94,1.4,1305.54,916.0,922.0,1178.0,1510.0,1856.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Sioux City,42.4999,-96.4003,1006.03,1.09,1026.15,927.0,724.0,926.0,1187.0,1459.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Waterloo,42.4928,-92.3426,1040.81,1.26,1061.63,826.0,749.0,958.0,1228.0,1509.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Ames,42.0308,-93.6319,1322.97,1.4,1349.43,946.0,953.0,1217.0,1561.0,1918.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Dubuque,42.5006,-90.6646,1143.72,1.44,1166.59,794.0,823.0,1052.0,1350.0,1658.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Olathe,38.8814,-94.8191,1422.52,1.76,1450.97,810.0,1024.0,1309.0,1679.0,2063.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Lawrence KS,38.9717,-95.2353,1321.52,1.47,1347.95,900.0,951.0,1216.0,1559.0,1916.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Shawnee,39.0228,-94.7152,1402.55,1.82,1430.6,772.0,1010.0,1290.0,1655.0,2034.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Lenexa,38.9536,-94.7336,1470.08,1.74,1499.48,846.0,1058.0,1352.0,1735.0,2132.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Lincoln NE,40.8136,-96.7026,1165.42,1.3,1188.73,899.0,839.0,1072.0,1375.0,1690.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Grand Island,40.925,-98.342,1022.57,1.22,1043.02,838.0,736.0,941.0,1207.0,1483.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Rapid City,44.0805,-103.231,1302.6,1.27,1328.65,1024.0,938.0,1198.0,1537.0,1889.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Bismarck,46.8083,-100.7837,1243.56,1.23,1268.43,1008.0,895.0,1144.0,1467.0,1803.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Grand Forks,47.9253,-97.0329,1175.75,1.33,1199.27,881.0,847.0,1082.0,1387.0,1705.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Minot,48.2325,-101.2963,1191.6,1.3,1215.43,920.0,858.0,1096.0,1406.0,1728.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Missoula,46.8721,-113.994,1542.31,1.61,1573.16,961.0,1110.0,1419.0,1820.0,2236.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Great Falls,47.5002,-111.3008,1101.6,1.17,1123.63,938.0,793.0,1013.0,1300.0,1597.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Helena MT,46.5958,-112.027,1286.43,1.28,1312.16,1004.0,926.0,1184.0,1518.0,1865.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Kalispell,48.192,-114.3168,1475.87,1.65,1505.39,892.0,1063.0,1358.0,1742.0,2140.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Casper,42.8501,-106.3252,1159.37,1.34,1182.56,864.0,835.0,1067.0,1368.0,1681.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Laramie,41.3114,-105.5911,1269.84,1.29,1295.24,984.0,914.0,1168.0,1498.0,1841.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Nampa,43.5407,-116.5635,1444.07,1.48,1472.95,973.0,1040.0,1329.0,1704.0,2094.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Meridian,43.6121,-116.3915,1443.74,1.57,1472.61,918.0,1039.0,1328.0,1704.0,2093.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Coeur d'Alene,47.6777,-116.7805,1682.26,1.86,1715.91,902.0,1211.0,1548.0,1985.0,2439.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Twin Falls,42.5629,-114.4609,1310.08,1.27,1336.28,1033.0,943.0,1205.0,1546.0,1900.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Pocatello,42.8713,-112.4455,1147.22,1.46,1170.16,786.0,826.0,1055.0,1354.0,1663.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
West Valley City,40.6916,-112.001,1394.78,1.64,1422.68,852.0,1004.0,1283.0,1646.0,2022.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
West Jordan,40.6097,-111.9391,1481.02,1.64,1510.64,903.0,1066.0,1363.0,1748.0,2147.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Sandy,40.5649,-111.8389,1431.43,1.85,1460.06,772.0,1031.0,1317.0,1689.0,2076.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Lehi,40.3916,-111.8507,1689.78,2.17,1723.58,779.0,1217.0,1555.0,1994.0,2450.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
