city,lat,lng,units_delivered_12mo,net_absorption_12mo,supply_demand_ratio,surplus_deficit_units,market_balance,data_source,as_of_date,source_url
Margate,26.2445,-80.2062,1107,1064,1.04,43,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Lauderhill,26.1401,-80.2131,1142,1016,1.12,126,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Tamarac,26.2129,-80.2497,1186,1227,0.97,-41,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Coconut Creek,26.2712,-80.1793,1298,1328,0.98,-30,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
North Miami,25.8897,-80.1868,1845,1823,1.01,22,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Miami Gardens,25.942,-80.2456,1060,967,1.1,93,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Hialeah,25.8576,-80.2781,1245,1174,1.06,71,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Greenville SC,34.8526,-82.394,1673,1641,1.02,32,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Columbia SC,34.0007,-81.0348,1571,1368,1.15,203,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Spartanburg,34.9496,-81.932,1242,1100,1.13,142,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Rock Hill,34.9249,-81.0251,1424,1293,1.1,131,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
North Charleston,32.8546,-79.9748,1626,1737,0.94,-111,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Mount Pleasant,32.8323,-79.8284,1483,1345,1.1,138,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Wilmington NC,34.2257,-77.9447,1309,1263,1.04,46,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Gastonia,35.2621,-81.1873,1139,996,1.14,143,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Concord NC,35.4088,-80.5795,1320,1234,1.07,86,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Huntersville,35.4107,-80.8429,1673,1669,1.0,4,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Mooresville,35.5746,-80.8098,1845,1655,1.11,190,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Cary,35.7915,-78.7811,1729,1566,1.1,163,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Durham,35.994,-78.8986,1953,1903,1.03,50,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Chapel Hill,35.9132,-79.0558,1227,1239,0.99,-12,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Apex,35.7327,-78.8503,1542,1414,1.09,128,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Morrisville,35.8237,-78.8253,1806,1922,0.94,-116,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
High Point,35.9557,-80.0053,1137,1221,0.93,-84,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Winston-Salem,36.0999,-80.2442,1489,1597,0.93,-108,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Greensboro,36.0726,-79.792,1557,1623,0.96,-66,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Richmond VA,37.5407,-77.436,2216,2048,1.08,168,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Newport News,37.0871,-76.473,1134,1137,1.0,-3,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Chesapeake,36.7682,-76.2875,1505,1352,1.11,153,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Virginia Beach,36.8529,-75.978,1660,1734,0.96,-74,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Hampton,37.0299,-76.3452,1119,1076,1.04,43,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Alexandria VA,38.8048,-77.0469,2255,2513,0.9,-258,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Madison WI,43.0731,-89.4012,1825,1671,1.09,154,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Green Bay,44.5133,-88.0133,1010,985,1.03,25,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Kenosha,42.5847,-87.8212,942,878,1.07,64,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Racine,42.7261,-87.7829,807,786,1.03,21,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Appleton,44.2619,-88.4154,1093,1157,0.94,-64,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Eau Claire,44.8113,-91.4985,840,752,1.12,88,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
La Crosse,43.8014,-91.2396,873,784,1.11,89,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Janesville,42.6828,-89.0187,834,911,0.92,-77,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Cedar Rapids,41.9779,-91.6656,939,938,1.0,1,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Iowa City,41.6611,-91.5302,975,913,1.07,62,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Sioux City,42.4999,-96.4003,843,848,0.99,-5,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Waterloo,42.4928,-92.3426,695,674,1.03,21,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Ames,42.0308,-93.6319,1036,987,1.05,49,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Dubuque,42.5006,-90.6646,858,811,1.06,47,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Olathe,38.8814,-94.8191,1644,1712,0.96,-68,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Lawrence KS,38.9717,-95.2353,995,1050,0.95,-55,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Shawnee,39.0228,-94.7152,1639,1524,1.08,115,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Lenexa,38.9536,-94.7336,1775,1810,0.98,-35,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Lincoln NE,40.8136,-96.7026,1407,1246,1.13,161,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Grand Island,40.925,-98.342,715,704,1.02,11,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Rapid City,44.0805,-103.231,1115,1225,0.91,-110,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Bismarck,46.8083,-100.7837,1082,1142,0.95,-60,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Grand Forks,47.9253,-97.0329,799,855,0.93,-56,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Minot,48.2325,-101.2963,773,748,1.03,25,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Missoula,46.8721,-113.994,998,971,1.03,27,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Great Falls,47.5002,-111.3008,732,683,1.07,49,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Helena MT,46.5958,-112.027,960,876,1.1,84,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Kalispell,48.192,-114.3168,1047,1006,1.04,41,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Casper,42.8501,-106.3252,755,829,0.91,-74,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Laramie,41.3114,-105.5911,845,943,0.9,-98,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Nampa,43.5407,-116.5635,1196,1013,1.18,183,Oversupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Meridian,43.6121,-116.3915,1531,1547,0.99,-16,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Coeur d'Alene,47.6777,-116.7805,1130,1242,0.91,-112,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Twin Falls,42.5629,-114.4609,1012,972,1.04,40,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Pocatello,42.8713,-112.4455,762,707,1.08,55,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
West Valley City,40.6916,-112.001,1548,1666,0.93,-118,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
West Jordan,40.6097,-111.9391,1583,1606,0.99,-23,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Sandy,40.5649,-111.8389,1815,1594,1.14,221,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Lehi,40.3916,-111.8507,2401,2232,1.08,169,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
