city,lat,lng,population_growth_yoy_pct,population_growth_5yr_pct,net_migration_annual,domestic_migration_annual,international_migration_annual,population_2024_est,data_source,as_of_date,source_url
Rochester,43.1566,-77.6088,0.22,1.02,555,371,135,932354,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Albany,42.6526,-73.7562,0.58,2.43,1330,971,390,811382,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Buffalo,42.8864,-78.8784,0.22,0.83,494,398,127,885455,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Yonkers,40.9312,-73.8988,0.43,2.64,1113,850,310,793308,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Newark,40.7357,-74.1724,0.53,2.5,1280,825,379,870379,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Paterson,40.9168,-74.1719,0.54,2.49,1138,837,349,790962,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Anchorage,61.2181,-149.9003,0.57,2.15,1285,973,355,914076,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Honolulu,21.3069,-157.8583,0.44,2.19,1303,856,375,932232,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Wichita Falls,33.9137,-98.4934,0.23,0.97,550,385,129,858262,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Midland,31.9973,-102.0779,1.74,8.15,3622,2980,965,797470,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Odessa,31.8457,-102.3676,1.4,4.99,3307,2026,929,860791,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Tyler,32.3513,-95.3011,0.83,3.75,2203,1531,599,778906,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Waco,31.5493,-97.1467,0.71,4.32,2154,1507,595,801998,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Beaumont,30.086,-94.1018,0.18,0.93,473,396,123,896940,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Abilene,32.4487,-99.7331,0.58,2.5,1399,845,339,927295,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Laredo,27.5306,-99.4803,0.76,3.32,2026,1482,567,943024,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
McAllen,26.2034,-98.23,1.0,5.81,2968,2240,752,889494,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Brownsville,25.9017,-97.4975,0.84,3.82,1955,1338,539,820624,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Killeen,31.1171,-97.7278,0.76,4.08,2192,1425,587,849653,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Bryan-College Station,30.628,-96.3344,1.78,7.48,3355,2617,1162,888290,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Victoria,28.8053,-97.0036,0.56,2.11,1372,981,353,857446,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Longview,32.5007,-94.7405,0.51,2.53,1213,871,308,872195,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Nacogdoches,31.6035,-94.6552,0.4,2.29,1314,974,369,897430,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Lufkin,31.3382,-94.7291,0.18,0.83,484,333,153,933129,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Huntsville TX,30.7235,-95.5508,0.82,3.95,1885,1564,577,825356,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Texarkana,33.4251,-94.0477,0.17,1.02,545,345,154,799224,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Paris TX,33.6609,-95.5555,0.2,0.82,526,383,142,815177,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Amarillo,35.222,-101.8313,0.65,4.09,2063,1309,604,892717,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Deltona,28.9005,-81.2637,2.14,9.0,4581,3749,1294,833863,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Daytona Beach,29.2108,-81.0228,1.3,7.66,3373,2933,1087,770052,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Kissimmee,28.2919,-81.4076,2.22,10.32,6053,4937,1841,828906,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Sanford,28.8005,-81.2731,2.29,11.8,5321,3625,1367,767155,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Clearwater,27.9659,-82.8001,1.38,7.18,4118,2484,964,795695,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Cape Coral,26.5629,-81.9495,2.38,11.81,7525,5350,2086,841656,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Homestead,25.4687,-80.4776,1.78,7.39,3818,2624,999,934027,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Doral,25.8195,-80.3556,2.24,12.64,6421,4343,1902,760872,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Aventura,25.9565,-80.1392,1.38,7.37,3630,2587,939,785862,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Boca Raton,26.3683,-80.1289,2.09,7.96,4021,2932,1364,776866,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
West Palm Beach,26.7153,-80.0534,1.76,9.6,4576,3259,1347,855732,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Delray Beach,26.4615,-80.0728,2.39,10.68,4841,4004,1274,843451,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Boynton Beach,26.5317,-80.0905,1.71,9.7,5140,3503,1423,759872,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Pompano Beach,26.2379,-80.1248,1.42,6.93,3725,2728,1017,825295,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Hollywood,26.0112,-80.1495,1.38,6.15,3899,2873,1026,758791,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Coral Springs,26.2707,-80.2707,1.76,6.97,3639,2787,992,838984,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Miramar,25.986,-80.233,1.55,8.77,4009,3425,1145,879416,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Pembroke Pines,26.007,-86.1527,2.09,8.25,4599,3164,1288,796409,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Sunrise,26.167,-80.2561,1.65,6.83,3825,2748,944,825234,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Plantation,26.1276,-80.2331,1.67,7.23,3344,2539,1097,788616,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Davie,26.0765,-80.2521,1.59,8.24,4120,2669,1098,760015,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Weston,26.1003,-80.3998,1.79,8.27,4119,2592,1006,921440,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Deerfield Beach,26.3184,-80.0998,1.74,6.86,3570,2642,1143,943595,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Margate,26.2445,-80.2062,1.35,6.28,2711,2389,928,848347,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Lauderhill,26.1401,-80.2131,0.8,4.12,1786,1610,527,807527,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Tamarac,26.2129,-80.2497,1.05,6.14,3037,2222,913,850530,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Coconut Creek,26.2712,-80.1793,1.54,7.89,3533,2855,1021,771419,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
North Miami,25.8897,-80.1868,1.4,5.15,2650,1930,889,800428,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Miami Gardens,25.942,-80.2456,1.19,6.03,2971,2384,842,817910,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Hialeah,25.8576,-80.2781,1.09,5.44,3035,2006,818,897960,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Greenville SC,34.8526,-82.394,1.83,8.67,4115,3030,1131,824500,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Columbia SC,34.0007,-81.0348,0.67,3.54,2002,1599,566,907507,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Spartanburg,34.9496,-81.932,0.99,5.52,2795,2251,845,897593,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Rock Hill,34.9249,-81.0251,1.82,9.63,5310,3624,1490,763483,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
North Charleston,32.8546,-79.9748,1.94,10.42,4874,3455,1489,768746,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Mount Pleasant,32.8323,-79.8284,2.32,12.03,6872,4655,1928,837046,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Wilmington NC,34.2257,-77.9447,1.9,9.21,4078,3238,1292,881048,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Gastonia,35.2621,-81.1873,1.34,7.19,4092,2790,1043,863341,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Concord NC,35.4088,-80.5795,1.8,9.68,5101,3863,1438,930090,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Huntersville,35.4107,-80.8429,2.39,12.76,5912,4724,1801,869339,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Mooresville,35.5746,-80.8098,2.64,12.71,6958,4739,1946,754079,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Cary,35.7915,-78.7811,2.17,12.5,6003,4535,1875,876887,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Durham,35.994,-78.8986,2.03,9.35,5084,3703,1638,884863,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Chapel Hill,35.9132,-79.0558,1.76,8.11,3862,2621,1040,884700,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Apex,35.7327,-78.8503,3.18,12.79,7558,5888,2122,856711,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Morrisville,35.8237,-78.8253,3.14,13.15,6574,5533,1894,929682,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
High Point,35.9557,-80.0053,0.97,5.38,2698,1990,715,772643,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Winston-Salem,36.0999,-80.2442,0.8,4.38,1956,1292,510,950225,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Greensboro,36.0726,-79.792,0.9,4.23,1923,1404,511,855487,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Richmond VA,37.5407,-77.436,1.28,5.83,3321,2361,781,931232,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Newport News,37.0871,-76.473,0.43,2.06,1109,818,320,811627,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Chesapeake,36.7682,-76.2875,0.93,4.15,2106,1567,622,882436,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Virginia Beach,36.8529,-75.978,0.57,2.72,1321,871,384,777110,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Hampton,37.0299,-76.3452,0.16,1.06,514,356,123,817094,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Alexandria VA,38.8048,-77.0469,1.09,4.99,2743,1599,623,782333,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Madison WI,43.0731,-89.4012,0.87,4.41,2056,1437,525,909221,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Green Bay,44.5133,-88.0133,0.5,2.5,1339,954,362,947777,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Kenosha,42.5847,-87.8212,0.48,2.25,1383,921,385,897960,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Racine,42.7261,-87.7829,0.21,1.1,466,386,150,944533,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Appleton,44.2619,-88.4154,0.85,3.69,1805,1531,581,840004,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Eau Claire,44.8113,-91.4985,0.92,3.77,2121,1375,497,875132,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
La Crosse,43.8014,-91.2396,0.44,2.34,1353,818,325,860118,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Janesville,42.6828,-89.0187,0.59,2.68,1158,805,388,867931,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Cedar Rapids,41.9779,-91.6656,0.86,3.36,1846,1462,569,868053,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Iowa City,41.6611,-91.5302,0.76,4.04,1860,1359,498,948613,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Sioux City,42.4999,-96.4003,0.54,2.52,1317,918,333,943860,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Waterloo,42.4928,-92.3426,0.16,0.9,460,369,139,919115,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Ames,42.0308,-93.6319,1.02,5.38,3202,2398,902,887576,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Dubuque,42.5006,-90.6646,0.59,2.28,1164,954,364,761708,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Olathe,38.8814,-94.8191,2.01,11.99,5367,4065,1646,925847,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Lawrence KS,38.9717,-95.2353,0.75,4.26,2235,1392,598,850387,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Shawnee,39.0228,-94.7152,1.92,8.86,5097,3773,1423,934374,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Lenexa,38.9536,-94.7336,2.56,13.18,6698,4617,1923,943432,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Lincoln NE,40.8136,-96.7026,1.34,5.99,3017,2245,799,893819,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Grand Island,40.925,-98.342,0.93,3.93,2205,1307,596,812872,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Rapid City,44.0805,-103.231,1.21,7.16,3603,2388,1147,753814,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Bismarck,46.8083,-100.7837,1.08,5.09,2581,1845,684,898531,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Grand Forks,47.9253,-97.0329,0.86,3.76,1822,1564,577,849449,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Minot,48.2325,-101.2963,0.49,2.6,1143,831,335,894043,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Missoula,46.8721,-113.994,1.95,8.41,5360,3806,1369,888576,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Great Falls,47.5002,-111.3008,0.6,2.05,1200,960,375,855691,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Helena MT,46.5958,-112.027,0.66,3.46,1888,1427,559,876132,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Kalispell,48.192,-114.3168,2.97,11.59,6794,4332,1725,945410,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Casper,42.8501,-106.3252,0.48,2.18,1322,887,387,750040,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Laramie,41.3114,-105.5911,0.91,3.33,1986,1437,545,770399,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Nampa,43.5407,-116.5635,2.48,10.63,6010,4608,1852,750488,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Meridian,43.6121,-116.3915,2.53,12.95,8285,5980,2029,893900,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Coeur d'Alene,47.6777,-116.7805,2.84,16.04,7339,4940,2324,759240,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Twin Falls,42.5629,-114.4609,2.05,9.23,5084,3536,1415,854590,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Pocatello,42.8713,-112.4455,1.25,5.34,2806,2361,918,866748,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
West Valley City,40.6916,-112.001,1.47,6.96,4096,2516,1079,863382,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
West Jordan,40.6097,-111.9391,1.46,9.55,3982,2954,1112,849530,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Sandy,40.5649,-111.8389,1.54,7.95,3307,2423,1051,793369,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Lehi,40.3916,-111.8507,4.66,20.49,9058,6636,3036,938678,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
