city,lat,lng,rent_growth_yoy_pct,rent_growth_1yr_prior_pct,rent_growth_3yr_avg_pct,rent_growth_5yr_avg_pct,market_trend,data_source,as_of_date,source_url
Deltona,28.9005,-81.2637,-2.04,-2.51,-2.2,-1.89,Declining,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Daytona Beach,29.2108,-81.0228,-2.39,-2.38,-2.17,-2.25,Declining,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Kissimmee,28.2919,-81.4076,-2.06,-1.82,-1.86,-1.58,Declining,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Sanford,28.8005,-81.2731,-2.07,-2.04,-1.87,-1.5,Declining,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Clearwater,27.9659,-82.8001,-1.54,-1.83,-1.79,-1.66,Declining,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Cape Coral,26.5629,-81.9495,-2.64,-3.58,-2.96,-2.43,Declining,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Homestead,25.4687,-80.4776,1.28,1.37,1.16,1.11,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Doral,25.8195,-80.3556,1.7,2.18,1.93,1.72,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Aventura,25.9565,-80.1392,2.24,2.68,2.2,1.81,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Boca Raton,26.3683,-80.1289,1.89,1.65,1.78,1.46,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
West Palm Beach,26.7153,-80.0534,1.58,1.68,1.31,1.35,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Delray Beach,26.4615,-80.0728,1.59,1.39,1.44,1.32,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Boynton Beach,26.5317,-80.0905,1.32,1.52,1.17,1.13,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Pompano Beach,26.2379,-80.1248,1.29,1.34,1.36,1.3,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Hollywood,26.0112,-80.1495,1.64,1.84,1.32,1.46,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Coral Springs,26.2707,-80.2707,1.58,1.83,1.59,1.69,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Miramar,25.986,-80.233,1.6,1.75,1.67,1.69,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Pembroke Pines,26.007,-86.1527,2.03,1.9,1.62,1.71,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Sunrise,26.167,-80.2561,1.56,1.64,1.34,1.27,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Plantation,26.1276,-80.2331,1.62,2.36,1.73,1.67,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Davie,26.0765,-80.2521,1.53,1.63,1.74,1.58,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Weston,26.1003,-80.3998,2.07,2.54,2.02,1.86,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Deerfield Beach,26.3184,-80.0998,1.64,1.33,1.39,1.39,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Margate,26.2445,-80.2062,1.17,1.12,1.1,1.1,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Lauderhill,26.1401,-80.2131,1.15,1.45,1.18,1.15,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Tamarac,26.2129,-80.2497,1.11,1.55,1.04,1.04,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Coconut Creek,26.2712,-80.1793,1.72,1.53,1.44,1.26,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
North Miami,25.8897,-80.1868,1.43,1.97,1.52,1.3,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Miami Gardens,25.942,-80.2456,1.04,1.32,1.13,1.01,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Hialeah,25.8576,-80.2781,1.14,1.1,1.08,1.14,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Greenville SC,34.8526,-82.394,2.55,2.47,2.84,2.66,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Columbia SC,34.0007,-81.0348,2.59,3.0,2.35,2.21,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Spartanburg,34.9496,-81.932,2.58,2.99,2.54,2.42,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Rock Hill,34.9249,-81.0251,2.45,3.13,2.55,2.3,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
North Charleston,32.8546,-79.9748,2.17,2.13,1.9,1.94,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Mount Pleasant,32.8323,-79.8284,2.37,2.73,2.56,2.08,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Wilmington NC,34.2257,-77.9447,2.28,2.21,2.05,2.17,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Gastonia,35.2621,-81.1873,2.06,2.17,1.61,1.69,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Concord NC,35.4088,-80.5795,2.75,2.95,2.23,2.16,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Huntersville,35.4107,-80.8429,2.37,2.54,2.45,2.12,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Mooresville,35.5746,-80.8098,2.3,2.92,2.17,2.32,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Cary,35.7915,-78.7811,2.83,2.59,2.38,2.46,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Durham,35.994,-78.8986,2.36,2.13,2.18,2.07,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Chapel Hill,35.9132,-79.0558,2.41,3.49,2.72,2.46,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Apex,35.7327,-78.8503,2.51,2.5,2.42,2.11,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Morrisville,35.8237,-78.8253,2.22,3.19,2.24,2.06,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
High Point,35.9557,-80.0053,2.43,2.36,2.26,1.92,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Winston-Salem,36.0999,-80.2442,2.53,2.54,2.08,2.18,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Greensboro,36.0726,-79.792,2.15,2.52,1.9,2.02,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Richmond VA,37.5407,-77.436,3.12,4.22,2.92,2.79,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Newport News,37.0871,-76.473,2.16,3.18,2.24,2.25,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Chesapeake,36.7682,-76.2875,2.58,2.89,2.56,2.58,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Virginia Beach,36.8529,-75.978,3.05,2.58,2.92,2.77,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Hampton,37.0299,-76.3452,2.5,2.52,2.15,2.42,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Alexandria VA,38.8048,-77.0469,2.82,3.87,2.98,2.51,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Madison WI,43.0731,-89.4012,3.78,4.57,3.11,3.12,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Green Bay,44.5133,-88.0133,2.74,3.61,2.78,2.63,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Kenosha,42.5847,-87.8212,3.01,3.53,3.19,2.63,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Racine,42.7261,-87.7829,2.42,3.37,2.46,2.68,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Appleton,44.2619,-88.4154,3.77,4.55,3.03,3.22,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Eau Claire,44.8113,-91.4985,3.27,3.87,3.56,2.89,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
La Crosse,43.8014,-91.2396,2.78,3.45,3.07,3.0,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Janesville,42.6828,-89.0187,2.86,3.7,2.64,2.79,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Cedar Rapids,41.9779,-91.6656,3.44,3.9,3.29,3.41,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Iowa City,41.6611,-91.5302,3.75,4.18,3.88,3.52,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Sioux City,42.4999,-96.4003,3.39,3.14,2.94,2.96,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Waterloo,42.4928,-92.3426,2.57,2.87,2.97,2.56,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Ames,42.0308,-93.6319,3.93,4.84,3.8,3.34,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Dubuque,42.5006,-90.6646,3.28,3.26,2.75,2.96,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Olathe,38.8814,-94.8191,3.6,3.77,3.49,2.99,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Lawrence KS,38.9717,-95.2353,2.99,3.32,3.02,3.28,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Shawnee,39.0228,-94.7152,3.47,4.0,3.23,3.11,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Lenexa,38.9536,-94.7336,3.33,4.6,3.6,3.17,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Lincoln NE,40.8136,-96.7026,4.26,3.85,3.41,3.52,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Grand Island,40.925,-98.342,2.98,3.27,3.41,3.07,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Rapid City,44.0805,-103.231,3.96,4.72,3.79,3.59,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Bismarck,46.8083,-100.7837,3.02,3.59,3.41,2.93,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Grand Forks,47.9253,-97.0329,3.84,4.16,3.38,3.13,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Minot,48.2325,-101.2963,3.37,3.49,3.2,2.74,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Missoula,46.8721,-113.994,2.99,3.46,2.53,2.62,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Great Falls,47.5002,-111.3008,2.29,3.02,2.25,2.18,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Helena MT,46.5958,-112.027,2.6,3.48,2.88,2.65,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Kalispell,48.192,-114.3168,2.93,2.94,2.72,2.47,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Casper,42.8501,-106.3252,2.23,2.03,2.06,2.1,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Laramie,41.3114,-105.5911,2.83,2.44,2.28,2.44,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Nampa,43.5407,-116.5635,-0.76,-0.72,-0.73,-0.69,Declining,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Meridian,43.6121,-116.3915,-0.45,-0.52,-0.45,-0.44,Declining,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Coeur d'Alene,47.6777,-116.7805,1.71,1.5,1.56,1.42,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Twin Falls,42.5629,-114.4609,1.4,1.77,1.47,1.35,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Pocatello,42.8713,-112.4455,1.44,1.67,1.51,1.23,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
West Valley City,40.6916,-112.001,-1.63,-2.08,-1.72,-1.48,Declining,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
West Jordan,40.6097,-111.9391,-1.3,-1.77,-1.49,-1.34,Declining,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Sandy,40.5649,-111.8389,-1.62,-1.6,-1.36,-1.42,Declining,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Lehi,40.3916,-111.8507,1.67,1.45,1.53,1.22,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
