city,lat,lng,rent_control_status,rent_stabilization_status,annual_increase_cap_pct,exemptions_new_construction,just_cause_eviction_required,regulatory_risk_score,data_source,as_of_date,source_url
Longview,32.5007,-94.7405,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Nacogdoches,31.6035,-94.6552,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Lufkin,31.3382,-94.7291,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Huntsville TX,30.7235,-95.5508,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Texarkana,33.4251,-94.0477,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Paris TX,33.6609,-95.5555,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Amarillo,35.222,-101.8313,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Deltona,28.9005,-81.2637,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Daytona Beach,29.2108,-81.0228,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Kissimmee,28.2919,-81.4076,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Sanford,28.8005,-81.2731,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Clearwater,27.9659,-82.8001,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Cape Coral,26.5629,-81.9495,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Homestead,25.4687,-80.4776,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Doral,25.8195,-80.3556,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Aventura,25.9565,-80.1392,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Boca Raton,26.3683,-80.1289,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
West Palm Beach,26.7153,-80.0534,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Delray Beach,26.4615,-80.0728,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Boynton Beach,26.5317,-80.0905,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Pompano Beach,26.2379,-80.1248,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Hollywood,26.0112,-80.1495,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Coral Springs,26.2707,-80.2707,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Miramar,25.986,-80.233,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Pembroke Pines,26.007,-86.1527,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Sunrise,26.167,-80.2561,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Plantation,26.1276,-80.2331,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Davie,26.0765,-80.2521,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Weston,26.1003,-80.3998,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Deerfield Beach,26.3184,-80.0998,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Margate,26.2445,-80.2062,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Lauderhill,26.1401,-80.2131,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Tamarac,26.2129,-80.2497,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Coconut Creek,26.2712,-80.1793,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
North Miami,25.8897,-80.1868,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Miami Gardens,25.942,-80.2456,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Hialeah,25.8576,-80.2781,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Greenville SC,34.8526,-82.394,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Columbia SC,34.0007,-81.0348,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Spartanburg,34.9496,-81.932,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Rock Hill,34.9249,-81.0251,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
North Charleston,32.8546,-79.9748,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Mount Pleasant,32.8323,-79.8284,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Wilmington NC,34.2257,-77.9447,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Gastonia,35.2621,-81.1873,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Concord NC,35.4088,-80.5795,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Huntersville,35.4107,-80.8429,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Mooresville,35.5746,-80.8098,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Cary,35.7915,-78.7811,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Durham,35.994,-78.8986,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Chapel Hill,35.9132,-79.0558,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Apex,35.7327,-78.8503,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Morrisville,35.8237,-78.8253,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
High Point,35.9557,-80.0053,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Winston-Salem,36.0999,-80.2442,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Greensboro,36.0726,-79.792,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Richmond VA,37.5407,-77.436,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Newport News,37.0871,-76.473,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Chesapeake,36.7682,-76.2875,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Virginia Beach,36.8529,-75.978,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Hampton,37.0299,-76.3452,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Alexandria VA,38.8048,-77.0469,Partial,Partial,,Yes - typically 15 years,No,6,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Madison WI,43.0731,-89.4012,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Green Bay,44.5133,-88.0133,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Kenosha,42.5847,-87.8212,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Racine,42.7261,-87.7829,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Appleton,44.2619,-88.4154,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Eau Claire,44.8113,-91.4985,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
La Crosse,43.8014,-91.2396,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Janesville,42.6828,-89.0187,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Cedar Rapids,41.9779,-91.6656,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Iowa City,41.6611,-91.5302,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Sioux City,42.4999,-96.4003,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Waterloo,42.4928,-92.3426,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Ames,42.0308,-93.6319,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Dubuque,42.5006,-90.6646,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Olathe,38.8814,-94.8191,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Lawrence KS,38.9717,-95.2353,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Shawnee,39.0228,-94.7152,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Lenexa,38.9536,-94.7336,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Lincoln NE,40.8136,-96.7026,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Grand Island,40.925,-98.342,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Rapid City,44.0805,-103.231,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Bismarck,46.8083,-100.7837,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Grand Forks,47.9253,-97.0329,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Minot,48.2325,-101.2963,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Missoula,46.8721,-113.994,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Great Falls,47.5002,-111.3008,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Helena MT,46.5958,-112.027,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Kalispell,48.192,-114.3168,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Casper,42.8501,-106.3252,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Laramie,41.3114,-105.5911,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Nampa,43.5407,-116.5635,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Meridian,43.6121,-116.3915,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Coeur d'Alene,47.6777,-116.7805,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Twin Falls,42.5629,-114.4609,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Pocatello,42.8713,-112.4455,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
West Valley City,40.6916,-112.001,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
West Jordan,40.6097,-111.9391,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Sandy,40.5649,-111.8389,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Lehi,40.3916,-111.8507,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
