city,lat,lng,hard_cost_per_sf,soft_cost_per_sf,land_cost_per_unit,total_dev_cost_per_unit,construction_cost_yoy_chg_pct,labor_availability,data_source,as_of_date,source_url
Hartford,41.7658,-72.6851,152.44,46.24,42156.3,239526.17,2.37,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Bridgeport,41.1865,-73.1952,158.14,45.35,46316.02,257114.17,2.14,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Springfield MA,42.1015,-72.5898,138.36,38.46,30243.15,190129.8,3.61,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Worcester,42.2626,-71.8023,143.87,40.44,52180.31,321983.42,2.35,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Syracuse,43.0481,-76.1474,134.41,36.28,24110.06,151571.03,3.87,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Rochester,43.1566,-77.6088,134.85,37.96,24847.46,160906.37,3.28,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Albany,42.6526,-73.7562,142.38,38.49,30246.93,191758.56,2.21,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Buffalo,42.8864,-78.8784,139.81,37.51,29785.76,159948.1,3.06,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Yonkers,40.9312,-73.8988,175.6,50.92,68151.71,379630.94,2.62,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Newark,40.7357,-74.1724,199.59,47.72,60681.47,326688.18,2.64,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Paterson,40.9168,-74.1719,139.51,46.11,51313.28,286967.02,3.16,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Anchorage,61.2181,-149.9003,162.85,41.11,39540.56,231875.95,2.52,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Honolulu,21.3069,-157.8583,194.42,50.74,102082.5,736095.36,2.56,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Wichita Falls,33.9137,-98.4934,126.11,34.18,17368.24,111864.88,3.33,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Midland,31.9973,-102.0779,142.97,40.58,26960.22,194545.68,2.79,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Odessa,31.8457,-102.3676,134.62,36.01,30230.21,155615.04,3.9,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Tyler,32.3513,-95.3011,124.93,35.37,25134.28,134787.95,3.97,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Waco,31.5493,-97.1467,119.49,40.39,25110.04,129341.52,3.91,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Beaumont,30.086,-94.1018,141.87,35.95,24771.46,130871.19,4.69,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Abilene,32.4487,-99.7331,142.37,37.06,19759.78,124811.9,3.05,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Laredo,27.5306,-99.4803,122.37,37.17,22564.08,119760.08,4.43,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
McAllen,26.2034,-98.23,139.59,35.75,22063.31,114062.59,3.52,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Brownsville,25.9017,-97.4975,139.47,40.29,20663.19,124266.51,2.98,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Killeen,31.1171,-97.7278,132.2,39.24,26363.86,140156.76,4.86,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Bryan-College Station,30.628,-96.3344,139.98,32.74,27098.32,161175.5,3.13,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Victoria,28.8053,-97.0036,136.32,40.63,18521.07,116660.28,4.36,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Longview,32.5007,-94.7405,141.35,36.01,22387.15,142771.31,4.67,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Nacogdoches,31.6035,-94.6552,132.39,40.46,18380.07,126225.25,2.2,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Lufkin,31.3382,-94.7291,129.4,36.27,17136.6,124006.85,3.06,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Huntsville TX,30.7235,-95.5508,122.44,36.58,21600.22,141580.45,2.89,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Texarkana,33.4251,-94.0477,137.98,38.42,22245.96,112877.18,3.43,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Paris TX,33.6609,-95.5555,130.41,32.14,19967.07,112467.0,2.89,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Amarillo,35.222,-101.8313,139.9,38.76,25853.49,127718.24,4.64,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Deltona,28.9005,-81.2637,150.46,40.15,35175.12,208922.87,2.76,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Daytona Beach,29.2108,-81.0228,142.49,33.63,30119.66,184107.92,2.56,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Kissimmee,28.2919,-81.4076,139.94,39.9,33067.99,210796.32,2.54,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Sanford,28.8005,-81.2731,141.52,38.23,37825.16,194718.89,3.95,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Clearwater,27.9659,-82.8001,146.56,46.65,49649.99,273804.55,4.36,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Cape Coral,26.5629,-81.9495,156.28,45.55,40137.93,228327.12,3.04,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Homestead,25.4687,-80.4776,149.37,46.45,35229.33,242698.68,3.42,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Doral,25.8195,-80.3556,172.24,56.52,71676.3,390537.84,3.92,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Aventura,25.9565,-80.1392,169.32,55.63,73843.65,461076.84,2.22,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Boca Raton,26.3683,-80.1289,186.49,54.08,77038.04,394522.13,2.82,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
West Palm Beach,26.7153,-80.0534,175.75,49.87,50288.36,328839.42,3.15,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Delray Beach,26.4615,-80.0728,171.99,51.21,62215.33,342096.3,3.79,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Boynton Beach,26.5317,-80.0905,151.07,42.65,57082.02,297128.92,3.59,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Pompano Beach,26.2379,-80.1248,195.36,52.54,51754.23,319455.78,4.79,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Hollywood,26.0112,-80.1495,184.25,52.98,51525.3,307819.18,4.27,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Coral Springs,26.2707,-80.2707,196.09,49.14,52057.28,317206.34,2.51,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Miramar,25.986,-80.233,193.96,51.5,56601.35,339557.23,4.73,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Pembroke Pines,26.007,-86.1527,167.16,50.1,51329.3,298544.74,3.24,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Sunrise,26.167,-80.2561,155.27,41.44,47643.34,296195.26,2.69,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Plantation,26.1276,-80.2331,182.68,47.07,46826.41,319271.32,4.58,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Davie,26.0765,-80.2521,189.87,49.03,56818.76,345372.97,4.25,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Weston,26.1003,-80.3998,197.01,50.07,77401.86,422968.39,3.92,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Deerfield Beach,26.3184,-80.0998,140.26,47.39,48523.64,304210.37,3.55,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Margate,26.2445,-80.2062,149.94,48.2,41075.62,245519.4,2.4,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Lauderhill,26.1401,-80.2131,162.36,40.36,43650.5,218476.44,4.59,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Tamarac,26.2129,-80.2497,153.6,44.02,37898.68,245446.74,4.27,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Coconut Creek,26.2712,-80.1793,148.61,48.09,46662.99,291009.85,2.46,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
North Miami,25.8897,-80.1868,146.82,44.73,46515.13,273695.6,2.79,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Miami Gardens,25.942,-80.2456,152.96,40.57,38789.28,235323.9,2.95,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Hialeah,25.8576,-80.2781,150.63,42.84,38520.76,254908.08,3.76,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Greenville SC,34.8526,-82.394,121.92,40.37,33313.9,174771.83,3.63,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Columbia SC,34.0007,-81.0348,129.0,38.25,24700.15,152586.59,4.72,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Spartanburg,34.9496,-81.932,121.66,39.29,31220.38,150693.48,4.63,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Rock Hill,34.9249,-81.0251,137.48,40.3,32896.71,193696.02,3.74,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
North Charleston,32.8546,-79.9748,163.71,38.53,41777.81,212035.24,3.19,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Mount Pleasant,32.8323,-79.8284,195.36,52.67,62610.21,316079.4,3.37,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Wilmington NC,34.2257,-77.9447,151.56,42.68,43542.53,208704.97,2.56,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Gastonia,35.2621,-81.1873,125.02,40.51,26094.59,158622.66,3.92,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Concord NC,35.4088,-80.5795,165.75,39.67,34967.39,230767.07,4.57,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Huntersville,35.4107,-80.8429,154.23,46.14,39411.29,267552.35,4.12,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Mooresville,35.5746,-80.8098,167.14,38.4,43464.96,257435.22,2.58,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Cary,35.7915,-78.7811,167.79,48.26,57175.9,278532.32,2.92,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Durham,35.994,-78.8986,150.32,43.45,50036.3,254706.31,2.56,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Chapel Hill,35.9132,-79.0558,139.54,38.74,51430.82,304444.98,2.83,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Apex,35.7327,-78.8503,147.59,38.3,51093.77,314657.78,2.24,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Morrisville,35.8237,-78.8253,155.07,47.17,52203.39,310329.43,4.15,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
High Point,35.9557,-80.0053,118.04,33.19,30615.23,161445.4,3.53,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Winston-Salem,36.0999,-80.2442,127.72,36.95,26251.95,169577.69,4.49,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Greensboro,36.0726,-79.792,130.01,33.67,30503.07,159500.21,4.89,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Richmond VA,37.5407,-77.436,134.27,36.92,32230.32,173604.68,3.83,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Newport News,37.0871,-76.473,123.71,40.44,30485.85,186236.06,2.45,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Chesapeake,36.7682,-76.2875,153.93,43.96,36767.95,195151.32,2.56,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Virginia Beach,36.8529,-75.978,146.18,43.18,33577.36,220723.78,3.1,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Hampton,37.0299,-76.3452,133.28,38.45,26505.06,187477.92,4.12,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Alexandria VA,38.8048,-77.0469,169.0,48.17,59574.35,417807.26,4.83,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Madison WI,43.0731,-89.4012,144.39,48.52,33784.33,229799.05,3.13,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Green Bay,44.5133,-88.0133,141.88,38.4,22996.59,141513.93,4.58,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Kenosha,42.5847,-87.8212,125.07,32.93,25829.26,153800.05,3.3,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Racine,42.7261,-87.7829,142.4,40.7,20856.77,127800.29,3.95,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Appleton,44.2619,-88.4154,141.38,34.51,26856.51,145943.28,2.31,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Eau Claire,44.8113,-91.4985,131.08,32.22,24145.47,143318.85,3.21,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
La Crosse,43.8014,-91.2396,142.32,36.19,24756.54,142658.11,3.35,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Janesville,42.6828,-89.0187,138.8,38.94,26587.68,141839.91,3.34,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Cedar Rapids,41.9779,-91.6656,127.25,37.32,24945.82,140492.72,2.25,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Iowa City,41.6611,-91.5302,125.88,34.92,28956.01,166680.36,2.26,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Sioux City,42.4999,-96.4003,142.7,32.05,20718.77,119461.41,3.03,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Waterloo,42.4928,-92.3426,134.74,39.51,18475.63,123393.45,4.22,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Ames,42.0308,-93.6319,120.84,35.45,31062.34,168909.05,4.2,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Dubuque,42.5006,-90.6646,119.53,37.05,25187.26,147668.17,4.06,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Olathe,38.8814,-94.8191,156.53,45.48,35452.85,182107.04,2.61,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Lawrence KS,38.9717,-95.2353,142.38,33.28,25509.63,175755.89,3.87,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Shawnee,39.0228,-94.7152,162.67,41.73,33822.48,192652.49,3.51,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Lenexa,38.9536,-94.7336,166.82,46.51,40844.37,215849.51,3.93,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Lincoln NE,40.8136,-96.7026,118.95,34.3,21374.07,141661.2,3.11,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Grand Island,40.925,-98.342,134.38,32.93,21427.97,115284.49,4.52,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Rapid City,44.0805,-103.231,127.08,35.22,28453.49,168091.31,4.64,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Bismarck,46.8083,-100.7837,119.09,32.79,27558.04,166217.44,3.23,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Grand Forks,47.9253,-97.0329,122.23,36.32,24433.87,156213.79,3.41,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Minot,48.2325,-101.2963,141.67,39.32,25731.6,146248.5,3.0,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Missoula,46.8721,-113.994,161.81,42.91,40551.79,221700.95,2.54,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Great Falls,47.5002,-111.3008,140.78,32.04,22037.88,132035.9,4.05,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Helena MT,46.5958,-112.027,139.78,33.29,27971.15,170353.68,4.61,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Kalispell,48.192,-114.3168,163.45,48.29,35703.46,230055.5,3.22,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Casper,42.8501,-106.3252,135.69,35.88,27088.78,142039.5,3.02,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Laramie,41.3114,-105.5911,123.67,34.71,27534.23,174504.46,3.41,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Nampa,43.5407,-116.5635,168.83,45.9,39936.43,188750.02,3.16,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Meridian,43.6121,-116.3915,167.92,48.4,33964.28,228867.16,4.24,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Coeur d'Alene,47.6777,-116.7805,154.14,47.33,39141.4,271269.1,4.39,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Twin Falls,42.5629,-114.4609,125.79,34.04,33129.46,160886.88,4.57,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Pocatello,42.8713,-112.4455,139.75,34.67,26223.09,141554.55,2.56,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
West Valley City,40.6916,-112.001,148.2,43.96,34447.14,208717.24,2.89,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
West Jordan,40.6097,-111.9391,162.82,40.24,34891.92,209687.44,3.01,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Sandy,40.5649,-111.8389,161.65,44.68,34671.33,208036.75,4.67,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Lehi,40.3916,-111.8507,152.61,48.08,49308.44,296222.72,2.59,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
