city,lat,lng,mf_permits_12mo,mf_permits_prior_12mo,permit_growth_yoy_pct,single_family_permits_12mo,total_permits_12mo,data_source,as_of_date,source_url
Daytona Beach,29.2108,-81.0228,1306,1505,-5.5,1094,2244,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Kissimmee,28.2919,-81.4076,1990,2086,-7.71,1655,3406,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Sanford,28.8005,-81.2731,1398,1380,-4.53,1104,2629,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Clearwater,27.9659,-82.8001,1752,1981,-4.92,1340,2965,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Cape Coral,26.5629,-81.9495,1968,1993,-7.5,1639,3427,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Homestead,25.4687,-80.4776,1328,1336,-7.2,1231,2561,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Doral,25.8195,-80.3556,2489,2506,-7.38,1952,4066,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Aventura,25.9565,-80.1392,1970,2189,-8.12,1601,3423,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Boca Raton,26.3683,-80.1289,2436,2410,-7.79,1830,4811,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
West Palm Beach,26.7153,-80.0534,2980,3448,-4.7,2781,6117,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Delray Beach,26.4615,-80.0728,2079,2035,-7.66,1840,3677,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Boynton Beach,26.5317,-80.0905,1837,1770,-6.33,1652,3421,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Pompano Beach,26.2379,-80.1248,2015,2328,-8.71,1762,3510,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Hollywood,26.0112,-80.1495,1995,1953,-6.25,1569,3594,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Coral Springs,26.2707,-80.2707,1959,1906,-4.34,1643,3633,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Miramar,25.986,-80.233,1907,2016,-4.64,1790,3402,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Pembroke Pines,26.007,-86.1527,1890,2122,-7.84,1789,3746,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Sunrise,26.167,-80.2561,1918,1892,-4.82,1719,3815,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Plantation,26.1276,-80.2331,2050,2170,-7.03,1693,3449,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Davie,26.0765,-80.2521,1817,1863,-6.09,1403,3586,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Weston,26.1003,-80.3998,1483,1563,-5.89,1329,2581,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Deerfield Beach,26.3184,-80.0998,1989,1955,-6.56,1602,3631,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Margate,26.2445,-80.2062,1488,1741,-5.94,1296,3012,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Lauderhill,26.1401,-80.2131,1277,1530,-6.4,1026,2595,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Tamarac,26.2129,-80.2497,1355,1581,-4.92,1253,2372,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Coconut Creek,26.2712,-80.1793,1352,1589,-4.93,1269,2586,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
North Miami,25.8897,-80.1868,2100,2520,-6.52,1647,3707,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Miami Gardens,25.942,-80.2456,1371,1595,-8.1,1126,2685,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Hialeah,25.8576,-80.2781,1257,1472,-6.78,1097,2212,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Greenville SC,34.8526,-82.394,2067,2186,-7.02,1941,4258,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Columbia SC,34.0007,-81.0348,1830,2004,-4.66,1589,3749,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Spartanburg,34.9496,-81.932,1440,1478,-3.97,1174,2875,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Rock Hill,34.9249,-81.0251,1632,1794,-5.69,1388,3374,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
North Charleston,32.8546,-79.9748,1980,2066,-5.45,1633,4060,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Mount Pleasant,32.8323,-79.8284,1751,2035,-8.79,1590,3084,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Wilmington NC,34.2257,-77.9447,1249,1352,-4.83,1046,2424,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Gastonia,35.2621,-81.1873,1228,1227,-5.62,1151,2238,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Concord NC,35.4088,-80.5795,1454,1426,-4.09,1323,2598,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Huntersville,35.4107,-80.8429,2100,2268,-7.37,1574,3601,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Mooresville,35.5746,-80.8098,1906,1887,-7.45,1625,3839,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Cary,35.7915,-78.7811,1781,1988,-5.82,1352,3347,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Durham,35.994,-78.8986,2554,2629,-7.5,2042,4366,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Chapel Hill,35.9132,-79.0558,1479,1735,-6.15,1354,2626,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Apex,35.7327,-78.8503,2137,2175,-9.05,1686,4269,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Morrisville,35.8237,-78.8253,2029,2111,-6.67,1660,3894,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
High Point,35.9557,-80.0053,1347,1572,-8.01,1257,2474,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Winston-Salem,36.0999,-80.2442,1458,1722,-7.8,1358,2732,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Greensboro,36.0726,-79.792,1809,2005,-6.03,1382,2993,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Richmond VA,37.5407,-77.436,2498,2505,-5.62,1949,4875,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Newport News,37.0871,-76.473,1367,1461,-6.59,1114,2260,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Chesapeake,36.7682,-76.2875,2138,2299,-8.67,1801,3771,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Virginia Beach,36.8529,-75.978,2064,1998,-8.72,1688,3717,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Hampton,37.0299,-76.3452,1307,1555,-4.0,1090,2256,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Alexandria VA,38.8048,-77.0469,2219,2347,-7.99,2056,4516,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Madison WI,43.0731,-89.4012,2021,2304,-5.71,1915,4071,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Green Bay,44.5133,-88.0133,1335,1482,-7.99,1009,2546,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Kenosha,42.5847,-87.8212,1102,1320,-4.51,947,2009,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Racine,42.7261,-87.7829,945,979,-6.26,756,1667,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Appleton,44.2619,-88.4154,1320,1509,-7.09,1141,2597,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Eau Claire,44.8113,-91.4985,1091,1227,-6.68,938,1781,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
La Crosse,43.8014,-91.2396,886,903,-4.78,755,1633,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Janesville,42.6828,-89.0187,895,981,-6.14,756,1809,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Cedar Rapids,41.9779,-91.6656,1094,1206,-4.28,926,2162,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Iowa City,41.6611,-91.5302,1226,1343,-8.74,937,2479,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Sioux City,42.4999,-96.4003,1069,1204,-7.03,979,1788,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Waterloo,42.4928,-92.3426,747,870,-4.39,569,1435,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Ames,42.0308,-93.6319,1113,1246,-4.93,911,2166,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Dubuque,42.5006,-90.6646,990,1019,-7.08,801,1701,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Olathe,38.8814,-94.8191,1912,2257,-8.8,1757,3442,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Lawrence KS,38.9717,-95.2353,1092,1283,-7.62,1034,2083,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Shawnee,39.0228,-94.7152,1946,1947,-5.73,1843,3850,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Lenexa,38.9536,-94.7336,1833,2029,-4.33,1537,3180,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Lincoln NE,40.8136,-96.7026,1652,1934,-4.1,1489,3059,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Grand Island,40.925,-98.342,861,996,-7.14,681,1729,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Rapid City,44.0805,-103.231,1152,1387,-6.43,954,1912,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Bismarck,46.8083,-100.7837,1088,1184,-7.98,889,1980,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Grand Forks,47.9253,-97.0329,1089,1267,-6.68,925,2192,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Minot,48.2325,-101.2963,991,983,-5.48,861,1833,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Missoula,46.8721,-113.994,1208,1307,-4.02,970,2482,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Great Falls,47.5002,-111.3008,825,811,-6.8,657,1686,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Helena MT,46.5958,-112.027,936,991,-6.3,819,1908,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Kalispell,48.192,-114.3168,1191,1411,-8.49,1066,2195,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Casper,42.8501,-106.3252,844,923,-7.89,665,1528,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Laramie,41.3114,-105.5911,886,917,-7.63,774,1582,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Nampa,43.5407,-116.5635,1519,1452,-8.12,1411,2729,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Meridian,43.6121,-116.3915,1732,1892,-4.14,1454,3586,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Coeur d'Alene,47.6777,-116.7805,1304,1270,-5.29,975,2699,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Twin Falls,42.5629,-114.4609,1092,1148,-8.24,1021,2055,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Pocatello,42.8713,-112.4455,1098,1318,-8.46,825,2029,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
West Valley City,40.6916,-112.001,2051,2372,-6.84,1655,4220,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
West Jordan,40.6097,-111.9391,1723,1895,-8.36,1306,3143,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Sandy,40.5649,-111.8389,1797,1958,-7.13,1650,3126,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Lehi,40.3916,-111.8507,2479,2660,-6.44,2332,4324,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
