city,lat,lng,price_per_unit,price_per_unit_class_a,price_per_unit_class_b,price_per_unit_class_c,price_per_unit_yoy_chg_pct,price_per_sf,data_source,as_of_date,source_url
Wichita Falls,33.9137,-98.4934,110166.78,151664.0,105331.0,67251.0,-5.99,125.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Midland,31.9973,-102.0779,180420.8,221992.0,153455.0,112764.0,-3.13,199.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Odessa,31.8457,-102.3676,159325.12,223653.0,158589.0,97610.0,-2.27,170.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Tyler,32.3513,-95.3011,131693.76,166732.0,121490.0,86897.0,-5.68,142.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Waco,31.5493,-97.1467,135182.78,190409.0,120605.0,88941.0,-6.23,144.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Beaumont,30.086,-94.1018,136908.8,164793.0,126052.0,89088.0,-2.72,143.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Abilene,32.4487,-99.7331,120327.9,160694.0,113216.0,74066.0,-4.88,126.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Laredo,27.5306,-99.4803,118399.23,140171.0,106248.0,71759.0,-6.17,123.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
McAllen,26.2034,-98.23,115748.86,149066.0,108564.0,69436.0,-3.12,128.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Brownsville,25.9017,-97.4975,106367.74,139784.0,107467.0,75828.0,-5.3,122.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Killeen,31.1171,-97.7278,125275.39,180250.0,128889.0,91906.0,-6.13,152.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Bryan-College Station,30.628,-96.3344,147517.2,201297.0,134484.0,87992.0,-6.71,153.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Victoria,28.8053,-97.0036,123192.0,154885.0,104427.0,74792.0,-4.13,127.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Longview,32.5007,-94.7405,129735.94,178203.0,116393.0,90370.0,-4.06,142.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Nacogdoches,31.6035,-94.6552,112845.82,157035.0,111213.0,76144.0,-6.55,121.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Lufkin,31.3382,-94.7291,116987.14,145077.0,108114.0,67317.0,-6.01,129.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Huntsville TX,30.7235,-95.5508,142441.73,189773.0,127796.0,83118.0,-4.77,142.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Texarkana,33.4251,-94.0477,111727.62,156612.0,110736.0,73071.0,-5.37,126.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Paris TX,33.6609,-95.5555,115670.02,159348.0,113259.0,68588.0,-5.44,122.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Amarillo,35.222,-101.8313,122217.22,174186.0,132007.0,87390.0,-6.72,151.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Deltona,28.9005,-81.2637,181208.24,241562.0,183764.0,114861.0,-2.29,205.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Daytona Beach,29.2108,-81.0228,165285.12,240492.0,159938.0,114977.0,-3.6,188.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Kissimmee,28.2919,-81.4076,220077.44,274971.0,206185.0,137366.0,-4.23,232.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Sanford,28.8005,-81.2731,183306.24,251503.0,185455.0,124552.0,-5.42,208.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Clearwater,27.9659,-82.8001,227312.96,336746.0,215787.0,148566.0,-5.52,267.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Cape Coral,26.5629,-81.9495,216730.8,303726.0,229096.0,134730.0,-6.39,254.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Homestead,25.4687,-80.4776,235206.0,296650.0,218562.0,134938.0,-5.63,259.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Doral,25.8195,-80.3556,382954.88,486577.0,378139.0,240336.0,-4.01,424.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Aventura,25.9565,-80.1392,456098.4,621623.0,440489.0,271234.0,-3.93,490.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Boca Raton,26.3683,-80.1289,414986.88,480939.0,360302.0,262654.0,-4.92,437.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
West Palm Beach,26.7153,-80.0534,324745.2,469687.0,294745.0,210040.0,-4.45,348.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Delray Beach,26.4615,-80.0728,301397.2,411133.0,319860.0,196378.0,-4.75,349.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Boynton Beach,26.5317,-80.0905,306605.28,415308.0,292150.0,182911.0,-6.57,317.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Pompano Beach,26.2379,-80.1248,293361.2,418200.0,283575.0,189854.0,-4.5,337.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Hollywood,26.0112,-80.1495,309323.68,404187.0,276088.0,208039.0,-6.65,351.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Coral Springs,26.2707,-80.2707,321621.28,440665.0,266589.0,188214.0,-6.41,322.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Miramar,25.986,-80.233,310328.96,407843.0,310946.0,192356.0,-5.6,344.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Pembroke Pines,26.007,-86.1527,320801.44,429953.0,288113.0,188696.0,-6.14,334.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Sunrise,26.167,-80.2561,302729.28,375522.0,279189.0,199243.0,-2.33,313.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Plantation,26.1276,-80.2331,301886.56,388916.0,310626.0,198485.0,-5.89,330.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Davie,26.0765,-80.2521,320332.96,410531.0,294942.0,188271.0,-5.71,341.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Weston,26.1003,-80.3998,359275.84,542694.0,341804.0,245982.0,-5.36,447.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Deerfield Beach,26.3184,-80.0998,275998.56,359289.0,254384.0,186115.0,-5.67,326.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Margate,26.2445,-80.2062,250915.28,348605.0,237208.0,158835.0,-3.88,277.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Lauderhill,26.1401,-80.2131,210024.0,302005.0,202912.0,151138.0,-2.84,250.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Tamarac,26.2129,-80.2497,210855.6,319185.0,216209.0,135224.0,-5.75,251.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Coconut Creek,26.2712,-80.1793,283312.8,394458.0,249913.0,175350.0,-4.79,331.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
North Miami,25.8897,-80.1868,279818.8,329565.0,249631.0,172269.0,-5.79,282.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Miami Gardens,25.942,-80.2456,241380.0,279989.0,224003.0,137477.0,-2.61,238.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Hialeah,25.8576,-80.2781,212184.0,286011.0,198374.0,138268.0,-3.9,257.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Greenville SC,34.8526,-82.394,155327.04,234640.0,145173.0,110799.0,-4.07,185.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Columbia SC,34.0007,-81.0348,163263.36,216673.0,140611.0,93054.0,-4.55,175.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Spartanburg,34.9496,-81.932,156966.64,201416.0,139680.0,108333.0,-4.85,177.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Rock Hill,34.9249,-81.0251,164029.6,224774.0,154115.0,108183.0,-3.26,195.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
North Charleston,32.8546,-79.9748,231247.12,270917.0,210554.0,130500.0,-3.5,238.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Mount Pleasant,32.8323,-79.8284,308053.2,442176.0,308389.0,221586.0,-3.56,361.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Wilmington NC,34.2257,-77.9447,225946.08,311636.0,205678.0,149571.0,-3.93,241.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Gastonia,35.2621,-81.1873,143572.16,206207.0,158434.0,108015.0,-4.91,174.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Concord NC,35.4088,-80.5795,226589.36,294495.0,212629.0,150548.0,-4.53,231.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Huntersville,35.4107,-80.8429,230786.08,337032.0,238384.0,149445.0,-2.92,276.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Mooresville,35.5746,-80.8098,261271.92,310259.0,247099.0,165238.0,-6.56,261.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Cary,35.7915,-78.7811,277124.88,405748.0,291375.0,178507.0,-2.91,305.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Durham,35.994,-78.8986,261797.2,332549.0,235889.0,160784.0,-4.28,263.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Chapel Hill,35.9132,-79.0558,278114.4,392100.0,266149.0,188333.0,-2.95,325.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Apex,35.7327,-78.8503,280476.48,367889.0,267817.0,172330.0,-2.64,302.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Morrisville,35.8237,-78.8253,272149.92,412840.0,273678.0,173622.0,-3.09,327.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
High Point,35.9557,-80.0053,153812.08,216421.0,148402.0,95290.0,-2.45,176.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Winston-Salem,36.0999,-80.2442,145003.12,224423.0,152000.0,100803.0,-2.61,170.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Greensboro,36.0726,-79.792,163977.6,223784.0,155981.0,98754.0,-4.23,178.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Richmond VA,37.5407,-77.436,184382.37,228104.0,174173.0,109634.0,-3.48,203.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Newport News,37.0871,-76.473,155541.12,231053.0,165200.0,112967.0,-5.5,190.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Chesapeake,36.7682,-76.2875,187802.16,276775.0,191765.0,119186.0,-2.46,206.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Virginia Beach,36.8529,-75.978,198366.48,266455.0,196558.0,122288.0,-5.0,219.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Hampton,37.0299,-76.3452,177104.26,234319.0,148780.0,111894.0,-5.18,196.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Alexandria VA,38.8048,-77.0469,358233.6,486940.0,386270.0,249648.0,-2.3,401.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Madison WI,43.0731,-89.4012,221350.24,309049.0,200763.0,146724.0,-5.35,244.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Green Bay,44.5133,-88.0133,136033.92,171964.0,123687.0,90528.0,-6.24,151.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Kenosha,42.5847,-87.8212,154680.08,220868.0,154719.0,98669.0,-3.89,169.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Racine,42.7261,-87.7829,138806.98,192313.0,129780.0,83446.0,-6.6,150.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Appleton,44.2619,-88.4154,128836.8,186762.0,140162.0,82824.0,-6.3,154.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Eau Claire,44.8113,-91.4985,127598.11,183701.0,135824.0,91335.0,-2.26,156.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
La Crosse,43.8014,-91.2396,139854.72,185078.0,138093.0,82996.0,-3.72,157.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Janesville,42.6828,-89.0187,132629.38,173276.0,117848.0,81363.0,-2.27,153.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Cedar Rapids,41.9779,-91.6656,144297.22,200954.0,132778.0,83529.0,-5.87,157.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Iowa City,41.6611,-91.5302,170839.68,235684.0,159913.0,114504.0,-5.19,185.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Sioux City,42.4999,-96.4003,124577.79,170568.0,114062.0,77366.0,-5.86,128.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Waterloo,42.4928,-92.3426,107620.35,151234.0,101737.0,74261.0,-3.96,122.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Ames,42.0308,-93.6319,160187.28,209481.0,151473.0,114255.0,-6.6,185.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Dubuque,42.5006,-90.6646,128551.97,194500.0,138209.0,91211.0,-3.17,148.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Olathe,38.8814,-94.8191,170978.48,240475.0,175593.0,121237.0,-3.66,198.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Lawrence KS,38.9717,-95.2353,173223.6,219325.0,151265.0,102914.0,-6.12,186.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Shawnee,39.0228,-94.7152,195661.92,253039.0,165658.0,123590.0,-3.44,214.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Lenexa,38.9536,-94.7336,198278.16,306072.0,206165.0,139050.0,-2.33,229.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Lincoln NE,40.8136,-96.7026,145789.82,175581.0,133953.0,85590.0,-5.37,148.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Grand Island,40.925,-98.342,120505.38,165277.0,120166.0,78234.0,-6.33,137.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Rapid City,44.0805,-103.231,162309.84,213690.0,168495.0,100927.0,-4.16,183.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Bismarck,46.8083,-100.7837,177843.6,222294.0,144702.0,100178.0,-5.69,182.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Grand Forks,47.9253,-97.0329,132517.54,191937.0,127884.0,82742.0,-3.59,147.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Minot,48.2325,-101.2963,137736.19,169270.0,132569.0,92087.0,-3.86,149.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Missoula,46.8721,-113.994,214140.0,270959.0,197322.0,135967.0,-5.32,245.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Great Falls,47.5002,-111.3008,139740.48,175469.0,124678.0,88697.0,-6.44,140.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Helena MT,46.5958,-112.027,163739.52,206317.0,151609.0,100518.0,-2.82,178.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Kalispell,48.192,-114.3168,206795.6,271813.0,218355.0,133172.0,-4.35,243.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Casper,42.8501,-106.3252,127985.09,181353.0,134967.0,87185.0,-5.45,150.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Laramie,41.3114,-105.5911,160723.84,219960.0,150709.0,105986.0,-2.59,178.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Nampa,43.5407,-116.5635,195068.64,246870.0,187802.0,119956.0,-5.73,224.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Meridian,43.6121,-116.3915,206496.32,305891.0,206538.0,134050.0,-2.8,240.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Coeur d'Alene,47.6777,-116.7805,248477.04,311826.0,221023.0,154659.0,-3.79,266.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Twin Falls,42.5629,-114.4609,176621.28,214506.0,161059.0,105960.0,-3.45,174.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Pocatello,42.8713,-112.4455,143126.98,200423.0,122651.0,89648.0,-5.0,149.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
West Valley City,40.6916,-112.001,182984.88,250096.0,193105.0,122453.0,-2.89,224.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
West Jordan,40.6097,-111.9391,202354.56,300574.0,217701.0,145365.0,-6.58,230.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Sandy,40.5649,-111.8389,219502.96,311292.0,205515.0,134451.0,-2.8,234.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Lehi,40.3916,-111.8507,283117.52,361957.0,240117.0,174543.0,-3.1,288.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
