city,project_name,address,units,class_type,status,permit_date,completion_date,developer,source_url,latitude,longitude
Long Beach,Long Beach Plaza 4,1300 First St,130,Class B,Under Construction,2025-11-13,,Bay Area Developers,https://www.longbeach.gov,33.758567,-118.198938
Long Beach,Long Beach Apartments 5,1400 Main St,145,Class A,Permitted,2025-12-17,,CA Housing Partners,https://www.longbeach.gov,33.780816,-118.190392
Long Beach,Long Beach Residences 6,1500 Market St,160,Class B,Under Construction,2026-01-21,,West Coast Residential,https://www.longbeach.gov,33.854292,-118.174464
Long Beach,Long Beach Towers 7,1600 Broadway St,175,Class A,Under Construction,2025-08-25,,Bay Area Developers,https://www.longbeach.gov,33.778160,-118.199680
Long Beach,Long Beach Plaza 8,1700 First St,190,Class B,Under Construction,2025-09-01,,CA Housing Partners,https://www.longbeach.gov,33.768295,-118.187883
Anaheim,Anaheim Apartments 1,1000 Main St,85,Class A,Permitted,2025-08-01,,Bay Area Developers,https://www.anaheim.net,33.811131,-117.918859
Anaheim,Anaheim Residences 2,1100 Market St,100,Class B,Under Construction,2025-09-05,,CA Housing Partners,https://www.anaheim.net,33.802471,-117.893585
Anaheim,Anaheim Towers 3,1200 Broadway St,115,Class A,Under Construction,2025-10-09,,West Coast Residential,https://www.anaheim.net,33.826505,-117.902675
Anaheim,Anaheim Plaza 4,1300 First St,130,Class B,Under Construction,2025-11-13,,Bay Area Developers,https://www.anaheim.net,40.792150,-96.670498
Anaheim,Anaheim Apartments 5,1400 Main St,145,Class A,Permitted,2025-12-17,,CA Housing Partners,https://www.anaheim.net,33.811131,-117.918859
Anaheim,Anaheim Residences 6,1500 Market St,160,Class B,Under Construction,2026-01-21,,West Coast Residential,https://www.anaheim.net,33.802471,-117.893585
Anaheim,Anaheim Towers 7,1600 Broadway St,175,Class A,Under Construction,2025-08-25,,Bay Area Developers,https://www.anaheim.net,33.835514,-117.902143
Riverside,Riverside Apartments 1,1000 Main St,85,Class A,Permitted,2025-08-01,,Bay Area Developers,https://www.riversideca.gov,34.019297,-117.333741
Riverside,Riverside Residences 2,1100 Market St,100,Class B,Under Construction,2025-09-05,,CA Housing Partners,https://www.riversideca.gov,33.991992,-117.369448
Riverside,Riverside Towers 3,1200 Broadway St,115,Class A,Under Construction,2025-10-09,,West Coast Residential,https://www.riversideca.gov,33.688701,-117.378403
Riverside,Riverside Plaza 4,1300 First St,130,Class B,Under Construction,2025-11-13,,Bay Area Developers,https://www.riversideca.gov,33.681794,-116.181348
Riverside,Riverside Apartments 5,1400 Main St,145,Class A,Permitted,2025-12-17,,CA Housing Partners,https://www.riversideca.gov,34.001054,-117.364147
Riverside,Riverside Residences 6,1500 Market St,160,Class B,Under Construction,2026-01-21,,West Coast Residential,https://www.riversideca.gov,33.992825,-117.369336
Corpus Christi,Corpus Christi Multifamily Complex 1,500 Main St,70,Class B,Under Construction,2025-09-01,,Texas Development Group,https://www.corpuschristi.com,43.161697,-77.588780
Corpus Christi,Corpus Christi Multifamily Complex 2,575 Texas St,82,Class B,Under Construction,2025-10-06,,Lone Star Housing,https://www.corpuschristi.com,32.534944,-96.668710
Corpus Christi,Corpus Christi Multifamily Complex 3,650 Highway St,94,Class B,Under Construction,2025-11-11,,TX Residential,https://www.corpuschristi.com,27.801142,-97.394965
Corpus Christi,Corpus Christi Multifamily Complex 4,725 Avenue St,106,Class B,Under Construction,2025-12-16,,Texas Development Group,https://www.corpuschristi.com,27.651182,-97.291812
Corpus Christi,Corpus Christi Multifamily Complex 5,800 Main St,118,Class B,Under Construction,2026-01-21,,Lone Star Housing,https://www.corpuschristi.com,43.161697,-77.588780
Corpus Christi,Corpus Christi Multifamily Complex 6,875 Texas St,130,Class B,Under Construction,2025-09-26,,TX Residential,https://www.corpuschristi.com,27.810302,-97.395208
Corpus Christi,Corpus Christi Multifamily Complex 7,950 Highway St,142,Class B,Under Construction,2025-10-03,,Texas Development Group,https://www.corpuschristi.com,27.801142,-97.394965
Lubbock,Lubbock Multifamily Complex 1,500 Main St,70,Class B,Under Construction,2025-09-01,,Texas Development Group,https://www.lubbock.com,33.506158,-102.015899
Lubbock,Lubbock Multifamily Complex 2,575 Texas St,82,Class B,Under Construction,2025-10-06,,Lone Star Housing,https://www.lubbock.com,29.665420,-95.272870
Lubbock,Lubbock Multifamily Complex 3,650 Highway St,94,Class B,Under Construction,2025-11-11,,TX Residential,https://www.lubbock.com,33.577792,-101.977952
Lubbock,Lubbock Multifamily Complex 4,725 Avenue St,106,Class B,Under Construction,2025-12-16,,Texas Development Group,https://www.lubbock.com,33.527507,-101.869401
Lubbock,Lubbock Multifamily Complex 5,800 Main St,118,Class B,Under Construction,2026-01-21,,Lone Star Housing,https://www.lubbock.com,33.585587,-101.843339
Denton,Denton Multifamily Complex 1,500 Main St,70,Class B,Under Construction,2025-09-01,,Texas Development Group,https://www.denton.com,32.997414,-97.226197
Denton,Denton Multifamily Complex 2,575 Texas St,82,Class B,Under Construction,2025-10-06,,Lone Star Housing,https://www.denton.com,33.222352,-97.126534
Denton,Denton Multifamily Complex 3,650 Highway St,94,Class B,Under Construction,2025-11-11,,TX Residential,https://www.denton.com,33.196290,-97.146416
Denton,Denton Multifamily Complex 4,725 Avenue St,106,Class B,Under Construction,2025-12-16,,Texas Development Group,https://www.denton.com,42.969407,-87.872692
Denton,Denton Multifamily Complex 5,800 Main St,118,Class B,Under Construction,2026-01-21,,Lone Star Housing,https://www.denton.com,33.109172,-97.012682
Denton,Denton Multifamily Complex 6,875 Texas St,130,Class B,Under Construction,2025-09-26,,TX Residential,https://www.denton.com,33.222431,-97.122655
Waco,Waco Multifamily Complex 1,500 Main St,70,Class B,Under Construction,2025-09-01,,Texas Development Group,https://www.waco.com,37.245740,-94.599903
Waco,Waco Multifamily Complex 2,575 Texas St,82,Class B,Under Construction,2025-10-06,,Lone Star Housing,https://www.waco.com,31.583198,-97.123143
Waco,Waco Multifamily Complex 3,650 Highway St,94,Class B,Under Construction,2025-11-11,,TX Residential,https://www.waco.com,41.130580,-91.545439
Waco,Waco Multifamily Complex 4,725 Avenue St,106,Class B,Under Construction,2025-12-16,,Texas Development Group,https://www.waco.com,37.605546,-97.375671
Fort Myers,Fort Myers Apartments 1,300 Palm Dr,75,Class A,Under Construction,2025-08-01,,Sunshine Development,https://www.fortmyers.com,26.655808,-81.850461
Fort Myers,Fort Myers Apartments 2,350 Beach Dr,85,Class B,Under Construction,2025-09-04,,FL Residential,https://www.fortmyers.com,26.597662,-81.813021
Fort Myers,Fort Myers Apartments 3,400 Gulf Dr,95,Class A,Under Construction,2025-10-07,,Coastal Properties,https://www.fortmyers.com,26.425234,-81.908113
Fort Myers,Fort Myers Apartments 4,450 Ocean Dr,105,Class B,Under Construction,2025-11-10,,Sunshine Development,https://www.fortmyers.com,26.647305,-81.885531
Fort Myers,Fort Myers Apartments 5,500 Palm Dr,115,Class A,Under Construction,2025-12-13,,FL Residential,https://www.fortmyers.com,26.655808,-81.850461
Fort Myers,Fort Myers Apartments 6,550 Beach Dr,125,Class B,Under Construction,2026-01-16,,Coastal Properties,https://www.fortmyers.com,26.597662,-81.813021
Fort Myers,Fort Myers Apartments 7,600 Gulf Dr,135,Class A,Under Construction,2025-08-19,,Sunshine Development,https://www.fortmyers.com,26.425234,-81.908113
Fort Myers,Fort Myers Apartments 8,650 Ocean Dr,145,Class B,Under Construction,2025-09-22,,FL Residential,https://www.fortmyers.com,26.650271,-81.870091
Fort Myers,Fort Myers Apartments 9,700 Palm Dr,155,Class A,Under Construction,2025-10-25,,Coastal Properties,https://www.fortmyers.com,26.655808,-81.850461
Tallahassee,Tallahassee Apartments 1,300 Palm Dr,75,Class A,Under Construction,2025-08-01,,Sunshine Development,https://www.tallahassee.com,30.411513,-84.308739
Tallahassee,Tallahassee Apartments 2,350 Beach Dr,85,Class B,Under Construction,2025-09-04,,FL Residential,https://www.tallahassee.com,27.638960,-80.407701
Tallahassee,Tallahassee Apartments 3,400 Gulf Dr,95,Class A,Under Construction,2025-10-07,,Coastal Properties,https://www.tallahassee.com,30.604844,-88.074993
Tallahassee,Tallahassee Apartments 4,450 Ocean Dr,105,Class B,Under Construction,2025-11-10,,Sunshine Development,https://www.tallahassee.com,30.440812,-84.285232
Tallahassee,Tallahassee Apartments 5,500 Palm Dr,115,Class A,Under Construction,2025-12-13,,FL Residential,https://www.tallahassee.com,30.411513,-84.308739
Tallahassee,Tallahassee Apartments 6,550 Beach Dr,125,Class B,Under Construction,2026-01-16,,Coastal Properties,https://www.tallahassee.com,27.638960,-80.407701
Naples,Naples Apartments 1,300 Palm Dr,75,Class A,Under Construction,2025-08-01,,Sunshine Development,https://www.naples.com,26.130978,-81.760668
Naples,Naples Apartments 2,350 Beach Dr,85,Class B,Under Construction,2025-09-04,,FL Residential,https://www.naples.com,33.767964,-118.111373
Naples,Naples Apartments 3,400 Gulf Dr,95,Class A,Under Construction,2025-10-07,,Coastal Properties,https://www.naples.com,26.251821,-81.802579
Naples,Naples Apartments 4,450 Ocean Dr,105,Class B,Under Construction,2025-11-10,,Sunshine Development,https://www.naples.com,39.993818,-74.072536
Naples,Naples Apartments 5,500 Palm Dr,115,Class A,Under Construction,2025-12-13,,FL Residential,https://www.naples.com,26.122222,-81.761645
Gainesville,Gainesville Apartments 1,300 Palm Dr,75,Class A,Under Construction,2025-08-01,,Sunshine Development,https://www.gainesville.com,29.639036,-82.356482
Gainesville,Gainesville Apartments 2,350 Beach Dr,85,Class B,Under Construction,2025-09-04,,FL Residential,https://www.gainesville.com,29.664727,-82.325338
Gainesville,Gainesville Apartments 3,400 Gulf Dr,95,Class A,Under Construction,2025-10-07,,Coastal Properties,https://www.gainesville.com,29.660425,-82.335446
Gainesville,Gainesville Apartments 4,450 Ocean Dr,105,Class B,Under Construction,2025-11-10,,Sunshine Development,https://www.gainesville.com,29.662428,-82.320869
Gainesville,Gainesville Apartments 5,500 Palm Dr,115,Class A,Under Construction,2025-12-13,,FL Residential,https://www.gainesville.com,29.639036,-82.356482
Knoxville,Knoxville Residential Development 1,200 Main St,80,Class B,Permitted,2025-09-01,,TN Development Partners,https://www.knoxville.gov,41.957241,-77.440401
Knoxville,Knoxville Residential Development 2,260 Market St,94,Class B,Under Construction,2025-10-05,,Volunteer State Housing,https://www.knoxville.gov,35.965358,-83.919513
Knoxville,Knoxville Residential Development 3,320 Gay St,108,Class B,Under Construction,2025-11-09,,Music City Residential,https://www.knoxville.gov,35.970183,-83.922121
Knoxville,Knoxville Residential Development 4,380 Church St,122,Class B,Permitted,2025-12-13,,TN Development Partners,https://www.knoxville.gov,36.035742,-83.933017
Knoxville,Knoxville Residential Development 5,440 Main St,136,Class B,Under Construction,2026-01-17,,Volunteer State Housing,https://www.knoxville.gov,35.959837,-83.921693
Knoxville,Knoxville Residential Development 6,500 Market St,150,Class B,Under Construction,2025-09-21,,Music City Residential,https://www.knoxville.gov,35.965358,-83.919513
Knoxville,Knoxville Residential Development 7,560 Gay St,164,Class B,Permitted,2025-10-25,,TN Development Partners,https://www.knoxville.gov,35.971821,-83.922987
Knoxville,Knoxville Residential Development 8,620 Church St,178,Class B,Under Construction,2025-11-01,,Volunteer State Housing,https://www.knoxville.gov,36.035742,-83.933017
Chattanooga,Chattanooga Residential Development 1,200 Main St,80,Class B,Permitted,2025-09-01,,TN Development Partners,https://www.chattanooga.gov,35.022458,-85.262840
Chattanooga,Chattanooga Residential Development 2,260 Market St,94,Class B,Under Construction,2025-10-05,,Volunteer State Housing,https://www.chattanooga.gov,35.054036,-85.309580
Chattanooga,Chattanooga Residential Development 3,320 Gay St,108,Class B,Under Construction,2025-11-09,,Music City Residential,https://www.chattanooga.gov,35.045038,-85.239143
Chattanooga,Chattanooga Residential Development 4,380 Church St,122,Class B,Permitted,2025-12-13,,TN Development Partners,https://www.chattanooga.gov,35.012273,-85.330606
Chattanooga,Chattanooga Residential Development 5,440 Main St,136,Class B,Under Construction,2026-01-17,,Volunteer State Housing,https://www.chattanooga.gov,35.022458,-85.262840
Chattanooga,Chattanooga Residential Development 6,500 Market St,150,Class B,Under Construction,2025-09-21,,Music City Residential,https://www.chattanooga.gov,35.051624,-85.309506
Memphis,Memphis Residential Development 1,200 Main St,80,Class B,Permitted,2025-09-01,,TN Development Partners,https://www.memphis.gov,34.725210,-100.537011
Memphis,Memphis Residential Development 2,260 Market St,94,Class B,Under Construction,2025-10-05,,Volunteer State Housing,https://www.memphis.gov,35.150865,-90.044918
Memphis,Memphis Residential Development 3,320 Gay St,108,Class B,Under Construction,2025-11-09,,Music City Residential,https://www.memphis.gov,35.152493,-90.053063
Memphis,Memphis Residential Development 4,380 Church St,122,Class B,Permitted,2025-12-13,,TN Development Partners,https://www.memphis.gov,38.480307,-89.677400
Memphis,Memphis Residential Development 5,440 Main St,136,Class B,Under Construction,2026-01-17,,Volunteer State Housing,https://www.memphis.gov,34.725141,-100.535266
Portland,Portland Multifamily Development 1,1200 SE Morrison St,75,Class A,Under Construction,2025-09-01,,Urban Housing Partners,https://www.portlandmaps.com/bps/,45.517012,-122.653419
Portland,Portland Multifamily Development 2,1300 SE Belmont St,85,Class B,Under Construction,2025-10-04,,PDX Development,https://www.portlandmaps.com/bps/,45.516399,-122.652459
Portland,Portland Multifamily Development 3,1400 SE Hawthorne St,95,Class A,Under Construction,2025-11-07,,Rose City Builders,https://www.portlandmaps.com/bps/,45.512801,-122.498243
Portland,Portland Multifamily Development 4,1500 SE Division St,105,Class B,Under Construction,2025-12-10,,Urban Housing Partners,https://www.portlandmaps.com/bps/,45.504755,-122.650513
Portland,Portland Multifamily Development 5,1600 SE Morrison St,115,Class A,Under Construction,2026-01-13,,PDX Development,https://www.portlandmaps.com/bps/,45.517012,-122.649336
Portland,Portland Multifamily Development 6,1700 SE Belmont St,125,Class B,Under Construction,2026-02-16,,Rose City Builders,https://www.portlandmaps.com/bps/,45.516385,-122.648401
Portland,Portland Multifamily Development 7,1800 SE Hawthorne St,135,Class A,Under Construction,2025-09-19,,Urban Housing Partners,https://www.portlandmaps.com/bps/,45.512801,-122.498243
Portland,Portland Multifamily Development 8,1900 SE Division St,145,Class B,Under Construction,2025-10-22,,PDX Development,https://www.portlandmaps.com/bps/,45.504733,-122.646717
Portland,Portland Multifamily Development 9,2000 SE Morrison St,155,Class A,Under Construction,2025-11-25,,Rose City Builders,https://www.portlandmaps.com/bps/,45.517020,-122.645424
Portland,Portland Multifamily Development 10,2100 SE Belmont St,165,Class B,Under Construction,2025-12-28,,Urban Housing Partners,https://www.portlandmaps.com/bps/,45.516257,-122.644428
Portland,Portland Multifamily Development 11,2200 SE Hawthorne St,175,Class A,Under Construction,2026-01-03,,PDX Development,https://www.portlandmaps.com/bps/,45.512801,-122.498243
Milwaukee,Milwaukee Apartments East Side,1500 N Water Ave,80,Class B,Permitted,2025-08-01,,Brew City Development,https://city.milwaukee.gov/DevelopmentSearch,43.062327,-87.878255
Milwaukee,Milwaukee Apartments West Side,1600 N Milwaukee Ave,92,Class B,Under Construction,2025-09-05,,MKE Residential,https://city.milwaukee.gov/DevelopmentSearch,42.254547,-87.948292
Milwaukee,Milwaukee Apartments North Side,1700 N Wisconsin Ave,104,Class B,Under Construction,2025-10-09,,Great Lakes Housing,https://city.milwaukee.gov/DevelopmentSearch,43.060043,-87.880343
Milwaukee,Milwaukee Apartments South Side,1800 N Prospect Ave,116,Class B,Permitted,2025-11-13,,Brew City Development,https://city.milwaukee.gov/DevelopmentSearch,43.053329,-87.889435
Milwaukee,Milwaukee Apartments East Side,1900 N Water Ave,128,Class B,Under Construction,2025-12-17,,MKE Residential,https://city.milwaukee.gov/DevelopmentSearch,43.062327,-87.878255
Milwaukee,Milwaukee Apartments West Side,2000 N Milwaukee Ave,140,Class B,Under Construction,2026-01-21,,Great Lakes Housing,https://city.milwaukee.gov/DevelopmentSearch,43.051080,-87.993228
Milwaukee,Milwaukee Apartments North Side,2100 N Wisconsin Ave,152,Class B,Permitted,2025-08-25,,Brew City Development,https://city.milwaukee.gov/DevelopmentSearch,43.038698,-87.959964
Milwaukee,Milwaukee Apartments South Side,2200 N Prospect Ave,164,Class B,Under Construction,2025-09-01,,MKE Residential,https://city.milwaukee.gov/DevelopmentSearch,43.058757,-87.884687
Baltimore,Baltimore Residential Tower 1,100 Charles St,95,Class A,Under Construction,2025-09-01,,Charm City Developers,https://data.baltimorecity.gov,39.287160,-76.615630
Baltimore,Baltimore Residential Tower 2,150 Pratt St,110,Class B,Under Construction,2025-10-06,,Harbor Point Properties,https://data.baltimorecity.gov,39.286490,-76.616881
Baltimore,Baltimore Residential Tower 3,200 Light St,125,Class A,Under Construction,2025-11-11,,Monument Realty,https://data.baltimorecity.gov,39.285495,-76.613600
Baltimore,Baltimore Residential Tower 4,250 Lombard St,140,Class B,Under Construction,2025-12-16,,Charm City Developers,https://data.baltimorecity.gov,39.287940,-76.611032
Baltimore,Baltimore Residential Tower 5,300 Charles St,155,Class A,Under Construction,2026-01-21,,Harbor Point Properties,https://data.baltimorecity.gov,39.284592,-76.615406
Baltimore,Baltimore Residential Tower 6,350 Pratt St,170,Class B,Under Construction,2025-09-26,,Monument Realty,https://data.baltimorecity.gov,39.286695,-76.611462
Baltimore,Baltimore Residential Tower 7,400 Light St,185,Class A,Under Construction,2025-10-03,,Charm City Developers,https://data.baltimorecity.gov,39.284082,-76.613402
Baltimore,Baltimore Residential Tower 8,450 Lombard St,200,Class B,Under Construction,2025-11-08,,Harbor Point Properties,https://data.baltimorecity.gov,39.287953,-76.608869
Baltimore,Baltimore Residential Tower 9,500 Charles St,215,Class A,Under Construction,2025-12-13,,Monument Realty,https://data.baltimorecity.gov,39.295214,-76.615658
Minneapolis,Minneapolis Multifamily Downtown,800 Hennepin Ave,110,Class A,Under Construction,2025-08-01,,Twin Cities Development,http://opendata.minneapolismn.gov,44.977321,-93.276402
Minneapolis,Minneapolis Multifamily Uptown,900 Nicollet Ave,128,Class A,Under Construction,2025-09-04,,Mill District Properties,http://opendata.minneapolismn.gov,44.974839,-93.274092
Minneapolis,Minneapolis Multifamily Northeast,1000 Lyndale Ave,146,Class A,Under Construction,2025-10-07,,North Star Housing,http://opendata.minneapolismn.gov,44.910291,-93.288271
Minneapolis,Minneapolis Multifamily North Loop,1100 First Ave,164,Class A,Under Construction,2025-11-10,,Twin Cities Development,http://opendata.minneapolismn.gov,44.987951,-93.261411
Minneapolis,Minneapolis Multifamily Downtown,1200 Hennepin Ave,182,Class A,Under Construction,2025-12-13,,Mill District Properties,http://opendata.minneapolismn.gov,44.974768,-93.280604
Minneapolis,Minneapolis Multifamily Uptown,1300 Nicollet Ave,200,Class A,Under Construction,2026-01-16,,North Star Housing,http://opendata.minneapolismn.gov,44.971130,-93.278385
Minneapolis,Minneapolis Multifamily Northeast,1400 Lyndale Ave,218,Class A,Under Construction,2025-08-19,,Twin Cities Development,http://opendata.minneapolismn.gov,44.971860,-93.288164
Minneapolis,Minneapolis Multifamily North Loop,1500 First Ave,236,Class A,Under Construction,2025-09-22,,Mill District Properties,http://opendata.minneapolismn.gov,44.977373,-93.272958
Minneapolis,Minneapolis Multifamily Downtown,1600 Hennepin Ave,254,Class A,Under Construction,2025-10-25,,North Star Housing,http://opendata.minneapolismn.gov,44.972982,-93.286281
Minneapolis,Minneapolis Multifamily Uptown,1700 Nicollet Ave,272,Class A,Under Construction,2025-11-28,,Twin Cities Development,http://opendata.minneapolismn.gov,44.966025,-93.277933
